QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MIAMI_ACTION,LA CLIPPERS_SCORE,MIAMI_SCORE
4,1:02.0,,T. Johnson misses free throw 1 of 2,108,95
4,1:02.0,,Offensive rebound by Team,108,95
4,1:02.0,,T. Johnson makes free throw 2 of 2,108,96
4,1:01.0,Personal foul by H. Whiteside (drawn by M. Harrell),,108,96
4,1:01.0,Technical foul by P. Beverley,,108,96
4,1:01.0,,J. Richardson makes technical free throw,108,97
4,1:01.0,M. Harrell misses free throw 1 of 2,,108,97
4,1:01.0,Offensive rebound by Team,,108,97
4,1:01.0,M. Harrell makes free throw 2 of 2,,109,97
4,0:51.0,,J. Richardson misses 2-pt hook shot from 5 ft,109,97
4,0:46.0,Defensive rebound by P. Beverley,,109,97
4,0:37.0,T. Harris makes 2-pt jump shot from 17 ft,,111,97
4,0:24.0,,D. Waiters misses 3-pt jump shot from 27 ft,111,97
4,0:23.0,,Offensive rebound by J. Winslow,111,97
4,0:23.0,,J. Winslow makes 2-pt layup from 3 ft,111,99
