QUARTER,TIME_REMAINING,ATLANTA_ACTION,DENVER_ACTION,ATLANTA_SCORE,DENVER_SCORE
2,2:44.0,K. Huerter misses 2-pt jump shot from 18 ft,,47,64
2,2:41.0,,Defensive rebound by N. Jokić,47,64
2,2:27.0,,J. Hernangómez misses 3-pt jump shot from 24 ft,47,64
2,2:24.0,Defensive rebound by A. Poythress,,47,64
2,2:20.0,J. Lin misses 3-pt jump shot from 25 ft,,47,64
2,2:18.0,Offensive rebound by J. Lin,,47,64
2,2:18.0,Personal foul by J. Hernangómez (drawn by J. Lin),,47,64
2,2:18.0,J. Lin makes free throw 1 of 2,,48,64
2,2:18.0,V. Carter enters the game for M. Plumlee,,48,64
2,2:18.0,O. Spellman enters the game for A. Poythress,,48,64
2,2:18.0,J. Lin makes free throw 2 of 2,,49,64
2,2:06.0,,Shooting foul by O. Spellman (drawn by N. Jokić),49,64
2,2:06.0,,N. Jokić makes free throw 1 of 2,49,65
2,2:06.0,T. Young enters the game for J. Lin,,49,65
2,2:06.0,,N. Jokić misses free throw 2 of 2,49,65
2,2:02.0,Defensive rebound by O. Spellman,,49,65
2,1:53.0,K. Huerter misses 3-pt jump shot from 25 ft,,49,65
2,1:50.0,,Defensive rebound by J. Murray,49,65
2,1:45.0,,P. Millsap makes 3-pt jump shot from 26 ft (assist by J. Murray),49,68
2,1:31.0,T. Young misses 3-pt jump shot from 26 ft,,49,68
2,1:28.0,,Defensive rebound by N. Jokić,49,68
2,1:25.0,,Turnover by P. Millsap (traveling),49,68
2,1:25.0,,T. Lyles enters the game for N. Jokić,49,68
2,1:11.0,O. Spellman makes 2-pt dunk at rim (assist by K. Huerter),,51,68
2,0:56.0,,J. Murray makes 3-pt jump shot from 26 ft,51,71
2,0:43.0,V. Carter makes 2-pt jump shot from 23 ft (assist by T. Young),,53,71
2,0:29.0,,P. Millsap makes 2-pt jump shot from 12 ft (assist by J. Murray),53,73
2,0:22.0,T. Young makes 2-pt layup from 2 ft,,55,73
2,0:04.0,,Turnover by T. Lyles (lost ball; steal by O. Spellman),55,73
2,0:01.0,T. Young misses 2-pt layup from 3 ft,,55,73
2,0:00.0,Offensive rebound by O. Spellman,,55,73
2,0:00.0,O. Spellman makes 2-pt dunk at rim,,57,73
3,11:41.0,,P. Millsap misses 2-pt jump shot from 22 ft,57,73
3,11:37.0,,Offensive rebound by J. Hernangómez,57,73
3,11:35.0,,J. Hernangómez makes 2-pt layup at rim,57,75
3,11:28.0,Personal foul by M. Morris (drawn by T. Young),,57,75
3,11:28.0,Away from play foul by G. Harris (drawn by K. Bazemore),,57,75
3,11:28.0,K. Bazemore makes free throw 1 of 1,,58,75
3,11:17.0,O. Spellman misses 2-pt jump shot from 6 ft (block by P. Millsap),,58,75
3,11:14.0,,Defensive rebound by P. Millsap,58,75
3,11:06.0,,G. Harris misses 2-pt jump shot from 7 ft,58,75
3,11:03.0,,Offensive rebound by P. Millsap,58,75
3,11:02.0,,P. Millsap misses 2-pt jump shot from 6 ft,58,75
3,11:00.0,Defensive rebound by A. Len,,58,75
3,10:53.0,D. Bembry misses 3-pt jump shot from 24 ft,,58,75
3,10:51.0,Offensive rebound by A. Len,,58,75
3,10:48.0,D. Bembry misses 2-pt layup from 3 ft,,58,75
3,10:46.0,,Defensive rebound by N. Jokić,58,75
3,10:37.0,,G. Harris makes 2-pt layup from 7 ft,58,77
3,10:18.0,Turnover by A. Len (out of bounds lost ball),,58,77
3,10:08.0,,Shooting foul by A. Len (drawn by G. Harris),58,77
3,10:08.0,,G. Harris misses free throw 1 of 2,58,77
3,10:08.0,,Offensive rebound by Team,58,77
3,10:08.0,K. Huerter enters the game for D. Bembry,,58,77
3,10:08.0,,G. Harris makes free throw 2 of 2,58,78
3,10:01.0,O. Spellman makes 2-pt jump shot from 21 ft (assist by T. Young),,60,78
3,9:48.0,,Turnover by N. Jokić (lost ball; steal by O. Spellman),60,78
3,9:44.0,Shooting foul by P. Millsap (drawn by A. Len),,60,78
3,9:44.0,A. Len makes free throw 1 of 2,,61,78
3,9:44.0,A. Len makes free throw 2 of 2,,62,78
3,9:32.0,,Def 3 sec tech foul by Team,62,78
3,9:32.0,,G. Harris makes technical free throw,62,79
3,9:18.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by N. Jokić),62,81
3,9:02.0,Offensive foul by A. Len (drawn by M. Morris),,62,81
3,9:02.0,Turnover by A. Len (offensive foul),,62,81
3,8:53.0,,N. Jokić misses 3-pt jump shot from 27 ft,62,81
3,8:50.0,,Offensive rebound by P. Millsap,62,81
3,8:37.0,,G. Harris misses 3-pt jump shot from 23 ft,62,81
3,8:34.0,,Offensive rebound by J. Hernangómez,62,81
3,8:33.0,,J. Hernangómez makes 2-pt layup from 2 ft,62,83
3,8:23.0,O. Spellman misses 3-pt jump shot from 26 ft,,62,83
3,8:19.0,,Defensive rebound by G. Harris,62,83
3,8:09.0,,P. Millsap makes 2-pt layup from 3 ft (assist by G. Harris),62,85
3,8:09.0,Atlanta full timeout,,62,85
3,8:09.0,D. Bembry enters the game for K. Bazemore,,62,85
3,8:09.0,J. Lin enters the game for A. Len,,62,85
3,8:09.0,M. Plumlee enters the game for O. Spellman,,62,85
3,8:09.0,A. Poythress enters the game for T. Young,,62,85
3,7:56.0,J. Lin makes 3-pt jump shot from 26 ft (assist by A. Poythress),,65,85
3,7:37.0,,Personal foul by D. Bembry (drawn by G. Harris),65,85
3,7:35.0,,Personal foul by D. Bembry (drawn by G. Harris),65,85
3,7:25.0,,J. Hernangómez makes 3-pt jump shot from 26 ft,65,88
3,7:06.0,D. Bembry misses 2-pt layup from 4 ft (block by G. Harris),,65,88
3,7:03.0,,Defensive rebound by P. Millsap,65,88
3,7:01.0,,J. Hernangómez makes 2-pt layup from 1 ft (assist by P. Millsap),65,90
3,6:42.0,J. Lin misses 3-pt jump shot from 25 ft,,65,90
3,6:38.0,,Defensive rebound by J. Hernangómez,65,90
3,6:32.0,,Shooting foul by A. Poythress (drawn by J. Hernangómez),65,90
3,6:32.0,,J. Hernangómez misses free throw 1 of 3,65,90
3,6:32.0,,Offensive rebound by Team,65,90
3,6:32.0,,J. Hernangómez makes free throw 2 of 3,65,91
3,6:32.0,,J. Hernangómez makes free throw 3 of 3,65,92
3,6:17.0,M. Plumlee misses 2-pt layup from 2 ft,,65,92
3,6:13.0,,Defensive rebound by P. Millsap,65,92
3,6:02.0,,N. Jokić misses 2-pt jump shot from 17 ft,65,92
3,6:01.0,Defensive rebound by J. Lin,,65,92
3,6:01.0,Personal take foul by N. Jokić (drawn by J. Lin),,65,92
3,6:01.0,V. Carter enters the game for A. Poythress,,65,92
3,5:47.0,D. Bembry misses 2-pt layup from 6 ft (block by G. Harris),,65,92
3,5:44.0,,Defensive rebound by M. Morris,65,92
3,5:42.0,,M. Morris makes 2-pt layup from 2 ft,65,94
3,5:40.0,Atlanta full timeout,,65,94
3,5:40.0,,J. Murray enters the game for M. Morris,65,94
3,5:29.0,Turnover by K. Huerter (lost ball; steal by N. Jokić),,65,94
3,5:24.0,,Turnover by G. Harris (bad pass),65,94
3,5:07.0,K. Huerter misses 2-pt jump shot from 8 ft,,65,94
3,5:05.0,,Defensive rebound by N. Jokić,65,94
3,4:53.0,,G. Harris makes 2-pt layup from 1 ft,65,96
3,4:31.0,K. Huerter misses 3-pt jump shot from 22 ft,,65,96
3,4:27.0,,Defensive rebound by J. Murray,65,96
3,4:12.0,,J. Hernangómez misses 3-pt jump shot from 26 ft,65,96
3,4:07.0,Defensive rebound by M. Plumlee,,65,96
3,3:57.0,D. Bembry misses 2-pt jump shot from 8 ft,,65,96
3,3:54.0,,Defensive rebound by N. Jokić,65,96
3,3:41.0,,P. Millsap makes 2-pt layup from 2 ft,65,98
3,3:28.0,V. Carter makes 3-pt jump shot from 26 ft (assist by J. Lin),,68,98
3,3:11.0,,P. Millsap makes 2-pt layup from 1 ft (assist by N. Jokić),68,100
3,3:11.0,,Personal foul by J. Lin (drawn by P. Millsap),68,100
3,3:11.0,K. Bazemore enters the game for D. Bembry,,68,100
3,3:11.0,T. Dorsey enters the game for K. Huerter,,68,100
3,3:11.0,O. Spellman enters the game for J. Lin,,68,100
3,3:11.0,T. Young enters the game for M. Plumlee,,68,100
3,3:11.0,,M. Beasley enters the game for G. Harris,68,100
3,3:11.0,,M. Morris enters the game for J. Hernangómez,68,100
3,3:11.0,,M. Plumlee enters the game for N. Jokić,68,100
3,3:11.0,,P. Millsap makes free throw 1 of 1,68,101
3,3:00.0,T. Dorsey misses 2-pt layup from 5 ft (block by P. Millsap),,68,101
3,2:56.0,,Defensive rebound by J. Murray,68,101
3,2:50.0,,J. Murray misses 3-pt jump shot from 27 ft,68,101
3,2:47.0,Defensive rebound by O. Spellman,,68,101
3,2:34.0,K. Bazemore misses 3-pt jump shot from 25 ft,,68,101
3,2:30.0,,Defensive rebound by P. Millsap,68,101
3,2:23.0,,M. Morris makes 2-pt jump shot from 7 ft (assist by P. Millsap),68,103
3,2:07.0,V. Carter makes 3-pt jump shot from 23 ft (assist by O. Spellman),,71,103
3,2:06.0,,Denver full timeout,71,103
3,2:06.0,,T. Lyles enters the game for P. Millsap,71,103
3,1:54.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by M. Morris),71,105
3,1:43.0,V. Carter misses 3-pt jump shot from 26 ft,,71,105
3,1:41.0,,Defensive rebound by T. Lyles,71,105
3,1:33.0,,M. Beasley misses 3-pt jump shot from 26 ft,71,105
3,1:30.0,Defensive rebound by T. Young,,71,105
3,1:20.0,T. Young misses 3-pt jump shot from 28 ft,,71,105
3,1:18.0,,Defensive rebound by J. Murray,71,105
3,1:07.0,,Turnover by T. Lyles (out of bounds lost ball),71,105
3,0:55.0,K. Bazemore misses 2-pt jump shot from 8 ft,,71,105
3,0:52.0,,Defensive rebound by M. Plumlee,71,105
3,0:37.0,,Shooting foul by V. Carter (drawn by T. Lyles),71,105
3,0:37.0,,T. Lyles makes free throw 1 of 2,71,106
3,0:37.0,,T. Lyles makes free throw 2 of 2,71,107
3,0:30.0,T. Young makes 2-pt jump shot from 4 ft,,73,107
3,0:11.0,,Shooting foul by V. Carter (drawn by M. Plumlee),73,107
3,0:11.0,,M. Plumlee makes free throw 1 of 2,73,108
3,0:11.0,,M. Plumlee makes free throw 2 of 2,73,109
3,0:02.0,Turnover by T. Young (bad pass; steal by M. Morris),,73,109
3,0:00.0,,J. Murray misses 3-pt jump shot from 26 ft,73,109
3,0:00.0,,Offensive rebound by Team,73,109
4,11:47.0,T. Young misses 2-pt layup from 2 ft,,73,109
4,11:44.0,,Defensive rebound by M. Plumlee,73,109
4,11:41.0,,M. Beasley misses 2-pt layup from 3 ft,73,109
4,11:41.0,Defensive rebound by T. Dorsey,,73,109
4,11:35.0,O. Spellman makes 2-pt layup from 4 ft (assist by T. Dorsey),,75,109
4,11:35.0,,Violation by Team (def goaltending),75,109
4,11:22.0,,Turnover by M. Beasley (lost ball; steal by T. Young),75,109
4,11:17.0,T. Young misses 2-pt layup from 4 ft,,75,109
4,11:17.0,Offensive rebound by K. Huerter,,75,109
4,11:17.0,K. Huerter makes 2-pt layup from 1 ft,,77,109
4,11:17.0,Shooting foul by J. Hernangómez (drawn by K. Huerter),,77,109
4,11:17.0,K. Huerter misses free throw 1 of 1,,77,109
4,11:17.0,Offensive rebound by T. Dorsey,,77,109
4,11:12.0,O. Spellman misses 3-pt jump shot from 25 ft,,77,109
4,11:09.0,Offensive rebound by A. Poythress,,77,109
4,11:03.0,Turnover by T. Young (lost ball; steal by J. Hernangómez),,77,109
4,10:56.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by J. Hernangómez),77,112
4,10:35.0,T. Dorsey misses 2-pt jump shot from 22 ft,,77,112
4,10:33.0,,Defensive rebound by J. Hernangómez,77,112
4,10:20.0,,T. Lyles misses 2-pt jump shot from 12 ft,77,112
4,10:17.0,Defensive rebound by K. Huerter,,77,112
4,10:05.0,T. Young misses 2-pt jump shot from 3 ft (block by J. Murray),,77,112
4,10:05.0,,Defensive rebound by Team,77,112
4,9:47.0,,M. Beasley makes 2-pt jump shot from 14 ft (assist by M. Plumlee),77,114
4,9:40.0,Atlanta full timeout,,77,114
4,9:40.0,,T. Craig enters the game for J. Hernangómez,77,114
4,9:40.0,,M. Morris enters the game for J. Murray,77,114
4,9:20.0,O. Spellman misses 2-pt layup from 1 ft,,77,114
4,9:14.0,,Defensive rebound by M. Plumlee,77,114
4,9:12.0,,Personal foul by O. Spellman (drawn by M. Plumlee),77,114
4,9:09.0,,Turnover by M. Plumlee (lost ball; steal by A. Poythress),77,114
4,9:06.0,A. Poythress makes 2-pt dunk from 1 ft,,79,114
4,8:47.0,,M. Beasley misses 2-pt jump shot from 7 ft,79,114
4,8:44.0,Defensive rebound by O. Spellman,,79,114
4,8:35.0,A. Poythress misses 3-pt jump shot from 23 ft,,79,114
4,8:31.0,,Defensive rebound by M. Beasley,79,114
4,8:18.0,,T. Lyles misses 2-pt hook shot from 3 ft,79,114
4,8:16.0,Defensive rebound by O. Spellman,,79,114
4,8:11.0,K. Huerter misses 3-pt jump shot from 26 ft,,79,114
4,8:07.0,,Defensive rebound by T. Lyles,79,114
4,8:01.0,,M. Morris misses 2-pt jump shot from 8 ft,79,114
