QUARTER,TIME_REMAINING,BOSTON_ACTION,SACRAMENTO_ACTION,BOSTON_SCORE,SACRAMENTO_SCORE
4,1:45.0,,D. Fox makes 2-pt dunk from 1 ft,103,101
4,1:45.0,Boston full timeout,,103,101
4,1:45.0,G. Hayward enters the game for J. Brown,,103,101
4,1:45.0,T. Rozier enters the game for M. Smart,,103,101
4,1:27.0,Shooting foul by B. Bogdanović (drawn by J. Tatum),,103,101
4,1:27.0,M. Smart enters the game for T. Rozier,,103,101
4,1:27.0,,N. Bjelica enters the game for B. Bogdanović,103,101
4,1:27.0,J. Tatum makes free throw 1 of 2,,104,101
4,1:27.0,J. Tatum makes free throw 2 of 2,,105,101
4,1:10.0,,B. Hield makes 3-pt jump shot from 28 ft (assist by D. Fox),105,104
4,0:47.0,J. Tatum makes 2-pt jump shot from 12 ft,,107,104
4,0:25.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by N. Bjelica),107,106
4,0:16.0,Boston full timeout,,107,106
4,0:16.0,T. Rozier enters the game for M. Smart,,107,106
4,0:15.0,Personal take foul by W. Cauley-Stein (drawn by J. Tatum),,107,106
4,0:15.0,J. Tatum makes free throw 1 of 2,,108,106
4,0:15.0,J. Brown enters the game for T. Rozier,,108,106
4,0:15.0,J. Tatum makes free throw 2 of 2,,109,106
4,0:07.0,,Shooting foul by G. Hayward (drawn by B. Hield),109,106
4,0:07.0,,B. Hield makes free throw 1 of 3,109,107
4,0:07.0,T. Rozier enters the game for J. Brown,,109,107
4,0:07.0,,B. Hield makes free throw 2 of 3,109,108
4,0:07.0,,B. Hield makes free throw 3 of 3,109,109
4,0:02.0,G. Hayward makes 2-pt jump shot from 9 ft,,111,109
4,0:02.0,,Sacramento full timeout,111,109
4,0:00.0,,H. Barnes misses 3-pt jump shot from 30 ft,111,109
4,0:00.0,,Offensive rebound by Team,111,109
