QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW ORLEANS_ACTION,MILWAUKEE_SCORE,NEW ORLEANS_SCORE
4,9:13.0,,D. Miller makes 3-pt jump shot from 23 ft (assist by I. Clark),105,98
4,8:57.0,E. Bledsoe makes 2-pt jump shot from 14 ft,,107,98
4,8:45.0,,I. Clark misses 3-pt jump shot from 23 ft,107,98
4,8:41.0,Defensive rebound by G. Antetokounmpo,,107,98
4,8:37.0,Shooting foul by J. Randle (drawn by G. Antetokounmpo),,107,98
4,8:37.0,G. Antetokounmpo makes free throw 1 of 2,,108,98
4,8:37.0,G. Antetokounmpo makes free throw 2 of 2,,109,98
4,8:31.0,,D. Miller misses 3-pt jump shot from 25 ft (block by T. Snell),109,98
4,8:24.0,Defensive rebound by E. Bledsoe,,109,98
4,8:21.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,111,98
4,7:58.0,,E. Payton misses 2-pt jump shot from 9 ft,111,98
4,7:56.0,Defensive rebound by B. Lopez,,111,98
4,7:46.0,Shooting foul by C. Diallo (drawn by G. Antetokounmpo),,111,98
4,7:46.0,G. Antetokounmpo makes free throw 1 of 2,,112,98
4,7:46.0,G. Antetokounmpo makes free throw 2 of 2,,113,98
4,7:38.0,,Shooting foul by B. Lopez (drawn by J. Randle),113,98
4,7:38.0,,J. Randle misses free throw 1 of 2,113,98
4,7:38.0,,Offensive rebound by Team,113,98
4,7:38.0,,J. Randle misses free throw 2 of 2,113,98
4,7:35.0,Defensive rebound by B. Lopez,,113,98
4,7:31.0,Turnover by G. Antetokounmpo (bad pass),,113,98
4,7:23.0,,E. Payton misses 3-pt jump shot from 26 ft,113,98
4,7:20.0,Defensive rebound by G. Antetokounmpo,,113,98
4,7:13.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,113,98
4,7:07.0,,Defensive rebound by E. Payton,113,98
4,7:07.0,,New Orleans full timeout,113,98
4,7:07.0,K. Middleton enters the game for G. Antetokounmpo,,113,98
4,7:07.0,N. Mirotić enters the game for D. DiVincenzo,,113,98
4,7:07.0,,F. Jackson enters the game for I. Clark,113,98
4,7:07.0,,K. Williams enters the game for C. Diallo,113,98
4,7:01.0,,Personal foul by N. Mirotić (drawn by K. Williams),113,98
4,6:53.0,,D. Miller misses 2-pt jump shot from 16 ft,113,98
4,6:50.0,Defensive rebound by E. Bledsoe,,113,98
4,6:45.0,Turnover by E. Bledsoe (bad pass),,113,98
4,6:33.0,,Turnover by J. Randle (bad pass),113,98
4,6:19.0,K. Middleton misses 2-pt jump shot from 15 ft,,113,98
4,6:16.0,,Defensive rebound by J. Randle,113,98
4,5:57.0,,E. Payton makes 3-pt jump shot from 25 ft (assist by F. Jackson),113,101
4,5:38.0,N. Mirotić makes 2-pt hook shot from 5 ft (assist by B. Lopez),,115,101
4,5:21.0,,E. Payton misses 3-pt jump shot from 23 ft,115,101
4,5:19.0,Defensive rebound by B. Lopez,,115,101
4,5:09.0,K. Middleton makes 2-pt jump shot from 11 ft,,117,101
4,4:57.0,,J. Randle makes 2-pt layup from 2 ft (assist by E. Payton),117,103
4,4:50.0,E. Bledsoe makes 2-pt layup from 1 ft,,119,103
4,4:50.0,Shooting foul by E. Payton (drawn by E. Bledsoe),,119,103
4,4:50.0,G. Antetokounmpo enters the game for T. Snell,,119,103
4,4:50.0,,C. Diallo enters the game for J. Randle,119,103
4,4:50.0,E. Bledsoe misses free throw 1 of 1,,119,103
4,4:46.0,,Defensive rebound by C. Diallo,119,103
4,4:39.0,,C. Diallo misses 2-pt jump shot from 11 ft,119,103
4,4:36.0,Defensive rebound by K. Middleton,,119,103
4,4:31.0,K. Middleton makes 2-pt dunk from 1 ft,,121,103
4,4:23.0,,New Orleans full timeout,121,103
4,4:23.0,P. Connaughton enters the game for B. Lopez,,121,103
4,4:23.0,,D. Bertāns enters the game for D. Miller,121,103
4,4:23.0,,I. Clark enters the game for E. Payton,121,103
4,4:23.0,,S. Johnson enters the game for K. Williams,121,103
4,4:12.0,,F. Jackson makes 2-pt jump shot from 16 ft,121,105
4,4:02.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by C. Diallo),,121,105
4,4:02.0,Offensive rebound by Team,,121,105
4,4:00.0,P. Connaughton makes 3-pt jump shot from 22 ft (assist by N. Mirotić),,124,105
4,3:50.0,,F. Jackson misses 2-pt jump shot from 18 ft,124,105
4,3:46.0,Defensive rebound by N. Mirotić,,124,105
4,3:37.0,K. Middleton misses 3-pt jump shot from 26 ft,,124,105
4,3:31.0,,Defensive rebound by F. Jackson,124,105
4,3:21.0,,Personal foul by E. Bledsoe (drawn by C. Diallo),124,105
4,3:21.0,E. İlyasova enters the game for K. Middleton,,124,105
4,3:21.0,T. Snell enters the game for N. Mirotić,,124,105
4,3:15.0,,I. Clark misses 2-pt jump shot from 17 ft,124,105
4,3:12.0,,Offensive rebound by D. Bertāns,124,105
4,3:12.0,Technical foul by A. Gentry,,124,105
4,3:12.0,,Defensive rebound by Team,124,105
4,3:12.0,T. Snell misses technical free throw,,124,105
4,3:12.0,D. DiVincenzo enters the game for E. Bledsoe,,124,105
4,3:04.0,,I. Clark makes 3-pt jump shot from 26 ft (assist by C. Diallo),124,108
4,2:53.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,124,108
4,2:50.0,,Defensive rebound by C. Diallo,124,108
4,2:35.0,,I. Clark makes 3-pt jump shot from 23 ft (assist by S. Johnson),124,111
4,2:15.0,Turnover by G. Antetokounmpo (3 sec),,124,111
4,2:09.0,,I. Clark misses 3-pt jump shot from 26 ft,124,111
4,2:05.0,Defensive rebound by G. Antetokounmpo,,124,111
4,1:57.0,Shooting foul by D. Bertāns (drawn by G. Antetokounmpo),,124,111
4,1:57.0,G. Antetokounmpo makes free throw 1 of 2,,125,111
4,1:57.0,G. Antetokounmpo makes free throw 2 of 2,,126,111
4,1:42.0,,S. Johnson makes 2-pt jump shot from 11 ft,126,113
4,1:36.0,,Violation by Team (kicked ball),126,113
4,1:36.0,N. Mirotić enters the game for G. Antetokounmpo,,126,113
4,1:27.0,E. İlyasova misses 3-pt jump shot from 26 ft,,126,113
4,1:23.0,,Defensive rebound by C. Diallo,126,113
4,1:13.0,,Offensive foul by F. Jackson (drawn by E. İlyasova),126,113
4,1:13.0,,Turnover by F. Jackson (offensive foul),126,113
4,0:58.0,P. Connaughton makes 2-pt layup from 1 ft,,128,113
4,0:50.0,,I. Clark misses 3-pt jump shot from 27 ft,128,113
4,0:46.0,Defensive rebound by P. Connaughton,,128,113
4,0:41.0,Personal foul by I. Clark (drawn by N. Mirotić),,128,113
4,0:41.0,N. Mirotić makes free throw 1 of 2,,129,113
4,0:41.0,N. Mirotić makes free throw 2 of 2,,130,113
4,0:28.0,,I. Clark misses 3-pt jump shot from 27 ft,130,113
4,0:25.0,Defensive rebound by P. Connaughton,,130,113
4,0:07.0,E. İlyasova misses 2-pt jump shot from 13 ft,,130,113
4,0:04.0,,Defensive rebound by C. Diallo,130,113
4,0:00.0,,D. Bertāns misses 3-pt jump shot from 28 ft,130,113
4,0:00.0,,Offensive rebound by Team,130,113
