QUARTER,TIME_REMAINING,ATLANTA_ACTION,HOUSTON_ACTION,ATLANTA_SCORE,HOUSTON_SCORE
4,3:39.0,Personal foul by P. Tucker (drawn by T. Young),,103,109
4,3:31.0,Turnover by K. Bazemore (bad pass; steal by P. Tucker),,103,109
4,3:25.0,,C. Paul misses 3-pt jump shot from 27 ft,103,109
4,3:24.0,,Offensive rebound by K. Faried,103,109
4,3:23.0,,K. Faried misses 2-pt layup from 3 ft,103,109
4,3:23.0,,Offensive rebound by K. Faried,103,109
4,3:22.0,,K. Faried misses 2-pt layup from 3 ft (block by K. Bazemore),103,109
4,3:22.0,Defensive rebound by J. Collins,,103,109
4,3:13.0,T. Young misses 2-pt layup from 6 ft,,103,109
4,3:13.0,Offensive rebound by D. Bembry,,103,109
4,3:07.0,D. Bembry makes 2-pt layup from 1 ft,,105,109
4,2:51.0,,E. Gordon makes 3-pt jump shot from 24 ft (assist by C. Paul),105,112
4,2:40.0,Atlanta full timeout,,105,112
4,2:40.0,,C. Capela enters the game for K. Faried,105,112
4,2:33.0,J. Collins makes 2-pt jump shot from 8 ft (assist by K. Bazemore),,107,112
4,2:10.0,,J. Harden misses 3-pt jump shot from 25 ft,107,112
4,2:05.0,Defensive rebound by K. Bazemore,,107,112
4,2:02.0,T. Young misses 3-pt jump shot from 27 ft,,107,112
4,2:00.0,,Defensive rebound by Team,107,112
4,1:43.0,,Shooting foul by D. Dedmon (drawn by J. Harden),107,112
4,1:43.0,,J. Harden makes free throw 1 of 3,107,113
4,1:43.0,,J. Harden makes free throw 2 of 3,107,114
4,1:43.0,,J. Harden makes free throw 3 of 3,107,115
4,1:30.0,T. Young misses 2-pt jump shot from 10 ft,,107,115
4,1:28.0,,Defensive rebound by C. Paul,107,115
4,1:12.0,,E. Gordon misses 3-pt jump shot from 23 ft,107,115
4,1:09.0,,Offensive rebound by C. Capela,107,115
4,1:09.0,,C. Capela makes 2-pt layup from 3 ft,107,117
4,1:03.0,J. Collins makes 2-pt layup from 4 ft (assist by T. Young),,109,117
4,1:03.0,Shooting foul by C. Paul (drawn by J. Collins),,109,117
4,1:03.0,J. Collins misses free throw 1 of 1,,109,117
4,1:03.0,,Defensive rebound by C. Capela,109,117
4,0:40.0,,P. Tucker misses 3-pt jump shot from 23 ft (block by D. Bembry),109,117
4,0:40.0,,Offensive rebound by C. Capela,109,117
4,0:40.0,,C. Capela misses 2-pt layup from 2 ft (block by D. Dedmon),109,117
4,0:39.0,,Offensive rebound by Team,109,117
4,0:39.0,,Turnover by Team (shot clock),109,117
4,0:39.0,Atlanta full timeout,,109,117
4,0:39.0,Turnover by T. Young (bad pass),,109,117
4,0:23.0,,J. Harden makes 2-pt jump shot from 3 ft,109,119
4,0:10.0,T. Young misses 2-pt layup from 4 ft,,109,119
4,0:07.0,Offensive rebound by D. Dedmon,,109,119
4,0:07.0,D. Dedmon makes 2-pt dunk from 2 ft,,111,119
