QUARTER,TIME_REMAINING,INDIANA_ACTION,BOSTON_ACTION,INDIANA_SCORE,BOSTON_SCORE
2,2:41.0,,M. Morris misses 3-pt jump shot from 25 ft,40,33
2,2:40.0,Defensive rebound by D. Sabonis,,40,33
2,2:19.0,C. Joseph makes 3-pt jump shot from 28 ft (assist by D. Sabonis),,43,33
2,1:52.0,,G. Hayward misses 3-pt jump shot from 26 ft,43,33
2,1:50.0,Defensive rebound by M. Turner,,43,33
2,1:36.0,D. Sabonis misses 2-pt layup from 3 ft,,43,33
2,1:34.0,,Defensive rebound by G. Hayward,43,33
2,1:32.0,,J. Tatum makes 2-pt layup from 1 ft (assist by G. Hayward),43,35
2,1:16.0,B. Bogdanović misses 2-pt layup from 1 ft,,43,35
2,1:15.0,,Defensive rebound by Team,43,35
2,1:15.0,Loose ball foul by D. Sabonis (drawn by M. Morris),,43,35
2,1:15.0,,M. Morris misses free throw 1 of 2,43,35
2,1:15.0,,Offensive rebound by Team,43,35
2,1:15.0,,M. Morris makes free throw 2 of 2,43,36
2,1:04.0,Shooting foul by A. Horford (drawn by M. Turner),,43,36
2,1:04.0,M. Turner misses free throw 1 of 2,,43,36
2,1:04.0,Offensive rebound by Team,,43,36
2,1:04.0,T. Evans enters the game for D. Sabonis,,43,36
2,1:04.0,M. Turner misses free throw 2 of 2,,43,36
2,1:04.0,,Defensive rebound by G. Hayward,43,36
2,0:48.0,,K. Irving misses 2-pt jump shot from 22 ft,43,36
2,0:46.0,Defensive rebound by M. Turner,,43,36
2,0:39.0,M. Turner makes 2-pt layup at rim (assist by T. Evans),,45,36
2,0:31.0,,G. Hayward makes 2-pt layup from 3 ft,45,38
2,0:09.0,C. Joseph misses 3-pt jump shot from 26 ft,,45,38
2,0:07.0,,Defensive rebound by Team,45,38
2,0:01.0,,A. Horford misses 3-pt jump shot from 23 ft,45,38
2,0:00.0,,Offensive rebound by Team,45,38
3,11:47.0,,K. Irving misses 3-pt jump shot from 26 ft,45,38
3,11:45.0,Defensive rebound by M. Turner,,45,38
3,11:32.0,Turnover by W. Matthews (bad pass; steal by J. Tatum),,45,38
3,11:28.0,,J. Tatum misses 2-pt layup from 2 ft (block by M. Turner),45,38
3,11:27.0,,Offensive rebound by Team,45,38
3,11:12.0,,J. Tatum misses 2-pt jump shot from 12 ft,45,38
3,11:10.0,Defensive rebound by M. Turner,,45,38
3,10:58.0,Turnover by D. Collison (out of bounds lost ball),,45,38
3,10:52.0,,A. Baynes misses 2-pt jump shot from 14 ft (block by W. Matthews),45,38
3,10:50.0,,Offensive rebound by A. Baynes,45,38
3,10:45.0,,J. Brown makes 2-pt dunk from 1 ft (assist by K. Irving),45,40
3,10:19.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,45,40
3,10:17.0,Offensive rebound by M. Turner,,45,40
3,10:10.0,D. Collison misses 2-pt jump shot from 18 ft,,45,40
3,10:08.0,,Defensive rebound by A. Horford,45,40
3,9:59.0,,Turnover by J. Brown (bad pass; steal by T. Young),45,40
3,9:51.0,M. Turner misses 3-pt jump shot from 28 ft,,45,40
3,9:50.0,,Defensive rebound by J. Brown,45,40
3,9:33.0,,Turnover by A. Horford (bad pass; steal by B. Bogdanović),45,40
3,9:28.0,D. Collison misses 3-pt jump shot from 25 ft,,45,40
3,9:26.0,,Defensive rebound by A. Baynes,45,40
3,9:08.0,,A. Horford makes 2-pt hook shot from 6 ft,45,42
3,8:52.0,W. Matthews misses 3-pt jump shot from 27 ft,,45,42
3,8:50.0,,Defensive rebound by A. Baynes,45,42
3,8:39.0,,A. Horford makes 2-pt layup from 1 ft (assist by K. Irving),45,44
3,8:39.0,,Shooting foul by T. Young (drawn by A. Horford),45,44
3,8:39.0,D. Sabonis enters the game for T. Young,,45,44
3,8:39.0,,A. Horford makes free throw 1 of 1,45,45
3,8:39.0,Indiana full timeout,,45,45
3,8:16.0,Turnover by B. Bogdanović (bad pass; steal by A. Horford),,45,45
3,8:10.0,,Offensive foul by A. Baynes (drawn by B. Bogdanović),45,45
3,8:10.0,,Turnover by A. Baynes (offensive foul),45,45
3,8:10.0,D. Collison misses 2-pt jump shot from 19 ft,,45,45
3,7:59.0,,Defensive rebound by K. Irving,45,45
3,7:52.0,,K. Irving makes 2-pt jump shot from 19 ft,45,47
3,7:35.0,M. Turner misses 2-pt jump shot from 20 ft,,45,47
3,7:33.0,,Defensive rebound by A. Baynes,45,47
3,7:19.0,,K. Irving misses 2-pt jump shot from 17 ft,45,47
3,7:18.0,,Offensive rebound by A. Baynes,45,47
3,7:17.0,,A. Baynes makes 2-pt layup at rim,45,49
3,7:02.0,Shooting foul by A. Baynes (drawn by M. Turner),,45,49
3,7:02.0,M. Turner makes free throw 1 of 2,,46,49
3,7:02.0,M. Turner misses free throw 2 of 2,,46,49
3,7:02.0,,Defensive rebound by A. Horford,46,49
3,6:49.0,,A. Horford misses 2-pt jump shot from 16 ft,46,49
3,6:47.0,Defensive rebound by D. Sabonis,,46,49
3,6:33.0,D. Collison misses 2-pt jump shot from 16 ft,,46,49
3,6:32.0,,Defensive rebound by J. Tatum,46,49
3,6:27.0,,Personal foul by D. Collison (drawn by K. Irving),46,49
3,6:27.0,C. Joseph enters the game for D. Collison,,46,49
3,6:27.0,,G. Hayward enters the game for A. Baynes,46,49
3,6:27.0,,M. Morris enters the game for J. Tatum,46,49
3,6:11.0,,K. Irving makes 2-pt jump shot from 11 ft,46,51
3,5:50.0,D. Sabonis misses 2-pt hook shot from 11 ft,,46,51
3,5:48.0,,Defensive rebound by J. Brown,46,51
3,5:45.0,,Shooting foul by M. Turner (drawn by K. Irving),46,51
3,5:45.0,,K. Irving makes free throw 1 of 2,46,52
3,5:45.0,,K. Irving makes free throw 2 of 2,46,53
3,5:27.0,Shooting foul by K. Irving (drawn by C. Joseph),,46,53
3,5:27.0,C. Joseph makes free throw 1 of 2,,47,53
3,5:27.0,C. Joseph makes free throw 2 of 2,,48,53
3,5:05.0,,M. Morris makes 2-pt jump shot from 14 ft (assist by A. Horford),48,55
3,4:50.0,Turnover by W. Matthews (out of bounds lost ball),,48,55
3,4:42.0,,Personal foul by B. Bogdanović (drawn by G. Hayward),48,55
3,4:33.0,,Offensive foul by K. Irving (drawn by W. Matthews),48,55
3,4:33.0,,Turnover by K. Irving (offensive foul),48,55
3,4:22.0,Turnover by D. Sabonis (bad pass; steal by J. Brown),,48,55
3,4:16.0,,Shooting foul by M. Turner (drawn by K. Irving),48,55
3,4:16.0,,K. Irving makes free throw 1 of 2,48,56
3,4:16.0,T. Evans enters the game for B. Bogdanović,,48,56
3,4:16.0,,K. Irving makes free throw 2 of 2,48,57
3,4:04.0,W. Matthews misses 3-pt jump shot from 25 ft,,48,57
3,4:02.0,,Defensive rebound by K. Irving,48,57
3,3:56.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by K. Irving),48,60
3,3:41.0,T. Evans misses 2-pt layup from 2 ft,,48,60
3,3:40.0,Offensive rebound by Team,,48,60
3,3:40.0,D. McDermott enters the game for W. Matthews,,48,60
3,3:40.0,,J. Tatum enters the game for J. Brown,48,60
3,3:28.0,C. Joseph makes 2-pt layup from 2 ft (assist by D. McDermott),,50,60
3,3:28.0,,Violation by Team (def goaltending),50,60
3,3:11.0,,M. Morris misses 3-pt jump shot from 23 ft,50,60
3,3:09.0,Defensive rebound by T. Evans,,50,60
3,2:58.0,T. Evans misses 3-pt jump shot from 27 ft,,50,60
3,2:56.0,,Defensive rebound by K. Irving,50,60
3,2:56.0,,Boston full timeout,50,60
3,2:56.0,T. Leaf enters the game for M. Turner,,50,60
3,2:56.0,,A. Baynes enters the game for A. Horford,50,60
3,2:41.0,,K. Irving misses 2-pt jump shot from 7 ft,50,60
3,2:39.0,Defensive rebound by T. Evans,,50,60
3,2:23.0,Shooting foul by K. Irving (drawn by D. Sabonis),,50,60
3,2:23.0,D. Sabonis misses free throw 1 of 2,,50,60
3,2:23.0,Offensive rebound by Team,,50,60
3,2:23.0,,T. Rozier enters the game for A. Baynes,50,60
3,2:23.0,,D. Theis enters the game for K. Irving,50,60
3,2:23.0,D. Sabonis makes free throw 2 of 2,,51,60
3,2:04.0,,G. Hayward misses 2-pt layup from 3 ft,51,60
3,2:02.0,Defensive rebound by T. Leaf,,51,60
3,1:56.0,T. Evans misses 2-pt layup from 1 ft,,51,60
3,1:55.0,Offensive rebound by D. Sabonis,,51,60
3,1:54.0,D. Sabonis misses 2-pt layup from 1 ft,,51,60
3,1:53.0,,Defensive rebound by M. Morris,51,60
3,1:44.0,,G. Hayward misses 2-pt jump shot from 10 ft,51,60
3,1:42.0,Defensive rebound by D. Sabonis,,51,60
3,1:27.0,D. McDermott makes 2-pt layup from 2 ft (assist by D. Sabonis),,53,60
3,1:27.0,Shooting foul by J. Tatum (drawn by D. McDermott),,53,60
3,1:27.0,D. McDermott misses free throw 1 of 1,,53,60
3,1:27.0,,Defensive rebound by D. Theis,53,60
3,1:11.0,,M. Morris misses 2-pt jump shot from 9 ft,53,60
3,1:09.0,Defensive rebound by C. Joseph,,53,60
3,1:02.0,D. McDermott misses 3-pt jump shot from 26 ft,,53,60
3,1:01.0,Offensive rebound by Team,,53,60
3,0:55.0,D. McDermott misses 3-pt jump shot from 24 ft,,53,60
3,0:52.0,,Defensive rebound by M. Morris,53,60
3,0:32.0,,T. Rozier misses 2-pt layup from 2 ft,53,60
3,0:31.0,,Offensive rebound by T. Rozier,53,60
3,0:30.0,,Shooting foul by D. Sabonis (drawn by T. Rozier),53,60
3,0:30.0,,T. Rozier misses free throw 1 of 2,53,60
3,0:30.0,,Offensive rebound by Team,53,60
3,0:30.0,,A. Baynes enters the game for D. Theis,53,60
3,0:30.0,,T. Rozier makes free throw 2 of 2,53,61
3,0:06.0,D. Sabonis misses 2-pt hook shot from 6 ft,,53,61
3,0:04.0,,Defensive rebound by A. Baynes,53,61
3,0:00.0,,T. Rozier makes 3-pt jump shot from 26 ft,53,64
4,11:46.0,D. McDermott misses 3-pt jump shot from 27 ft,,53,64
4,11:44.0,,Defensive rebound by T. Rozier,53,64
4,11:31.0,,M. Morris misses 3-pt jump shot from 26 ft,53,64
4,11:28.0,,Offensive rebound by G. Hayward,53,64
4,11:26.0,,T. Rozier misses 3-pt jump shot from 23 ft,53,64
4,11:24.0,Defensive rebound by D. Sabonis,,53,64
4,11:15.0,C. Joseph misses 2-pt jump shot from 14 ft,,53,64
