QUARTER,TIME_REMAINING,DALLAS_ACTION,MILWAUKEE_ACTION,DALLAS_SCORE,MILWAUKEE_SCORE
4,7:34.0,M. Kleber misses 3-pt jump shot from 29 ft,,87,102
4,7:33.0,Offensive rebound by Team,,87,102
4,7:33.0,,Loose ball foul by B. Lopez (drawn by D. Jordan),87,102
4,7:33.0,H. Barnes enters the game for J. Brunson,,87,102
4,7:33.0,L. Dončić enters the game for M. Kleber,,87,102
4,7:22.0,Shooting foul by G. Antetokounmpo (drawn by H. Barnes),,87,102
4,7:22.0,H. Barnes misses free throw 1 of 2,,87,102
4,7:22.0,Offensive rebound by Team,,87,102
4,7:22.0,H. Barnes misses free throw 2 of 2,,87,102
4,7:19.0,,Defensive rebound by G. Antetokounmpo,87,102
4,7:12.0,,E. Bledsoe makes 2-pt layup from 2 ft,87,104
4,6:59.0,H. Barnes makes 2-pt jump shot from 13 ft (assist by D. Jordan),,89,104
4,6:41.0,,G. Hill misses 2-pt jump shot from 14 ft,89,104
4,6:37.0,Defensive rebound by H. Barnes,,89,104
4,6:27.0,H. Barnes misses 2-pt jump shot from 14 ft,,89,104
4,6:24.0,,Defensive rebound by G. Antetokounmpo,89,104
4,6:16.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,89,104
4,6:14.0,Defensive rebound by L. Dončić,,89,104
4,6:08.0,W. Matthews misses 2-pt jump shot from 12 ft,,89,104
4,6:03.0,Offensive rebound by H. Barnes,,89,104
4,6:00.0,D. Finney-Smith makes 2-pt dunk from 2 ft (assist by H. Barnes),,91,104
4,5:59.0,,Milwaukee full timeout,91,104
4,5:59.0,,M. Brogdon enters the game for E. Bledsoe,91,104
4,5:46.0,,G. Hill misses 3-pt jump shot from 26 ft,91,104
4,5:42.0,Defensive rebound by D. Finney-Smith,,91,104
4,5:26.0,D. Jordan makes 2-pt layup from 1 ft (assist by L. Dončić),,93,104
4,5:03.0,,Turnover by K. Middleton (bad pass),93,104
4,5:03.0,,S. Brown enters the game for G. Antetokounmpo,93,104
4,4:54.0,L. Dončić misses 2-pt jump shot from 7 ft,,93,104
4,4:54.0,Offensive rebound by Team,,93,104
4,4:54.0,,Loose ball foul by G. Hill (drawn by L. Dončić),93,104
4,4:54.0,L. Dončić makes free throw 1 of 2,,94,104
4,4:54.0,L. Dončić makes free throw 2 of 2,,95,104
4,4:38.0,,M. Brogdon misses 2-pt jump shot from 3 ft,95,104
4,4:36.0,Defensive rebound by L. Dončić,,95,104
4,4:33.0,Shooting foul by B. Lopez (drawn by D. Jordan),,95,104
4,4:33.0,D. Jordan makes free throw 1 of 2,,96,104
4,4:33.0,D. Jordan misses free throw 2 of 2,,96,104
4,4:30.0,,Defensive rebound by K. Middleton,96,104
4,4:18.0,,Turnover by S. Brown (out of bounds lost ball),96,104
4,4:02.0,D. Jordan misses 2-pt hook shot from 9 ft,,96,104
4,3:56.0,Offensive rebound by D. Finney-Smith,,96,104
4,3:56.0,D. Finney-Smith makes 2-pt dunk at rim,,98,104
4,3:56.0,,Milwaukee full timeout,98,104
4,3:56.0,,G. Antetokounmpo enters the game for S. Brown,98,104
4,3:56.0,,E. Bledsoe enters the game for G. Hill,98,104
4,3:51.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),98,106
4,3:33.0,Turnover by H. Barnes (bad pass; steal by M. Brogdon),,98,106
4,3:12.0,,K. Middleton misses 3-pt jump shot from 26 ft,98,106
4,3:09.0,Defensive rebound by D. Jordan,,98,106
4,3:05.0,L. Dončić makes 2-pt jump shot from 16 ft,,100,106
4,3:05.0,Shooting foul by M. Brogdon (drawn by L. Dončić),,100,106
4,3:05.0,L. Dončić makes free throw 1 of 1,,101,106
4,2:49.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,101,108
4,2:32.0,H. Barnes misses 3-pt jump shot from 24 ft,,101,108
4,2:29.0,,Defensive rebound by B. Lopez,101,108
4,2:16.0,,K. Middleton misses 3-pt jump shot from 24 ft,101,108
4,2:13.0,Defensive rebound by D. Jordan,,101,108
4,2:06.0,Turnover by L. Dončić (bad pass; steal by M. Brogdon),,101,108
4,2:03.0,,Shooting foul by L. Dončić (drawn by E. Bledsoe),101,108
4,2:03.0,,E. Bledsoe makes free throw 1 of 2,101,109
4,2:03.0,,E. Bledsoe makes free throw 2 of 2,101,110
4,1:49.0,W. Matthews misses 3-pt jump shot from 28 ft,,101,110
4,1:45.0,,Defensive rebound by G. Antetokounmpo,101,110
4,1:37.0,,G. Antetokounmpo misses 2-pt dunk from 2 ft (block by W. Matthews),101,110
4,1:33.0,,Offensive rebound by G. Antetokounmpo,101,110
4,1:32.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,101,110
4,1:29.0,Defensive rebound by W. Matthews,,101,110
4,1:28.0,H. Barnes makes 2-pt layup from 2 ft (assist by W. Matthews),,103,110
4,1:11.0,,M. Brogdon makes 2-pt jump shot from 20 ft,103,112
4,1:11.0,Dallas full timeout,,103,112
4,1:11.0,,G. Hill enters the game for K. Middleton,103,112
4,1:00.0,L. Dončić makes 3-pt jump shot from 29 ft (assist by D. Finney-Smith),,106,112
4,0:45.0,,Personal foul by D. Jordan (drawn by M. Brogdon),106,112
4,0:45.0,,M. Brogdon makes free throw 1 of 2,106,113
4,0:45.0,,M. Brogdon makes free throw 2 of 2,106,114
4,0:32.0,H. Barnes misses 3-pt jump shot from 23 ft,,106,114
4,0:29.0,,Defensive rebound by B. Lopez,106,114
4,0:27.0,,E. Bledsoe makes 2-pt dunk from 1 ft (assist by M. Brogdon),106,116
4,0:18.0,W. Matthews misses 3-pt jump shot from 28 ft,,106,116
4,0:15.0,,Defensive rebound by G. Hill,106,116
