QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,TORONTO_ACTION,SACRAMENTO_SCORE,TORONTO_SCORE
4,7:48.0,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by M. Bagley),,88,101
4,7:33.0,,C. Miles misses 3-pt jump shot from 25 ft,88,101
4,7:33.0,,Offensive rebound by D. Wright,88,101
4,7:29.0,,D. Wright makes 2-pt layup from 2 ft,88,103
4,7:13.0,B. Hield makes 2-pt jump shot from 14 ft,,90,103
4,7:13.0,,Violation by Team (def goaltending),90,103
4,6:59.0,,C. Boucher misses 3-pt jump shot from 25 ft,90,103
4,6:57.0,Defensive rebound by Team,,90,103
4,6:57.0,,Loose ball foul by C. Miles (drawn by W. Cauley-Stein),90,103
4,6:57.0,W. Cauley-Stein makes free throw 1 of 2,,91,103
4,6:57.0,W. Cauley-Stein makes free throw 2 of 2,,92,103
4,6:34.0,,D. Wright misses 2-pt layup from 3 ft (block by B. Hield),92,103
4,6:30.0,Defensive rebound by M. Bagley,,92,103
4,6:27.0,Turnover by B. Bogdanović (bad pass),,92,103
4,6:22.0,,Personal foul by B. Bogdanović (drawn by C. Boucher),92,103
4,6:12.0,,K. Lowry misses 3-pt jump shot from 25 ft,92,103
4,6:10.0,Defensive rebound by M. Bagley,,92,103
4,6:01.0,M. Bagley makes 2-pt jump shot from 10 ft (assist by B. Hield),,94,103
4,5:44.0,,Shooting foul by W. Cauley-Stein (drawn by D. Wright),94,103
4,5:44.0,,D. Wright makes free throw 1 of 2,94,104
4,5:44.0,,F. VanVleet enters the game for N. Powell,94,104
4,5:44.0,,D. Wright makes free throw 2 of 2,94,105
4,5:28.0,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Bogdanović),,96,105
4,5:12.0,,C. Miles misses 2-pt dunk from 1 ft,96,105
4,5:10.0,Defensive rebound by W. Cauley-Stein,,96,105
4,5:03.0,Y. Ferrell misses 2-pt jump shot from 18 ft,,96,105
4,5:03.0,,Defensive rebound by Team,96,105
4,5:03.0,Loose ball foul by M. Bagley (drawn by C. Miles),,96,105
4,5:03.0,,C. Miles makes free throw 1 of 2,96,106
4,5:03.0,,S. Ibaka enters the game for C. Boucher,96,106
4,5:03.0,,P. Siakam enters the game for K. Lowry,96,106
4,5:03.0,,C. Miles misses free throw 2 of 2,96,106
4,5:01.0,Defensive rebound by M. Bagley,,96,106
4,4:46.0,M. Bagley misses 3-pt jump shot from 25 ft,,96,106
4,4:43.0,,Defensive rebound by D. Wright,96,106
4,4:33.0,,P. Siakam makes 2-pt hook shot from 3 ft,96,108
4,4:33.0,Violation by Team (def goaltending),,96,108
4,4:21.0,Personal foul by C. Miles (drawn by B. Bogdanović),,96,108
4,4:21.0,B. Bogdanović makes free throw 1 of 2,,97,108
4,4:21.0,,K. Lowry enters the game for C. Miles,97,108
4,4:21.0,B. Bogdanović makes free throw 2 of 2,,98,108
4,4:06.0,,K. Lowry misses 2-pt jump shot from 21 ft,98,108
4,4:06.0,,Offensive rebound by Team,98,108
4,4:06.0,,Toronto full timeout,98,108
4,4:00.0,,K. Lowry makes 3-pt jump shot from 26 ft (assist by F. VanVleet),98,111
4,3:37.0,B. Hield misses 3-pt jump shot from 25 ft,,98,111
4,3:37.0,,Defensive rebound by Team,98,111
4,3:23.0,,S. Ibaka misses 2-pt jump shot from 18 ft,98,111
4,3:22.0,Defensive rebound by B. Hield,,98,111
4,3:11.0,Personal foul by D. Wright (drawn by B. Bogdanović),,98,111
4,3:11.0,B. Bogdanović misses free throw 1 of 2,,98,111
4,3:11.0,Offensive rebound by Team,,98,111
4,3:11.0,B. Bogdanović makes free throw 2 of 2,,99,111
4,3:01.0,,S. Ibaka misses 2-pt jump shot from 17 ft,99,111
4,3:00.0,,Offensive rebound by Team,99,111
4,2:55.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by F. VanVleet),99,114
4,2:34.0,B. Hield misses 2-pt jump shot from 18 ft,,99,114
4,2:31.0,,Defensive rebound by S. Ibaka,99,114
4,2:28.0,,Shooting foul by B. Hield (drawn by K. Lowry),99,114
4,2:28.0,,K. Lowry makes free throw 1 of 2,99,115
4,2:28.0,,C. Boucher enters the game for S. Ibaka,99,115
4,2:28.0,,P. McCaw enters the game for P. Siakam,99,115
4,2:28.0,,N. Powell enters the game for F. VanVleet,99,115
4,2:28.0,,K. Lowry makes free throw 2 of 2,99,116
4,2:17.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,99,116
4,2:14.0,Offensive rebound by M. Bagley,,99,116
4,2:13.0,M. Bagley makes 2-pt dunk from 2 ft,,101,116
4,2:03.0,,C. Boucher makes 2-pt dunk from 1 ft (assist by K. Lowry),101,118
4,1:52.0,B. Hield misses 3-pt jump shot from 26 ft,,101,118
4,1:49.0,,Defensive rebound by D. Wright,101,118
4,1:43.0,,C. Boucher misses 3-pt jump shot from 25 ft,101,118
4,1:41.0,Defensive rebound by M. Bagley,,101,118
4,1:34.0,M. Bagley misses 3-pt jump shot from 26 ft,,101,118
4,1:31.0,Offensive rebound by W. Cauley-Stein,,101,118
4,1:29.0,Turnover by B. Hield (step out of bounds),,101,118
4,1:29.0,B. McLemore enters the game for B. Bogdanović,,101,118
4,1:29.0,,J. Loyd enters the game for K. Lowry,101,118
4,1:29.0,,M. Richardson enters the game for D. Wright,101,118
4,1:12.0,,Turnover by P. McCaw (traveling),101,118
4,0:58.0,,Violation by Team (kicked ball),101,118
4,0:52.0,Y. Ferrell misses 3-pt jump shot from 26 ft,,101,118
4,0:51.0,,Defensive rebound by Team,101,118
4,0:41.0,,J. Loyd misses 2-pt layup from 1 ft,101,118
4,0:41.0,,Offensive rebound by Team,101,118
4,0:41.0,Loose ball foul by W. Cauley-Stein (drawn by C. Boucher),,101,118
4,0:41.0,,C. Boucher makes free throw 1 of 2,101,119
4,0:41.0,,C. Boucher makes free throw 2 of 2,101,120
4,0:29.0,B. McLemore makes 2-pt jump shot from 16 ft,,103,120
4,0:10.0,,N. Powell misses 2-pt layup from 2 ft,103,120
4,0:09.0,Defensive rebound by B. Hield,,103,120
4,0:05.0,Shooting foul by P. McCaw (drawn by B. McLemore),,103,120
4,0:05.0,B. McLemore misses free throw 1 of 3,,103,120
4,0:05.0,Offensive rebound by Team,,103,120
4,0:05.0,B. McLemore makes free throw 2 of 3,,104,120
4,0:05.0,B. McLemore makes free throw 3 of 3,,105,120
