QUARTER,TIME_REMAINING,DENVER_ACTION,MILWAUKEE_ACTION,DENVER_SCORE,MILWAUKEE_SCORE
4,6:20.0,,B. Lopez misses 3-pt jump shot from 27 ft,89,87
4,6:19.0,,Offensive rebound by K. Middleton,89,87
4,6:08.0,,P. Connaughton makes 2-pt dunk from 2 ft (assist by K. Middleton),89,89
4,5:48.0,G. Harris misses 2-pt jump shot from 8 ft,,89,89
4,5:46.0,,Defensive rebound by B. Lopez,89,89
4,5:34.0,,G. Antetokounmpo misses 3-pt jump shot from 23 ft,89,89
4,5:31.0,Defensive rebound by M. Morris,,89,89
4,5:26.0,M. Morris misses 3-pt jump shot from 26 ft,,89,89
4,5:20.0,,Defensive rebound by B. Lopez,89,89
4,5:11.0,,E. Bledsoe makes 3-pt jump shot from 27 ft (assist by K. Middleton),89,92
4,4:48.0,G. Harris misses 2-pt jump shot from 8 ft,,89,92
4,4:44.0,,Defensive rebound by G. Antetokounmpo,89,92
4,4:30.0,,K. Middleton misses 3-pt jump shot from 28 ft,89,92
4,4:30.0,Defensive rebound by Team,,89,92
4,4:30.0,,Loose ball foul by E. Bledsoe (drawn by M. Morris),89,92
4,4:30.0,P. Millsap enters the game for M. Beasley,,89,92
4,4:30.0,J. Murray enters the game for M. Morris,,89,92
4,4:18.0,Turnover by J. Murray (lost ball; steal by E. Bledsoe),,89,92
4,4:10.0,,Offensive rebound by G. Antetokounmpo,89,92
4,4:10.0,,K. Middleton misses 3-pt jump shot from 28 ft,89,92
4,4:10.0,,M. Brogdon enters the game for P. Connaughton,89,92
4,3:54.0,,E. Bledsoe makes 3-pt jump shot from 27 ft,89,95
4,3:53.0,Denver full timeout,,89,95
4,3:39.0,N. Jokić makes 2-pt layup from 2 ft,,91,95
4,3:39.0,Shooting foul by B. Lopez (drawn by N. Jokić),,91,95
4,3:39.0,N. Jokić makes free throw 1 of 1,,92,95
4,3:16.0,,G. Antetokounmpo misses 2-pt jump shot from 8 ft,92,95
4,3:15.0,,Offensive rebound by Team,92,95
4,3:15.0,,Turnover by Team (shot clock),92,95
4,3:03.0,,Violation by Team (kicked ball),92,95
4,2:53.0,Turnover by N. Jokić (bad pass; steal by G. Antetokounmpo),,92,95
4,2:53.0,,Personal foul by J. Murray (drawn by K. Middleton),92,95
4,2:41.0,,B. Lopez makes 3-pt jump shot from 28 ft (assist by E. Bledsoe),92,98
4,2:27.0,N. Jokić misses 3-pt jump shot from 27 ft,,92,98
4,2:24.0,,Defensive rebound by K. Middleton,92,98
4,2:13.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),92,100
4,1:54.0,J. Hernangómez misses 3-pt jump shot from 26 ft,,92,100
4,1:51.0,,Defensive rebound by M. Brogdon,92,100
4,1:30.0,,M. Brogdon misses 2-pt layup from 2 ft,92,100
4,1:28.0,Defensive rebound by P. Millsap,,92,100
4,1:23.0,G. Harris makes 3-pt jump shot from 28 ft (assist by P. Millsap),,95,100
4,0:59.0,,Turnover by Team (shot clock),95,100
4,0:48.0,N. Jokić makes 3-pt jump shot from 28 ft (assist by J. Murray),,98,100
4,0:27.0,,K. Middleton makes 3-pt jump shot from 26 ft,98,103
4,0:27.0,Denver full timeout,,98,103
4,0:26.0,G. Harris misses 3-pt jump shot from 28 ft,,98,103
4,0:22.0,Offensive rebound by J. Hernangómez,,98,103
4,0:20.0,J. Hernangómez misses 3-pt jump shot from 28 ft,,98,103
4,0:18.0,,Defensive rebound by G. Antetokounmpo,98,103
4,0:18.0,,Personal foul by N. Jokić (drawn by G. Antetokounmpo),98,103
4,0:15.0,,Personal foul by J. Hernangómez (drawn by E. Bledsoe),98,103
4,0:15.0,,E. Bledsoe misses free throw 1 of 2,98,103
4,0:15.0,,Offensive rebound by Team,98,103
4,0:15.0,,E. Bledsoe makes free throw 2 of 2,98,104
4,0:07.0,G. Harris misses 2-pt jump shot from 19 ft,,98,104
4,0:05.0,Offensive rebound by N. Jokić,,98,104
4,0:03.0,P. Millsap misses 3-pt jump shot from 25 ft (block by B. Lopez),,98,104
4,0:03.0,,Defensive rebound by G. Antetokounmpo,98,104
