QUARTER,TIME_REMAINING,HOUSTON_ACTION,CHICAGO_ACTION,HOUSTON_SCORE,CHICAGO_SCORE
4,1:28.0,,Chicago full timeout,94,86
4,1:16.0,,J. Parker misses 2-pt jump shot from 8 ft,94,86
4,1:14.0,,Offensive rebound by W. Carter,94,86
4,1:13.0,,W. Carter misses 2-pt jump shot from 11 ft,94,86
4,1:13.0,,Offensive rebound by Team,94,86
4,1:04.0,,Turnover by J. Parker (bad pass; steal by C. Paul),94,86
4,0:49.0,C. Anthony misses 3-pt jump shot from 25 ft,,94,86
4,0:45.0,,Defensive rebound by W. Carter,94,86
4,0:39.0,,Z. LaVine misses 3-pt jump shot from 27 ft,94,86
4,0:34.0,Defensive rebound by C. Paul,,94,86
4,0:32.0,Personal foul by Z. LaVine (drawn by C. Paul),,94,86
4,0:31.0,Personal foul by C. Hutchison (drawn by C. Paul),,94,86
4,0:31.0,C. Paul misses free throw 1 of 2,,94,86
4,0:31.0,Offensive rebound by Team,,94,86
4,0:31.0,C. Paul makes free throw 2 of 2,,95,86
4,0:25.0,,Z. LaVine makes 2-pt layup from 1 ft,95,88
4,0:24.0,Personal take foul by Z. LaVine (drawn by J. Harden),,95,88
4,0:24.0,J. Harden misses free throw 1 of 2,,95,88
4,0:24.0,Offensive rebound by Team,,95,88
4,0:24.0,J. Harden makes free throw 2 of 2,,96,88
4,0:24.0,,J. Holiday misses 3-pt jump shot from 23 ft,96,88
4,0:10.0,Defensive rebound by C. Anthony,,96,88
