QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DENVER_ACTION,WASHINGTON_SCORE,DENVER_SCORE
4,3:47.0,,M. Plumlee enters the game for N. Jokić,90,88
4,3:31.0,T. Bryant makes 2-pt layup from 3 ft (assist by B. Beal),,92,88
4,3:13.0,,P. Millsap misses 2-pt layup from 3 ft,92,88
4,3:13.0,,Offensive rebound by M. Plumlee,92,88
4,3:09.0,,M. Plumlee misses 2-pt layup at rim,92,88
4,3:07.0,Defensive rebound by B. Portis,,92,88
4,2:49.0,Personal foul by M. Morris (drawn by T. Bryant),,92,88
4,2:35.0,B. Beal misses 3-pt jump shot from 25 ft,,92,88
4,2:31.0,,Defensive rebound by W. Barton,92,88
4,2:20.0,,G. Harris misses 3-pt jump shot from 25 ft,92,88
4,2:18.0,,Offensive rebound by Team,92,88
4,2:12.0,,Personal foul by B. Portis (drawn by P. Millsap),92,88
4,2:12.0,,P. Millsap makes free throw 1 of 2,92,89
4,2:12.0,,P. Millsap makes free throw 2 of 2,92,90
4,2:05.0,Personal foul by G. Harris (drawn by B. Beal),,92,90
4,2:05.0,J. Parker enters the game for B. Portis,,92,90
4,1:58.0,T. Bryant makes 2-pt dunk from 1 ft (assist by B. Beal),,94,90
4,1:50.0,Violation by Team (kicked ball),,94,90
4,1:43.0,,Turnover by M. Plumlee (bad pass; steal by B. Beal),94,90
4,1:22.0,Washington full timeout,,94,90
4,1:20.0,T. Bryant misses 3-pt jump shot from 26 ft,,94,90
4,1:15.0,,Defensive rebound by W. Barton,94,90
4,1:04.0,,W. Barton misses 3-pt jump shot from 26 ft,94,90
4,1:02.0,,Offensive rebound by P. Millsap,94,90
4,1:02.0,,Shooting foul by T. Bryant (drawn by P. Millsap),94,90
4,1:02.0,,P. Millsap misses free throw 1 of 2,94,90
4,1:02.0,,Offensive rebound by Team,94,90
4,1:02.0,,P. Millsap misses free throw 2 of 2,94,90
4,0:59.0,,Offensive rebound by P. Millsap,94,90
4,0:55.0,,P. Millsap misses 2-pt layup from 3 ft,94,90
4,0:54.0,,Offensive rebound by P. Millsap,94,90
4,0:54.0,,P. Millsap misses 2-pt layup at rim,94,90
4,0:54.0,,Offensive rebound by P. Millsap,94,90
4,0:54.0,,P. Millsap misses 2-pt layup at rim,94,90
4,0:54.0,Defensive rebound by T. Bryant,,94,90
4,0:54.0,,Loose ball foul by M. Plumlee (drawn by T. Bryant),94,90
4,0:54.0,Technical foul by B. Beal,,94,90
4,0:54.0,,W. Barton misses technical free throw,94,90
4,0:54.0,Defensive rebound by Team,,94,90
4,0:33.0,T. Brown misses 3-pt jump shot from 23 ft,,94,90
4,0:30.0,Offensive rebound by T. Bryant,,94,90
4,0:29.0,T. Bryant misses 2-pt layup from 3 ft,,94,90
4,0:29.0,,Defensive rebound by P. Millsap,94,90
4,0:29.0,,Denver full timeout,94,90
4,0:13.0,,P. Millsap misses 3-pt jump shot from 25 ft,94,90
4,0:11.0,Defensive rebound by J. Parker,,94,90
4,0:11.0,Personal take foul by M. Plumlee (drawn by J. Parker),,94,90
4,0:11.0,J. Parker makes free throw 1 of 2,,95,90
4,0:11.0,J. Parker misses free throw 2 of 2,,95,90
4,0:11.0,,Defensive rebound by M. Plumlee,95,90
4,0:11.0,,Denver full timeout,95,90
4,0:09.0,,Turnover by G. Harris (lost ball; steal by B. Beal),95,90
