QUARTER,TIME_REMAINING,CLEVELAND_ACTION,GOLDEN STATE_ACTION,CLEVELAND_SCORE,GOLDEN STATE_SCORE
4,0:24.0,Defensive rebound by L. Nance,,114,118
4,0:11.0,C. Sexton misses 2-pt jump shot from 18 ft,,114,118
4,0:10.0,,Defensive rebound by D. Green,114,118
4,0:08.0,,Personal foul by J. Clarkson (drawn by D. Green),114,118
4,0:07.0,,Personal foul by C. Sexton (drawn by S. Curry),114,118
4,0:07.0,,S. Curry makes free throw 1 of 2,114,119
4,0:07.0,,S. Curry makes free throw 2 of 2,114,120
4,0:07.0,Cleveland full timeout,,114,120
4,0:07.0,,K. Looney enters the game for A. Bogut,114,120
4,0:07.0,Cleveland full timeout,,114,120
4,0:02.0,J. Clarkson misses 3-pt jump shot from 33 ft,,114,120
4,0:00.0,Offensive rebound by Team,,114,120
