QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,UTAH_ACTION,NEW ORLEANS_SCORE,UTAH_SCORE
2,1:49.0,J. Randle misses 2-pt jump shot from 6 ft,,46,58
2,1:47.0,,Defensive rebound by R. Gobert,46,58
2,1:42.0,,D. Mitchell misses 3-pt jump shot from 25 ft,46,58
2,1:38.0,Defensive rebound by J. Holiday,,46,58
2,1:29.0,C. Diallo makes 2-pt jump shot from 13 ft (assist by J. Randle),,48,58
2,1:28.0,Technical foul by J. Randle,,48,58
2,1:28.0,,R. Rubio misses technical free throw,48,58
2,1:28.0,,Offensive rebound by Team,48,58
2,1:11.0,,D. Mitchell misses 3-pt jump shot from 25 ft,48,58
2,1:08.0,Defensive rebound by J. Randle,,48,58
2,0:53.0,E. Moore misses 2-pt jump shot from 11 ft,,48,58
2,0:50.0,Offensive rebound by J. Randle,,48,58
2,0:50.0,Shooting foul by R. Gobert (drawn by J. Randle),,48,58
2,0:50.0,J. Randle makes free throw 1 of 2,,49,58
2,0:50.0,J. Randle makes free throw 2 of 2,,50,58
2,0:39.0,,J. Crowder makes 3-pt jump shot from 22 ft (assist by R. Rubio),50,61
2,0:29.0,J. Randle misses 2-pt layup from 3 ft,,50,61
2,0:25.0,Offensive rebound by E. Payton,,50,61
2,0:19.0,Shooting foul by R. Gobert (drawn by J. Randle),,50,61
2,0:19.0,J. Randle makes free throw 1 of 2,,51,61
2,0:19.0,J. Randle makes free throw 2 of 2,,52,61
2,0:01.0,,D. Mitchell misses 2-pt jump shot from 14 ft,52,61
2,0:01.0,,Offensive rebound by Team,52,61
3,11:45.0,A. Davis makes 2-pt dunk from 2 ft (assist by J. Holiday),,54,61
3,11:22.0,,Turnover by D. Mitchell (traveling),54,61
3,11:10.0,J. Randle misses 3-pt jump shot from 25 ft,,54,61
3,11:09.0,,Defensive rebound by R. Gobert,54,61
3,10:59.0,,D. Mitchell makes 3-pt jump shot from 23 ft (assist by J. Ingles),54,64
3,10:36.0,Turnover by E. Payton (bad pass; steal by R. Rubio),,54,64
3,10:18.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),54,67
3,10:01.0,Shooting foul by D. Mitchell (drawn by K. Williams),,54,67
3,10:01.0,K. Williams makes free throw 1 of 2,,55,67
3,10:01.0,K. Williams misses free throw 2 of 2,,55,67
3,10:00.0,,Defensive rebound by R. Gobert,55,67
3,9:47.0,,R. Rubio misses 2-pt jump shot from 12 ft,55,67
