QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,WASHINGTON_ACTION,GOLDEN STATE_SCORE,WASHINGTON_SCORE
4,3:43.0,K. Thompson enters the game for A. McKinnie,,119,110
4,3:43.0,,J. Green makes free throw 1 of 1,119,111
4,3:28.0,S. Curry makes 2-pt jump shot from 16 ft (assist by K. Durant),,121,111
4,3:16.0,,Offensive foul by B. Beal (drawn by S. Curry),121,111
4,3:16.0,,Turnover by B. Beal (offensive foul),121,111
4,3:04.0,S. Curry makes 2-pt layup from 3 ft,,123,111
4,3:04.0,,Washington full timeout,123,111
4,2:49.0,,Offensive foul by J. Green (drawn by K. Durant),123,111
4,2:49.0,,Turnover by J. Green (offensive foul),123,111
4,2:33.0,S. Curry misses 2-pt jump shot from 9 ft,,123,111
4,2:30.0,,Defensive rebound by T. Ariza,123,111
4,2:23.0,,O. Porter misses 3-pt jump shot from 23 ft,123,111
4,2:20.0,Defensive rebound by D. Green,,123,111
4,2:09.0,Offensive foul by D. Green (drawn by J. Green),,123,111
4,2:09.0,Turnover by D. Green (offensive foul),,123,111
4,2:04.0,,Shooting foul by K. Thompson (drawn by B. Beal),123,111
4,2:04.0,,B. Beal misses free throw 1 of 2,123,111
4,2:04.0,,Offensive rebound by Team,123,111
4,2:04.0,,B. Beal misses free throw 2 of 2,123,111
4,2:01.0,Defensive rebound by D. Green,,123,111
4,1:38.0,A. Iguodala makes 3-pt jump shot from 23 ft (assist by K. Durant),,126,111
4,1:25.0,,T. Ariza makes 2-pt layup from 2 ft (assist by T. Satoranský),126,113
4,1:06.0,K. Durant misses 2-pt jump shot from 19 ft,,126,113
4,1:03.0,,Defensive rebound by O. Porter,126,113
4,1:00.0,,J. Green makes 2-pt layup from 2 ft (assist by T. Ariza),126,115
4,0:41.0,S. Curry misses 3-pt jump shot from 29 ft,,126,115
4,0:38.0,,Defensive rebound by O. Porter,126,115
4,0:35.0,,J. Green makes 3-pt jump shot from 26 ft (assist by T. Satoranský),126,118
4,0:21.0,S. Curry misses 2-pt layup from 1 ft (block by T. Ariza),,126,118
4,0:18.0,,Defensive rebound by O. Porter,126,118
4,0:15.0,,Turnover by T. Satoranský (lost ball; steal by K. Durant),126,118
