QUARTER,TIME_REMAINING,ATLANTA_ACTION,DALLAS_ACTION,ATLANTA_SCORE,DALLAS_SCORE
4,5:58.0,Defensive rebound by D. Bembry,,87,97
4,5:42.0,Turnover by J. Collins (lost ball; steal by W. Matthews),,87,97
4,5:32.0,,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by M. Kleber),87,100
4,5:29.0,Atlanta full timeout,,87,100
4,5:29.0,K. Bazemore enters the game for D. Bembry,,87,100
4,5:29.0,,H. Barnes enters the game for M. Kleber,87,100
4,5:21.0,Personal foul by D. Finney-Smith (drawn by T. Young),,87,100
4,5:14.0,T. Young makes 2-pt jump shot from 13 ft,,89,100
4,5:01.0,,Personal foul by K. Huerter (drawn by L. Dončić),89,100
4,5:01.0,,L. Dončić misses free throw 1 of 2,89,100
4,5:01.0,,Offensive rebound by Team,89,100
4,5:01.0,,L. Dončić makes free throw 2 of 2,89,101
4,4:49.0,T. Young makes 2-pt layup from 1 ft,,91,101
4,4:35.0,,L. Dončić makes 3-pt jump shot from 25 ft (assist by D. Jordan),91,104
4,4:17.0,D. Dedmon makes 3-pt jump shot from 23 ft (assist by T. Young),,94,104
4,3:52.0,,H. Barnes makes 3-pt jump shot from 22 ft (assist by D. Finney-Smith),94,107
4,3:38.0,T. Young misses 3-pt jump shot from 26 ft,,94,107
4,3:34.0,,Defensive rebound by H. Barnes,94,107
4,3:23.0,,H. Barnes makes 2-pt jump shot from 4 ft (assist by L. Dončić),94,109
4,3:22.0,Atlanta full timeout,,94,109
4,3:22.0,,J. Brunson enters the game for D. Finney-Smith,94,109
4,3:09.0,Turnover by J. Collins (traveling),,94,109
4,2:48.0,,H. Barnes misses 3-pt jump shot from 26 ft,94,109
4,2:44.0,Defensive rebound by K. Bazemore,,94,109
4,2:33.0,K. Bazemore misses 2-pt jump shot from 5 ft,,94,109
4,2:31.0,Offensive rebound by J. Collins,,94,109
4,2:31.0,J. Collins makes 2-pt layup from 2 ft,,96,109
4,2:16.0,,Turnover by L. Dončić (bad pass; steal by K. Bazemore),96,109
4,2:14.0,Shooting foul by L. Dončić (drawn by K. Huerter),,96,109
4,2:14.0,K. Huerter makes free throw 1 of 2,,97,109
4,2:14.0,K. Huerter misses free throw 2 of 2,,97,109
4,2:11.0,,Defensive rebound by D. Jordan,97,109
4,1:48.0,,J. Brunson misses 3-pt jump shot from 23 ft,97,109
4,1:45.0,Defensive rebound by J. Collins,,97,109
4,1:40.0,K. Bazemore makes 3-pt jump shot from 25 ft,,100,109
4,1:40.0,,Dallas full timeout,100,109
4,1:40.0,Technical foul by T. Young,,100,109
4,1:40.0,,Technical foul by D. Jordan,100,109
4,1:40.0,J. Anderson enters the game for J. Collins,,100,109
4,1:24.0,,Personal foul by D. Dedmon (drawn by L. Dončić),100,109
4,1:24.0,Technical foul by J. Anderson,,100,109
4,1:24.0,,Technical foul by L. Dončić,100,109
4,1:24.0,,L. Dončić misses free throw 1 of 2,100,109
4,1:24.0,,Offensive rebound by Team,100,109
4,1:24.0,J. Collins enters the game for J. Anderson,,100,109
4,1:24.0,,L. Dončić makes free throw 2 of 2,100,110
4,1:12.0,T. Young makes 2-pt jump shot from 11 ft,,102,110
4,0:51.0,,D. Jordan misses 2-pt layup from 2 ft,102,110
4,0:49.0,Defensive rebound by J. Collins,,102,110
4,0:42.0,K. Huerter makes 3-pt jump shot from 23 ft (assist by T. Young),,105,110
4,0:40.0,,Personal take foul by K. Huerter (drawn by J. Brunson),105,110
4,0:40.0,,J. Brunson makes free throw 1 of 2,105,111
4,0:40.0,,J. Brunson makes free throw 2 of 2,105,112
4,0:33.0,T. Young makes 2-pt layup from 2 ft,,107,112
4,0:28.0,,Personal take foul by K. Bazemore (drawn by J. Brunson),107,112
4,0:28.0,,J. Brunson misses free throw 1 of 2,107,112
4,0:28.0,,Offensive rebound by Team,107,112
4,0:28.0,,J. Brunson makes free throw 2 of 2,107,113
4,0:22.0,T. Young misses 3-pt jump shot from 27 ft,,107,113
4,0:20.0,,Defensive rebound by L. Dončić,107,113
4,0:10.0,,Personal foul by D. Dedmon (drawn by L. Dončić),107,113
4,0:10.0,,L. Dončić misses free throw 1 of 2,107,113
4,0:10.0,,Offensive rebound by Team,107,113
4,0:10.0,,L. Dončić makes free throw 2 of 2,107,114
4,0:00.0,K. Bazemore misses 3-pt jump shot from 24 ft,,107,114
4,0:00.0,,Defensive rebound by L. Dončić,107,114
