QUARTER,TIME_REMAINING,DETROIT_ACTION,SACRAMENTO_ACTION,DETROIT_SCORE,SACRAMENTO_SCORE
4,4:19.0,,Loose ball foul by J. Jackson (drawn by J. Calderón),89,106
4,4:05.0,L. Kennard misses 2-pt jump shot from 19 ft,,89,106
4,4:02.0,Offensive rebound by J. Calderón,,89,106
4,3:51.0,Turnover by J. Calderón (bad pass; steal by B. Bogdanović),,89,106
4,3:47.0,,D. Fox makes 2-pt layup from 3 ft (assist by B. Bogdanović),89,108
4,3:38.0,Turnover by J. Calderón (bad pass; steal by D. Fox),,89,108
4,3:37.0,,Personal take foul by R. Bullock (drawn by D. Fox),89,108
4,3:37.0,,D. Fox misses free throw 1 of 2,89,108
4,3:37.0,,Offensive rebound by Team,89,108
4,3:37.0,,D. Fox misses free throw 2 of 2,89,108
4,3:36.0,Defensive rebound by A. Drummond,,89,108
4,3:36.0,Detroit full timeout,,89,108
4,3:36.0,B. Brown enters the game for J. Calderón,,89,108
4,3:36.0,,Y. Ferrell enters the game for B. Bogdanović,89,108
4,3:36.0,,H. Giles enters the game for W. Cauley-Stein,89,108
4,3:36.0,,F. Mason enters the game for D. Fox,89,108
4,3:36.0,,B. McLemore enters the game for J. Jackson,89,108
4,3:22.0,K. Thomas makes 2-pt layup from 2 ft,,91,108
4,3:05.0,,Turnover by H. Giles (bad pass),91,108
4,3:05.0,Personal foul by B. McLemore (drawn by L. Kennard),,91,108
4,3:05.0,L. Kennard makes free throw 1 of 2,,92,108
4,3:05.0,J. Leuer enters the game for R. Bullock,,92,108
4,3:05.0,G. Robinson enters the game for A. Drummond,,92,108
4,3:05.0,L. Kennard makes free throw 2 of 2,,93,108
4,2:43.0,,Personal foul by B. Brown (drawn by H. Giles),93,108
4,2:43.0,,H. Giles makes free throw 1 of 2,93,109
4,2:43.0,,H. Giles makes free throw 2 of 2,93,110
4,2:27.0,Shooting foul by H. Giles (drawn by G. Robinson),,93,110
4,2:27.0,G. Robinson makes free throw 1 of 2,,94,110
4,2:27.0,G. Robinson makes free throw 2 of 2,,95,110
4,2:11.0,,Turnover by H. Giles (bad pass; steal by K. Thomas),95,110
4,2:05.0,Turnover by J. Leuer (bad pass),,95,110
4,1:50.0,,H. Giles misses 2-pt jump shot from 10 ft,95,110
4,1:48.0,Defensive rebound by B. Brown,,95,110
4,1:45.0,Turnover by B. Brown (bad pass; steal by M. Bagley),,95,110
4,1:38.0,,Turnover by M. Bagley (bad pass; steal by J. Leuer),95,110
4,1:33.0,L. Kennard misses 3-pt jump shot from 24 ft,,95,110
4,1:30.0,Offensive rebound by J. Leuer,,95,110
4,1:30.0,J. Leuer makes 2-pt layup from 1 ft,,97,110
4,1:30.0,,Sacramento full timeout,97,110
4,1:18.0,,H. Giles makes 2-pt dunk from 1 ft (assist by F. Mason),97,112
4,1:00.0,Shooting foul by F. Mason (drawn by J. Leuer),,97,112
4,1:00.0,J. Leuer makes free throw 1 of 2,,98,112
4,1:00.0,J. Leuer misses free throw 2 of 2,,98,112
4,0:57.0,,Defensive rebound by H. Giles,98,112
4,0:41.0,,Turnover by H. Giles (bad pass; steal by B. Brown),98,112
4,0:39.0,B. Brown makes 2-pt dunk from 1 ft,,100,112
4,0:21.0,,F. Mason misses 3-pt jump shot from 24 ft,100,112
4,0:19.0,Defensive rebound by J. Leuer,,100,112
4,0:12.0,L. Kennard misses 3-pt jump shot from 24 ft,,100,112
4,0:10.0,Offensive rebound by J. Leuer,,100,112
4,0:10.0,J. Leuer makes 2-pt layup at rim,,102,112
