QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PORTLAND_ACTION,WASHINGTON_SCORE,PORTLAND_SCORE
4,8:05.0,,M. Harkless misses 2-pt jump shot from 4 ft,86,87
4,8:03.0,Defensive rebound by J. Green,,86,87
4,7:57.0,O. Porter misses 3-pt jump shot from 26 ft,,86,87
4,7:56.0,,Defensive rebound by N. Stauskas,86,87
4,7:44.0,,D. Lillard misses 2-pt jump shot from 15 ft,86,87
4,7:42.0,,Offensive rebound by Z. Collins,86,87
4,7:42.0,,Shooting foul by O. Porter (drawn by Z. Collins),86,87
4,7:42.0,,Z. Collins misses free throw 1 of 2,86,87
4,7:42.0,,Offensive rebound by Team,86,87
4,7:42.0,B. Beal enters the game for T. Satoranský,,86,87
4,7:42.0,,Z. Collins makes free throw 2 of 2,86,88
4,7:28.0,J. Green makes 2-pt layup from 4 ft (assist by J. Wall),,88,88
4,7:15.0,,Offensive foul by N. Stauskas (drawn by B. Beal),88,88
4,7:15.0,,Turnover by N. Stauskas (offensive foul),88,88
4,7:15.0,,A. Aminu enters the game for Z. Collins,88,88
4,7:15.0,,C. McCollum enters the game for S. Curry,88,88
4,7:15.0,,J. Nurkić enters the game for M. Harkless,88,88
4,7:02.0,J. Wall misses 2-pt jump shot from 6 ft,,88,88
4,6:58.0,Offensive rebound by O. Porter,,88,88
4,6:58.0,O. Porter makes 2-pt layup from 1 ft,,90,88
4,6:37.0,,J. Nurkić makes 2-pt hook shot from 5 ft,90,90
4,6:22.0,J. Green makes 2-pt hook shot from 5 ft (assist by B. Beal),,92,90
4,5:55.0,,N. Stauskas makes 3-pt jump shot from 24 ft (assist by C. McCollum),92,93
4,5:37.0,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),,95,93
4,5:13.0,,C. McCollum makes 2-pt jump shot from 16 ft,95,95
4,4:59.0,J. Green makes 2-pt hook shot from 3 ft (assist by B. Beal),,97,95
4,4:40.0,,C. McCollum misses 3-pt jump shot from 25 ft,97,95
4,4:38.0,Defensive rebound by A. Rivers,,97,95
4,4:27.0,J. Wall misses 2-pt jump shot from 16 ft,,97,95
4,4:25.0,,Defensive rebound by D. Lillard,97,95
4,4:25.0,,Personal foul by O. Porter (drawn by D. Lillard),97,95
4,4:25.0,,Portland full timeout,97,95
4,4:25.0,,D. Lillard makes free throw 1 of 2,97,96
4,4:25.0,,D. Lillard makes free throw 2 of 2,97,97
4,4:07.0,B. Beal misses 2-pt jump shot from 13 ft,,97,97
4,4:04.0,,Defensive rebound by A. Aminu,97,97
4,3:51.0,,J. Nurkić makes 2-pt dunk from 1 ft (assist by D. Lillard),97,99
4,3:32.0,O. Porter misses 3-pt jump shot from 24 ft,,97,99
4,3:29.0,,Defensive rebound by D. Lillard,97,99
4,3:21.0,,C. McCollum misses 2-pt layup from 2 ft,97,99
4,3:21.0,,Offensive rebound by Team,97,99
4,3:21.0,Washington full timeout,,97,99
4,3:21.0,M. Morris enters the game for J. Green,,97,99
4,3:21.0,K. Oubre enters the game for A. Rivers,,97,99
4,3:08.0,,A. Aminu makes 3-pt jump shot from 23 ft (assist by C. McCollum),97,102
4,2:43.0,Shooting foul by A. Aminu (drawn by M. Morris),,97,102
4,2:43.0,M. Morris makes free throw 1 of 2,,98,102
4,2:43.0,M. Morris makes free throw 2 of 2,,99,102
4,2:25.0,,J. Nurkić misses 2-pt layup from 1 ft,99,102
4,2:23.0,Defensive rebound by K. Oubre,,99,102
4,2:20.0,K. Oubre makes 2-pt layup from 3 ft,,101,102
4,2:20.0,Shooting foul by N. Stauskas (drawn by K. Oubre),,101,102
4,2:20.0,K. Oubre makes free throw 1 of 1,,102,102
4,2:04.0,,Turnover by D. Lillard (lost ball; steal by K. Oubre),102,102
4,1:54.0,J. Wall misses 2-pt layup from 1 ft,,102,102
4,1:54.0,,Defensive rebound by Team,102,102
4,1:54.0,Loose ball foul by K. Oubre (drawn by A. Aminu),,102,102
4,1:54.0,,A. Aminu makes free throw 1 of 2,102,103
4,1:54.0,,A. Aminu misses free throw 2 of 2,102,103
4,1:52.0,Defensive rebound by O. Porter,,102,103
4,1:39.0,M. Morris makes 3-pt jump shot from 25 ft (assist by B. Beal),,105,103
4,1:20.0,,D. Lillard makes 2-pt jump shot from 7 ft,105,105
4,1:04.0,M. Morris makes 3-pt jump shot from 25 ft (assist by B. Beal),,108,105
4,0:52.0,,D. Lillard makes 3-pt jump shot from 25 ft,108,108
4,0:38.0,M. Morris misses 3-pt jump shot from 25 ft,,108,108
4,0:34.0,,Defensive rebound by D. Lillard,108,108
4,0:22.0,,D. Lillard misses 3-pt jump shot from 25 ft,108,108
4,0:19.0,,Offensive rebound by J. Nurkić,108,108
4,0:18.0,,J. Nurkić misses 2-pt layup from 3 ft (block by K. Oubre),108,108
4,0:18.0,,Offensive rebound by J. Nurkić,108,108
4,0:13.0,,N. Stauskas makes 3-pt jump shot from 23 ft (assist by D. Lillard),108,111
4,0:12.0,Washington full timeout,,108,111
4,0:12.0,,M. Harkless enters the game for J. Nurkić,108,111
4,0:12.0,,E. Turner enters the game for N. Stauskas,108,111
4,0:07.0,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),,111,111
4,0:06.0,,Portland full timeout,111,111
4,0:06.0,J. Green enters the game for M. Morris,,111,111
4,0:06.0,,S. Curry enters the game for A. Aminu,111,111
4,0:06.0,,J. Nurkić enters the game for M. Harkless,111,111
4,0:06.0,,N. Stauskas enters the game for E. Turner,111,111
4,0:00.0,,D. Lillard misses 2-pt layup from 1 ft (block by B. Beal),111,111
4,0:00.0,,Offensive rebound by J. Nurkić,111,111
4,0:00.0,,J. Nurkić misses 2-pt layup from 2 ft,111,111
4,0:00.0,,Offensive rebound by Team,111,111
1OT,4:43.0,,D. Lillard misses 3-pt jump shot from 27 ft,111,111
1OT,4:40.0,Defensive rebound by K. Oubre,,111,111
1OT,4:27.0,J. Wall misses 3-pt jump shot from 25 ft,,111,111
1OT,4:24.0,,Defensive rebound by J. Nurkić,111,111
1OT,4:14.0,,C. McCollum makes 2-pt jump shot from 17 ft,111,113
1OT,4:01.0,M. Morris makes 3-pt jump shot from 25 ft (assist by B. Beal),,114,113
1OT,3:46.0,,C. McCollum misses 2-pt layup from 2 ft,114,113
1OT,3:43.0,,Offensive rebound by J. Nurkić,114,113
1OT,3:43.0,,J. Nurkić makes 2-pt layup at rim,114,115
1OT,3:27.0,O. Porter misses 2-pt jump shot from 14 ft,,114,115
1OT,3:24.0,Offensive rebound by M. Morris,,114,115
1OT,3:23.0,B. Beal misses 3-pt jump shot from 27 ft,,114,115
1OT,3:18.0,,Defensive rebound by D. Lillard,114,115
1OT,3:15.0,,N. Stauskas misses 3-pt jump shot from 24 ft,114,115
1OT,3:13.0,Defensive rebound by O. Porter,,114,115
1OT,3:05.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by M. Morris),,117,115
1OT,2:53.0,,Personal foul by O. Porter (drawn by A. Aminu),117,115
1OT,2:53.0,,M. Harkless enters the game for J. Nurkić,117,115
1OT,2:41.0,,C. McCollum misses 2-pt jump shot from 3 ft,117,115
1OT,2:37.0,,Offensive rebound by C. McCollum,117,115
1OT,2:37.0,,C. McCollum misses 2-pt layup at rim,117,115
1OT,2:36.0,Defensive rebound by M. Morris,,117,115
1OT,2:33.0,B. Beal misses 3-pt jump shot from 25 ft,,117,115
1OT,2:32.0,,Defensive rebound by Team,117,115
1OT,2:14.0,,D. Lillard misses 2-pt jump shot from 11 ft,117,115
1OT,2:14.0,,Offensive rebound by Team,117,115
1OT,2:09.0,,C. McCollum misses 3-pt jump shot from 25 ft,117,115
1OT,2:05.0,,Offensive rebound by N. Stauskas,117,115
1OT,2:05.0,,N. Stauskas misses 2-pt layup at rim,117,115
1OT,2:04.0,,Offensive rebound by A. Aminu,117,115
1OT,2:02.0,,D. Lillard misses 3-pt jump shot from 26 ft,117,115
1OT,2:00.0,Defensive rebound by J. Wall,,117,115
1OT,1:55.0,B. Beal misses 2-pt layup from 2 ft,,117,115
1OT,1:54.0,,Defensive rebound by A. Aminu,117,115
1OT,1:49.0,,D. Lillard makes 2-pt dunk at rim,117,117
1OT,1:28.0,J. Wall misses 2-pt layup from 2 ft,,117,117
1OT,1:26.0,,Defensive rebound by A. Aminu,117,117
1OT,1:23.0,,Offensive foul by C. McCollum (drawn by K. Oubre),117,117
1OT,1:23.0,,Turnover by C. McCollum (offensive foul),117,117
1OT,1:11.0,M. Morris makes 2-pt layup from 2 ft,,119,117
1OT,1:11.0,Shooting foul by M. Harkless (drawn by M. Morris),,119,117
1OT,1:11.0,M. Morris makes free throw 1 of 1,,120,117
1OT,1:01.0,Loose ball foul by M. Morris (drawn by D. Lillard),,120,117
1OT,1:01.0,,J. Nurkić enters the game for M. Harkless,120,117
1OT,0:56.0,,D. Lillard makes 2-pt layup at rim,120,119
1OT,0:38.0,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Wall),,123,119
1OT,0:37.0,,Portland full timeout,123,119
1OT,0:32.0,,D. Lillard makes 2-pt jump shot from 21 ft,123,121
1OT,0:10.0,J. Wall makes 2-pt jump shot from 17 ft,,125,121
1OT,0:09.0,,Portland full timeout,125,121
1OT,0:09.0,,S. Curry enters the game for J. Nurkić,125,121
1OT,0:07.0,,C. McCollum makes 3-pt jump shot from 23 ft (assist by N. Stauskas),125,124
1OT,0:06.0,Personal take foul by C. McCollum (drawn by J. Wall),,125,124
1OT,0:06.0,J. Wall misses free throw 1 of 2,,125,124
1OT,0:06.0,Offensive rebound by Team,,125,124
1OT,0:06.0,,J. Nurkić enters the game for S. Curry,125,124
1OT,0:06.0,J. Wall misses free throw 2 of 2,,125,124
1OT,0:05.0,,Defensive rebound by D. Lillard,125,124
1OT,0:00.0,,D. Lillard misses 2-pt layup from 3 ft (block by O. Porter),125,124
1OT,0:00.0,,Offensive rebound by Team,125,124
