QUARTER,TIME_REMAINING,HOUSTON_ACTION,SAN ANTONIO_ACTION,HOUSTON_SCORE,SAN ANTONIO_SCORE
4,4:59.0,Shooting foul by Q. Pondexter (drawn by J. Harden),,79,84
4,4:59.0,J. Harden makes free throw 1 of 2,,80,84
4,4:59.0,E. Gordon enters the game for J. Ennis,,80,84
4,4:59.0,,San Antonio full timeout,80,84
4,4:59.0,,D. DeRozan enters the game for M. Belinelli,80,84
4,4:59.0,J. Harden makes free throw 2 of 2,,81,84
4,4:37.0,,D. DeRozan makes 2-pt jump shot from 12 ft,81,86
4,4:15.0,G. Clark makes 2-pt dunk from 1 ft (assist by J. Harden),,83,86
4,4:02.0,,P. Mills misses 3-pt jump shot from 25 ft,83,86
4,3:59.0,Defensive rebound by J. Harden,,83,86
4,3:39.0,J. Harden makes 2-pt layup from 3 ft,,85,86
4,3:14.0,,Turnover by P. Mills (bad pass; steal by E. Gordon),85,86
4,3:07.0,J. Harden misses 2-pt jump shot from 6 ft (block by L. Aldridge),,85,86
4,3:07.0,,Defensive rebound by Team,85,86
4,3:07.0,Houston full timeout,,85,86
4,3:07.0,,D. White enters the game for Q. Pondexter,85,86
4,2:48.0,,D. White makes 3-pt jump shot from 26 ft,85,89
4,2:29.0,E. Gordon misses 3-pt jump shot from 25 ft,,85,89
4,2:27.0,,Defensive rebound by D. White,85,89
4,2:09.0,,L. Aldridge makes 2-pt jump shot from 13 ft,85,91
4,1:54.0,J. Harden misses 3-pt jump shot from 26 ft,,85,91
4,1:52.0,,Defensive rebound by D. DeRozan,85,91
4,1:36.0,,B. Forbes misses 2-pt layup from 2 ft,85,91
4,1:33.0,Defensive rebound by P. Tucker,,85,91
4,1:25.0,P. Tucker misses 3-pt jump shot from 26 ft,,85,91
4,1:23.0,,Defensive rebound by Team,85,91
4,1:23.0,Loose ball foul by C. Paul (drawn by D. DeRozan),,85,91
4,1:23.0,,D. DeRozan makes free throw 1 of 2,85,92
4,1:23.0,C. Capela enters the game for G. Clark,,85,92
4,1:23.0,,D. DeRozan misses free throw 2 of 2,85,92
4,1:20.0,Defensive rebound by P. Tucker,,85,92
4,1:14.0,E. Gordon misses 3-pt jump shot from 27 ft,,85,92
4,1:11.0,,Defensive rebound by D. DeRozan,85,92
4,1:07.0,,San Antonio full timeout,85,92
4,1:04.0,,Personal foul by P. Tucker (drawn by L. Aldridge),85,92
4,1:04.0,,L. Aldridge makes free throw 1 of 2,85,93
4,1:04.0,,L. Aldridge makes free throw 2 of 2,85,94
4,0:54.0,J. Harden misses 2-pt layup from 3 ft,,85,94
4,0:53.0,Offensive rebound by C. Capela,,85,94
4,0:53.0,C. Capela makes 2-pt layup from 1 ft,,87,94
4,0:30.0,,L. Aldridge misses 2-pt jump shot from 12 ft,87,94
4,0:28.0,Defensive rebound by J. Harden,,87,94
4,0:25.0,E. Gordon misses 3-pt jump shot from 28 ft,,87,94
4,0:21.0,,Defensive rebound by D. DeRozan,87,94
4,0:11.0,,Personal take foul by C. Paul (drawn by D. White),87,94
4,0:11.0,,D. White makes free throw 1 of 2,87,95
4,0:11.0,,D. White makes free throw 2 of 2,87,96
4,0:04.0,C. Capela makes 2-pt dunk from 1 ft (assist by E. Gordon),,89,96
