QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
4,8:06.0,,M. Brogdon misses 2-pt layup from 3 ft (block by K. Faried),97,109
4,8:03.0,Defensive rebound by K. Faried,,97,109
4,8:00.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by T. Pinson),,100,109
4,7:47.0,,G. Antetokounmpo makes 3-pt jump shot from 27 ft (assist by K. Middleton),100,112
4,7:31.0,T. Pinson misses 2-pt layup from 1 ft,,100,112
4,7:27.0,,Defensive rebound by G. Antetokounmpo,100,112
4,7:25.0,,Turnover by G. Antetokounmpo (lost ball; steal by T. Pinson),100,112
4,7:12.0,T. Pinson makes 2-pt layup from 1 ft,,102,112
4,6:49.0,,D. Wilson misses 3-pt jump shot from 24 ft,102,112
4,6:47.0,Defensive rebound by D. Carroll,,102,112
4,6:43.0,Personal foul by K. Middleton (drawn by D. Carroll),,102,112
4,6:43.0,,B. Lopez enters the game for G. Antetokounmpo,102,112
4,6:39.0,Shooting foul by D. Wilson (drawn by K. Faried),,102,112
4,6:39.0,K. Faried misses free throw 1 of 2,,102,112
4,6:39.0,Offensive rebound by Team,,102,112
4,6:39.0,K. Faried makes free throw 2 of 2,,103,112
4,6:26.0,,K. Middleton makes 2-pt jump shot from 8 ft,103,114
4,6:11.0,,Violation by Team (kicked ball),103,114
4,6:06.0,Shooting foul by M. Brogdon (drawn by S. Napier),,103,114
4,6:06.0,S. Napier makes free throw 1 of 2,,104,114
4,6:06.0,S. Napier misses free throw 2 of 2,,104,114
4,6:03.0,,Defensive rebound by D. Wilson,104,114
4,5:44.0,,M. Brogdon makes 2-pt jump shot from 19 ft,104,116
4,5:34.0,J. Dudley misses 3-pt jump shot from 25 ft,,104,116
4,5:31.0,Offensive rebound by T. Pinson,,104,116
4,5:30.0,S. Napier makes 3-pt jump shot from 28 ft (assist by T. Pinson),,107,116
4,5:28.0,,Milwaukee full timeout,107,116
4,5:28.0,,G. Antetokounmpo enters the game for D. Wilson,107,116
4,5:11.0,,K. Middleton misses 3-pt jump shot from 27 ft,107,116
4,5:09.0,Defensive rebound by K. Faried,,107,116
4,4:51.0,S. Napier makes 2-pt jump shot from 7 ft,,109,116
4,4:32.0,,K. Middleton makes 2-pt layup from 2 ft,109,118
4,4:22.0,D. Carroll misses 2-pt jump shot from 15 ft,,109,118
4,4:21.0,,Defensive rebound by T. Snell,109,118
4,4:21.0,,G. Hill enters the game for T. Snell,109,118
4,4:07.0,,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by G. Hill),109,120
4,3:52.0,K. Faried misses 2-pt layup from 5 ft,,109,120
4,3:49.0,,Defensive rebound by B. Lopez,109,120
4,3:41.0,,G. Antetokounmpo makes 2-pt jump shot from 17 ft (assist by K. Middleton),109,122
4,3:26.0,Offensive foul by J. Dudley (drawn by G. Antetokounmpo),,109,122
4,3:26.0,Turnover by J. Dudley (offensive foul),,109,122
4,3:10.0,,G. Antetokounmpo makes 2-pt jump shot from 15 ft,109,124
4,2:53.0,K. Faried makes 2-pt jump shot from 15 ft (assist by T. Pinson),,111,124
4,2:40.0,,M. Brogdon misses 2-pt layup from 2 ft,111,124
4,2:38.0,,Offensive rebound by M. Brogdon,111,124
4,2:27.0,,K. Middleton misses 2-pt jump shot from 12 ft,111,124
4,2:25.0,Defensive rebound by K. Faried,,111,124
4,2:14.0,S. Napier makes 2-pt jump shot from 9 ft,,113,124
4,1:58.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,113,126
4,1:52.0,Brooklyn full timeout,,113,126
4,1:31.0,S. Napier misses 3-pt jump shot from 27 ft,,113,126
4,1:27.0,,Defensive rebound by G. Antetokounmpo,113,126
4,1:22.0,,K. Middleton makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),113,129
4,1:02.0,K. Faried misses 2-pt hook shot from 7 ft,,113,129
4,0:59.0,,Defensive rebound by K. Middleton,113,129
4,0:41.0,,G. Antetokounmpo misses 2-pt jump shot from 20 ft,113,129
4,0:39.0,Defensive rebound by K. Faried,,113,129
4,0:27.0,D. Carroll makes 2-pt layup from 1 ft (assist by S. Napier),,115,129
4,0:03.0,,Turnover by Team (shot clock),115,129
4,0:03.0,,S. Brown enters the game for G. Antetokounmpo,115,129
4,0:03.0,,T. Maker enters the game for M. Brogdon,115,129
4,0:03.0,,T. Snell enters the game for B. Lopez,115,129
4,0:03.0,,D. Wilson enters the game for K. Middleton,115,129
4,0:00.0,T. Pinson misses 3-pt jump shot from 27 ft,,115,129
4,0:00.0,Offensive rebound by Team,,115,129
