QUARTER,TIME_REMAINING,DETROIT_ACTION,PHILADELPHIA_ACTION,DETROIT_SCORE,PHILADELPHIA_SCORE
4,6:22.0,,W. Chandler makes 3-pt jump shot from 26 ft (assist by L. Shamet),85,97
4,6:11.0,Detroit full timeout,,85,97
4,5:57.0,L. Kennard makes 3-pt jump shot from 24 ft (assist by J. Calderón),,88,97
4,5:43.0,,B. Simmons makes 2-pt layup from 1 ft,88,99
4,5:32.0,A. Drummond makes 2-pt dunk at rim (assist by J. Calderón),,90,99
4,5:19.0,,Personal foul by J. Leuer (drawn by B. Simmons),90,99
4,5:19.0,R. Jackson enters the game for L. Galloway,,90,99
4,5:19.0,,J. Embiid enters the game for M. Muscala,90,99
4,5:09.0,,L. Shamet misses 3-pt jump shot from 27 ft,90,99
4,5:05.0,,Offensive rebound by B. Simmons,90,99
4,4:59.0,,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by J. Embiid),90,102
4,4:50.0,Turnover by R. Jackson (bad pass; steal by J. Embiid),,90,102
4,4:40.0,,F. Korkmaz misses 2-pt jump shot from 12 ft,90,102
4,4:37.0,,Offensive rebound by F. Korkmaz,90,102
4,4:35.0,,F. Korkmaz makes 2-pt layup from 2 ft,90,104
4,4:24.0,Shooting foul by J. Embiid (drawn by A. Drummond),,90,104
4,4:24.0,A. Drummond misses free throw 1 of 2,,90,104
4,4:24.0,Offensive rebound by Team,,90,104
4,4:24.0,A. Drummond misses free throw 2 of 2,,90,104
4,4:23.0,Offensive rebound by Team,,90,104
4,4:23.0,,Loose ball foul by J. Embiid (drawn by R. Jackson),90,104
4,4:09.0,J. Calderón makes 2-pt jump shot from 18 ft,,92,104
4,3:55.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by B. Simmons),92,107
4,3:41.0,Turnover by J. Calderón (bad pass),,92,107
4,3:41.0,,Philadelphia full timeout,92,107
4,3:41.0,,J. Redick enters the game for L. Shamet,92,107
4,3:30.0,,Shooting foul by A. Drummond (drawn by J. Embiid),92,107
4,3:30.0,Technical foul by A. Drummond,,92,107
4,3:30.0,,J. Redick makes technical free throw,92,108
4,3:30.0,,J. Embiid makes free throw 1 of 2,92,109
4,3:30.0,,J. Embiid makes free throw 2 of 2,92,110
4,3:17.0,A. Drummond misses 2-pt layup from 4 ft (block by B. Simmons),,92,110
4,3:14.0,,Defensive rebound by B. Simmons,92,110
4,3:11.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Simmons),92,113
4,3:09.0,Detroit full timeout,,92,113
4,3:09.0,K. Thomas enters the game for J. Calderón,,92,113
4,3:09.0,,A. Johnson enters the game for W. Chandler,92,113
4,3:09.0,,T. McConnell enters the game for J. Embiid,92,113
4,3:09.0,,S. Milton enters the game for J. Redick,92,113
4,3:09.0,,M. Muscala enters the game for B. Simmons,92,113
4,3:03.0,Personal foul by T. McConnell (drawn by L. Kennard),,92,113
4,3:03.0,L. Kennard misses free throw 1 of 2,,92,113
4,3:03.0,Offensive rebound by Team,,92,113
4,3:03.0,L. Kennard makes free throw 2 of 2,,93,113
4,2:41.0,,F. Korkmaz misses 3-pt jump shot from 25 ft,93,113
4,2:36.0,Defensive rebound by K. Thomas,,93,113
4,2:32.0,L. Kennard misses 2-pt jump shot from 20 ft,,93,113
4,2:28.0,Offensive rebound by L. Kennard,,93,113
4,2:24.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by L. Kennard),,96,113
4,2:01.0,,A. Johnson misses 2-pt jump shot from 22 ft,96,113
4,1:59.0,Defensive rebound by R. Jackson,,96,113
4,1:56.0,R. Jackson makes 3-pt jump shot from 26 ft,,99,113
4,1:36.0,,T. McConnell misses 2-pt jump shot from 13 ft,99,113
4,1:35.0,,Offensive rebound by Team,99,113
4,1:35.0,Loose ball foul by R. Jackson (drawn by M. Muscala),,99,113
4,1:35.0,J. Calderón enters the game for R. Jackson,,99,113
4,1:35.0,,M. Muscala makes free throw 1 of 2,99,114
4,1:35.0,,M. Muscala misses free throw 2 of 2,99,114
4,1:30.0,Defensive rebound by J. Leuer,,99,114
4,1:17.0,K. Thomas misses 2-pt jump shot from 12 ft,,99,114
4,1:15.0,Offensive rebound by K. Thomas,,99,114
4,1:15.0,Personal foul by A. Johnson (drawn by K. Thomas),,99,114
4,1:15.0,K. Thomas makes free throw 1 of 2,,100,114
4,1:15.0,K. Thomas misses free throw 2 of 2,,100,114
4,1:13.0,,Defensive rebound by F. Korkmaz,100,114
4,1:02.0,,A. Johnson makes 2-pt dunk from 1 ft (assist by S. Milton),100,116
4,0:45.0,A. Drummond misses 2-pt hook shot from 8 ft,,100,116
4,0:42.0,Offensive rebound by K. Thomas,,100,116
4,0:40.0,J. Leuer misses 2-pt jump shot from 14 ft,,100,116
4,0:38.0,,Defensive rebound by F. Korkmaz,100,116
4,0:20.0,,T. McConnell misses 2-pt jump shot from 15 ft,100,116
4,0:17.0,Defensive rebound by A. Drummond,,100,116
4,0:08.0,L. Kennard makes 2-pt layup from 2 ft,,102,116
