QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,WASHINGTON_ACTION,CHARLOTTE_SCORE,WASHINGTON_SCORE
4,2:05.0,,Defensive rebound by T. Brown,113,106
4,1:56.0,,Shooting foul by M. Williams (drawn by J. Green),113,106
4,1:56.0,,J. Green makes free throw 1 of 2,113,107
4,1:56.0,F. Kaminsky enters the game for D. Bacon,,113,107
4,1:56.0,,J. Green makes free throw 2 of 2,113,108
4,1:35.0,J. Lamb makes 2-pt jump shot from 9 ft,,115,108
4,1:35.0,Shooting foul by B. Beal (drawn by J. Lamb),,115,108
4,1:35.0,D. Bacon enters the game for F. Kaminsky,,115,108
4,1:35.0,M. Kidd-Gilchrist enters the game for M. Williams,,115,108
4,1:35.0,J. Lamb makes free throw 1 of 1,,116,108
4,1:23.0,,T. Brown misses 2-pt jump shot from 12 ft,116,108
4,1:21.0,Defensive rebound by J. Lamb,,116,108
4,1:06.0,Charlotte full timeout,,116,108
4,1:06.0,F. Kaminsky enters the game for D. Bacon,,116,108
4,1:06.0,M. Williams enters the game for M. Kidd-Gilchrist,,116,108
4,1:00.0,J. Lamb misses 3-pt jump shot from 26 ft,,116,108
4,0:57.0,,Defensive rebound by J. Parker,116,108
4,0:54.0,,Shooting foul by K. Walker (drawn by J. Parker),116,108
4,0:54.0,,J. Parker makes free throw 1 of 2,116,109
4,0:54.0,,J. Parker makes free throw 2 of 2,116,110
4,0:39.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,116,110
4,0:36.0,Offensive rebound by K. Walker,,116,110
4,0:24.0,K. Walker misses 3-pt jump shot from 26 ft,,116,110
4,0:21.0,,Defensive rebound by T. Brown,116,110
4,0:17.0,,J. Green misses 3-pt jump shot from 26 ft,116,110
4,0:13.0,Defensive rebound by F. Kaminsky,,116,110
4,0:03.0,Turnover by J. Lamb (bad pass),,116,110
4,0:03.0,,Washington full timeout,116,110
4,0:02.0,,B. Beal misses 3-pt jump shot from 31 ft,116,110
4,0:01.0,,Offensive rebound by B. Beal,116,110
