QUARTER,TIME_REMAINING,UTAH_ACTION,PORTLAND_ACTION,UTAH_SCORE,PORTLAND_SCORE
4,3:55.0,R. Neto makes free throw 2 of 2,,110,84
4,3:42.0,,Turnover by W. Baldwin (bad pass; steal by E. Udoh),110,84
4,3:38.0,G. Niang makes 3-pt jump shot from 25 ft (assist by D. Exum),,113,84
4,3:25.0,,N. Stauskas misses 3-pt jump shot from 24 ft,113,84
4,3:22.0,,Offensive rebound by Z. Collins,113,84
4,3:18.0,Violation by Team (kicked ball),,113,84
4,3:03.0,,W. Baldwin misses 3-pt jump shot from 29 ft,113,84
4,3:00.0,,Offensive rebound by J. Layman,113,84
4,2:59.0,,Shooting foul by R. O'Neale (drawn by J. Layman),113,84
4,2:59.0,,J. Layman makes free throw 1 of 2,113,85
4,2:59.0,,J. Layman makes free throw 2 of 2,113,86
4,2:47.0,R. O'Neale misses 3-pt jump shot from 26 ft,,113,86
4,2:44.0,,Defensive rebound by N. Stauskas,113,86
4,2:37.0,,Personal foul by G. Niang (drawn by J. Layman),113,86
4,2:37.0,,J. Layman makes free throw 1 of 2,113,87
4,2:37.0,,J. Layman misses free throw 2 of 2,113,87
4,2:36.0,,Offensive rebound by Team,113,87
4,2:26.0,,N. Stauskas misses 2-pt jump shot from 3 ft,113,87
4,2:25.0,Defensive rebound by R. O'Neale,,113,87
4,2:14.0,E. Udoh makes 2-pt hook shot from 5 ft,,115,87
4,2:01.0,,W. Baldwin makes 2-pt layup from 2 ft,115,89
4,1:50.0,Turnover by R. Neto (bad pass; steal by N. Stauskas),,115,89
4,1:36.0,,Z. Collins misses 2-pt layup from 2 ft,115,89
4,1:33.0,Defensive rebound by E. Udoh,,115,89
4,1:26.0,G. Niang makes 3-pt jump shot from 25 ft (assist by D. Exum),,118,89
4,1:07.0,,Personal foul by G. Niang (drawn by W. Baldwin),118,89
4,1:07.0,,W. Baldwin makes free throw 1 of 2,118,90
4,1:07.0,,W. Baldwin misses free throw 2 of 2,118,90
4,1:04.0,Defensive rebound by G. Niang,,118,90
4,0:53.0,D. Exum misses 2-pt layup from 2 ft,,118,90
4,0:52.0,Offensive rebound by E. Udoh,,118,90
4,0:46.0,D. Exum makes 2-pt layup from 4 ft (assist by R. O'Neale),,120,90
4,0:31.0,,C. Swanigan misses 2-pt jump shot from 14 ft,120,90
4,0:29.0,,Offensive rebound by N. Stauskas,120,90
4,0:21.0,,Z. Collins misses 2-pt jump shot from 4 ft,120,90
4,0:19.0,Defensive rebound by E. Udoh,,120,90
