QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,GOLDEN STATE_ACTION,PHILADELPHIA_SCORE,GOLDEN STATE_SCORE
4,4:33.0,Shooting foul by D. Green (drawn by B. Simmons),,102,96
4,4:33.0,B. Simmons makes free throw 1 of 2,,103,96
4,4:33.0,,D. Cousins enters the game for K. Looney,103,96
4,4:33.0,,Technical foul by D. Green,103,96
4,4:33.0,J. Redick makes technical free throw,,104,96
4,4:33.0,B. Simmons misses free throw 2 of 2,,104,96
4,4:31.0,,Defensive rebound by K. Durant,104,96
4,4:27.0,,K. Durant misses 3-pt jump shot from 26 ft,104,96
4,4:25.0,Defensive rebound by J. Embiid,,104,96
4,4:11.0,B. Simmons makes 2-pt layup from 3 ft,,106,96
4,4:00.0,,Personal foul by M. Muscala (drawn by S. Curry),106,96
4,4:00.0,,A. Iguodala enters the game for A. McKinnie,106,96
4,3:54.0,,Turnover by D. Green (bad pass; steal by J. Butler),106,96
4,3:32.0,J. Butler misses 3-pt jump shot from 25 ft,,106,96
4,3:30.0,,Defensive rebound by A. Iguodala,106,96
4,3:25.0,,K. Durant makes 2-pt dunk from 2 ft (assist by S. Curry),106,98
4,3:01.0,J. Redick misses 3-pt jump shot from 24 ft,,106,98
4,2:59.0,,Defensive rebound by S. Curry,106,98
4,2:54.0,,D. Cousins misses 2-pt jump shot from 6 ft,106,98
4,2:52.0,,Offensive rebound by S. Curry,106,98
4,2:49.0,,S. Curry makes 3-pt jump shot from 22 ft (assist by D. Cousins),106,101
4,2:23.0,Shooting foul by D. Cousins (drawn by J. Embiid),,106,101
4,2:23.0,J. Embiid makes free throw 1 of 2,,107,101
4,2:23.0,J. Embiid makes free throw 2 of 2,,108,101
4,2:03.0,,K. Durant misses 3-pt jump shot from 27 ft,108,101
4,2:01.0,,Offensive rebound by D. Green,108,101
4,1:57.0,,S. Curry misses 3-pt jump shot from 28 ft (block by B. Simmons),108,101
4,1:55.0,Defensive rebound by J. Embiid,,108,101
4,1:43.0,Turnover by J. Embiid (bad pass; steal by D. Green),,108,101
4,1:32.0,,S. Curry misses 2-pt layup from 2 ft (block by M. Muscala),108,101
4,1:23.0,Defensive rebound by J. Butler,,108,101
4,1:08.0,J. Embiid misses 2-pt jump shot from 12 ft,,108,101
4,1:08.0,Offensive rebound by J. Embiid,,108,101
4,1:08.0,Shooting foul by K. Durant (drawn by J. Embiid),,108,101
4,1:08.0,J. Embiid makes free throw 1 of 2,,109,101
4,1:08.0,J. Embiid makes free throw 2 of 2,,110,101
4,1:08.0,,Golden State full timeout,110,101
4,1:06.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Iguodala),110,104
4,0:52.0,Turnover by J. Butler (bad pass; steal by K. Durant),,110,104
4,0:51.0,,Personal foul by M. Muscala (drawn by K. Durant),110,104
4,0:48.0,,S. Curry misses 3-pt jump shot from 30 ft,110,104
4,0:45.0,Defensive rebound by Team,,110,104
4,0:23.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Butler),,113,104
4,0:10.0,,D. Green misses 3-pt jump shot from 28 ft,113,104
4,0:06.0,,Offensive rebound by K. Durant,113,104
4,0:04.0,,K. Durant misses 2-pt jump shot from 11 ft,113,104
4,0:00.0,Defensive rebound by J. Embiid,,113,104
