QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CHICAGO_ACTION,LA CLIPPERS_SCORE,CHICAGO_SCORE
4,5:44.0,,Offensive foul by K. Dunn (drawn by P. Beverley),91,89
4,5:44.0,,Turnover by K. Dunn (offensive foul),91,89
4,5:24.0,A. Bradley misses 2-pt jump shot from 15 ft,,91,89
4,5:22.0,,Defensive rebound by C. Hutchison,91,89
4,5:13.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by K. Dunn),91,92
4,4:57.0,P. Beverley misses 3-pt jump shot from 24 ft,,91,92
4,4:53.0,,Defensive rebound by B. Portis,91,92
4,4:42.0,,Turnover by K. Dunn (bad pass),91,92
4,4:34.0,L. Williams misses 2-pt jump shot from 6 ft,,91,92
4,4:31.0,,Defensive rebound by K. Dunn,91,92
4,4:25.0,,K. Dunn misses 3-pt jump shot from 26 ft,91,92
4,4:22.0,Defensive rebound by P. Beverley,,91,92
4,4:15.0,A. Bradley makes 3-pt jump shot from 22 ft (assist by M. Harrell),,94,92
4,3:56.0,,C. Hutchison misses 3-pt jump shot from 22 ft,94,92
4,3:53.0,,Offensive rebound by B. Portis,94,92
4,3:47.0,,Z. LaVine makes 3-pt jump shot from 26 ft,94,95
4,3:47.0,LA Clippers full timeout,,94,95
4,3:32.0,T. Harris makes 2-pt jump shot from 6 ft,,96,95
4,3:15.0,,Z. LaVine misses 2-pt layup from 2 ft,96,95
4,3:13.0,Defensive rebound by T. Harris,,96,95
4,3:06.0,LA Clippers full timeout,,96,95
4,3:03.0,Offensive foul by T. Harris (drawn by K. Dunn),,96,95
4,3:03.0,Turnover by T. Harris (offensive foul),,96,95
4,2:49.0,,Z. LaVine misses 3-pt jump shot from 27 ft,96,95
4,2:45.0,Defensive rebound by P. Beverley,,96,95
4,2:36.0,Offensive foul by M. Harrell (drawn by C. Hutchison),,96,95
4,2:36.0,Turnover by M. Harrell (offensive foul),,96,95
4,2:18.0,,K. Dunn makes 2-pt jump shot from 22 ft,96,97
4,2:06.0,Turnover by L. Williams (lost ball; steal by K. Dunn),,96,97
4,1:53.0,,L. Markkanen misses 2-pt layup from 4 ft (block by P. Beverley),96,97
4,1:50.0,Defensive rebound by L. Williams,,96,97
4,1:44.0,L. Williams makes 3-pt jump shot from 25 ft (assist by P. Beverley),,99,97
4,1:44.0,Shooting foul by K. Dunn (drawn by L. Williams),,99,97
4,1:44.0,L. Williams makes free throw 1 of 1,,100,97
4,1:26.0,,Z. LaVine makes 2-pt layup from 1 ft,100,99
4,1:08.0,L. Williams misses 2-pt jump shot from 13 ft,,100,99
4,1:06.0,,Defensive rebound by L. Markkanen,100,99
4,0:48.0,,C. Hutchison misses 3-pt jump shot from 24 ft,100,99
4,0:48.0,,Offensive rebound by Team,100,99
4,0:48.0,,Turnover by Team (shot clock),100,99
4,0:48.0,LA Clippers full timeout,,100,99
4,0:37.0,P. Beverley makes 2-pt jump shot from 8 ft (assist by L. Williams),,102,99
4,0:35.0,,Chicago full timeout,102,99
4,0:35.0,S. Thornwell enters the game for L. Williams,,102,99
4,0:27.0,,Z. LaVine misses 3-pt jump shot from 27 ft,102,99
4,0:27.0,Defensive rebound by Team,,102,99
4,0:27.0,L. Williams enters the game for S. Thornwell,,102,99
4,0:27.0,,S. Harrison enters the game for K. Dunn,102,99
4,0:16.0,M. Harrell makes 2-pt dunk at rim (assist by L. Williams),,104,99
4,0:08.0,,Z. LaVine misses 2-pt layup from 1 ft,104,99
4,0:07.0,,Offensive rebound by B. Portis,104,99
4,0:07.0,,B. Portis makes 2-pt layup from 1 ft,104,101
4,0:06.0,Personal take foul by C. Hutchison (drawn by L. Williams),,104,101
4,0:06.0,L. Williams makes free throw 1 of 2,,105,101
4,0:06.0,,K. Dunn enters the game for S. Harrison,105,101
4,0:06.0,L. Williams makes free throw 2 of 2,,106,101
