QUARTER,TIME_REMAINING,MIAMI_ACTION,SACRAMENTO_ACTION,MIAMI_SCORE,SACRAMENTO_SCORE
4,5:41.0,,H. Barnes makes free throw 2 of 2,94,87
4,5:28.0,J. Johnson misses 3-pt jump shot from 23 ft,,94,87
4,5:24.0,,Defensive rebound by D. Fox,94,87
4,5:19.0,,B. Bogdanović makes 2-pt jump shot from 18 ft,94,89
4,5:04.0,,Violation by Team (kicked ball),94,89
4,4:56.0,Shooting foul by B. Hield (drawn by J. Winslow),,94,89
4,4:56.0,J. Winslow misses free throw 1 of 2,,94,89
4,4:56.0,Offensive rebound by Team,,94,89
4,4:56.0,J. Winslow misses free throw 2 of 2,,94,89
4,4:53.0,,Defensive rebound by H. Barnes,94,89
4,4:31.0,,Turnover by Team (shot clock),94,89
4,4:31.0,D. Wade enters the game for J. Johnson,,94,89
4,4:21.0,J. Winslow misses 2-pt layup from 6 ft (block by W. Cauley-Stein),,94,89
4,4:21.0,,Defensive rebound by Team,94,89
4,4:05.0,,D. Fox misses 2-pt jump shot from 12 ft,94,89
4,4:00.0,Defensive rebound by H. Whiteside,,94,89
4,3:45.0,J. Winslow misses 3-pt jump shot from 24 ft,,94,89
4,3:42.0,,Defensive rebound by B. Bogdanović,94,89
4,3:40.0,,Personal foul by J. Richardson (drawn by D. Fox),94,89
4,3:30.0,,B. Hield misses 2-pt jump shot from 20 ft,94,89
4,3:25.0,,Offensive rebound by H. Barnes,94,89
4,3:24.0,,H. Barnes makes 2-pt layup from 2 ft,94,91
4,2:57.0,D. Wade misses 3-pt jump shot from 26 ft,,94,91
4,2:52.0,Offensive rebound by J. Richardson,,94,91
4,2:43.0,D. Waiters misses 3-pt jump shot from 26 ft,,94,91
4,2:38.0,,Defensive rebound by H. Barnes,94,91
4,2:23.0,,D. Fox makes 2-pt layup from 2 ft,94,93
4,2:05.0,J. Richardson makes 2-pt layup from 4 ft (assist by J. Winslow),,96,93
4,1:59.0,,D. Fox misses 2-pt layup from 4 ft (block by H. Whiteside),96,93
4,1:59.0,,Offensive rebound by Team,96,93
4,1:52.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Bogdanović),96,95
4,1:40.0,H. Whiteside misses 2-pt layup from 3 ft (block by W. Cauley-Stein),,96,95
4,1:36.0,,Defensive rebound by B. Bogdanović,96,95
4,1:35.0,,Personal foul by J. Richardson (drawn by B. Bogdanović),96,95
4,1:35.0,,Offensive rebound by Team,96,95
4,1:35.0,,B. Bogdanović misses free throw 1 of 2,96,95
4,1:35.0,B. Adebayo enters the game for H. Whiteside,,96,95
4,1:35.0,,B. Bogdanović makes free throw 2 of 2,96,96
4,1:23.0,Turnover by D. Wade (lost ball; steal by D. Fox),,96,96
4,1:21.0,,Shooting foul by J. Winslow (drawn by B. Hield),96,96
4,1:21.0,,B. Hield misses free throw 1 of 2,96,96
4,1:21.0,,Offensive rebound by Team,96,96
4,1:21.0,,B. Hield makes free throw 2 of 2,96,97
4,1:08.0,Offensive foul by B. Adebayo (drawn by D. Fox),,96,97
4,1:08.0,Turnover by B. Adebayo (offensive foul),,96,97
4,0:56.0,,B. Hield misses 3-pt jump shot from 26 ft,96,97
4,0:54.0,Defensive rebound by Team,,96,97
4,0:39.0,Turnover by D. Wade (bad pass; steal by D. Fox),,96,97
4,0:39.0,,Offensive rebound by B. Hield,96,97
4,0:39.0,,D. Fox misses 2-pt layup from 13 ft (block by J. Winslow),96,97
4,0:35.0,,B. Hield makes 2-pt layup from 4 ft,96,99
4,0:35.0,Miami full timeout,,96,99
4,0:33.0,D. Wade misses 3-pt jump shot from 25 ft,,96,99
4,0:31.0,,Defensive rebound by W. Cauley-Stein,96,99
4,0:31.0,,Personal take foul by J. Winslow (drawn by W. Cauley-Stein),96,99
4,0:31.0,,W. Cauley-Stein makes free throw 1 of 2,96,100
4,0:31.0,,W. Cauley-Stein misses free throw 2 of 2,96,100
4,0:29.0,Defensive rebound by J. Richardson,,96,100
4,0:22.0,J. Winslow misses 2-pt layup from 2 ft,,96,100
4,0:20.0,Offensive rebound by J. Winslow,,96,100
4,0:17.0,Turnover by J. Richardson (bad pass),,96,100
4,0:17.0,,Personal take foul by J. Winslow (drawn by B. Hield),96,100
4,0:17.0,,B. Hield makes free throw 1 of 2,96,101
4,0:17.0,,B. Hield makes free throw 2 of 2,96,102
4,0:17.0,Miami full timeout,,96,102
4,0:13.0,J. Winslow misses 3-pt jump shot from 26 ft,,96,102
4,0:10.0,,Defensive rebound by B. Hield,96,102
