QUARTER,TIME_REMAINING,DETROIT_ACTION,UTAH_ACTION,DETROIT_SCORE,UTAH_SCORE
4,4:48.0,Defensive rebound by A. Drummond,,84,88
4,4:32.0,I. Smith misses 2-pt jump shot from 12 ft,,84,88
4,4:30.0,Offensive rebound by A. Drummond,,84,88
4,4:30.0,A. Drummond misses 2-pt layup from 3 ft (block by R. Gobert),,84,88
4,4:30.0,Offensive rebound by Team,,84,88
4,4:17.0,I. Smith misses 2-pt jump shot from 17 ft,,84,88
4,4:14.0,,Defensive rebound by D. Mitchell,84,88
4,4:08.0,,J. Crowder misses 3-pt jump shot from 25 ft,84,88
4,4:05.0,Defensive rebound by I. Smith,,84,88
4,3:56.0,Personal foul by J. Crowder (drawn by I. Smith),,84,88
4,3:56.0,I. Smith misses free throw 1 of 2,,84,88
4,3:56.0,Offensive rebound by Team,,84,88
4,3:56.0,I. Smith makes free throw 2 of 2,,85,88
4,3:42.0,,D. Mitchell misses 3-pt jump shot from 25 ft,85,88
4,3:39.0,Defensive rebound by A. Drummond,,85,88
4,3:25.0,A. Drummond misses 2-pt jump shot from 10 ft,,85,88
4,3:23.0,,Defensive rebound by R. Gobert,85,88
4,3:11.0,,D. Mitchell misses 2-pt layup from 3 ft,85,88
4,3:11.0,,Offensive rebound by Team,85,88
4,3:11.0,Technical foul by A. Drummond,,85,88
4,3:11.0,,D. Mitchell misses technical free throw,85,88
4,3:11.0,,Offensive rebound by Team,85,88
4,3:11.0,,Utah full timeout,85,88
4,3:11.0,Detroit full timeout,,85,88
4,3:11.0,,K. Korver enters the game for R. O'Neale,85,88
4,3:09.0,,K. Korver misses 3-pt jump shot from 23 ft,85,88
4,3:07.0,Defensive rebound by A. Drummond,,85,88
4,2:44.0,Turnover by Team (shot clock),,85,88
4,2:31.0,,Personal foul by A. Drummond (drawn by D. Mitchell),85,88
4,2:27.0,,Personal foul by K. Thomas (drawn by D. Mitchell),85,88
4,2:27.0,,D. Mitchell makes free throw 1 of 2,85,89
4,2:27.0,,D. Mitchell makes free throw 2 of 2,85,90
4,2:10.0,R. Bullock misses 3-pt jump shot from 27 ft,,85,90
4,2:06.0,,Defensive rebound by J. Crowder,85,90
4,1:50.0,,Turnover by D. Mitchell (bad pass; steal by R. Bullock),85,90
4,1:28.0,B. Griffin makes 3-pt jump shot from 25 ft,,88,90
4,1:28.0,Shooting foul by J. Crowder (drawn by B. Griffin),,88,90
4,1:28.0,B. Griffin makes free throw 1 of 1,,89,90
4,1:11.0,,Personal foul by K. Thomas (drawn by J. Ingles),89,90
4,1:11.0,,J. Ingles makes free throw 1 of 2,89,91
4,1:11.0,,R. O'Neale enters the game for K. Korver,89,91
4,1:11.0,,J. Ingles makes free throw 2 of 2,89,92
4,1:03.0,Turnover by B. Griffin (step out of bounds),,89,92
4,1:03.0,,K. Korver enters the game for R. O'Neale,89,92
4,0:48.0,,D. Mitchell makes 2-pt layup from 3 ft,89,94
4,0:48.0,,Shooting foul by B. Griffin (drawn by D. Mitchell),89,94
4,0:48.0,,D. Mitchell makes free throw 1 of 1,89,95
4,0:48.0,Detroit full timeout,,89,95
4,0:48.0,L. Galloway enters the game for K. Thomas,,89,95
4,0:48.0,,R. O'Neale enters the game for K. Korver,89,95
4,0:43.0,A. Drummond misses 2-pt layup from 6 ft (block by R. Gobert),,89,95
4,0:42.0,Offensive rebound by A. Drummond,,89,95
4,0:42.0,Shooting foul by D. Mitchell (drawn by A. Drummond),,89,95
4,0:42.0,A. Drummond makes free throw 1 of 2,,90,95
4,0:42.0,K. Thomas enters the game for L. Galloway,,90,95
4,0:42.0,,D. Favors enters the game for J. Ingles,90,95
4,0:42.0,A. Drummond makes free throw 2 of 2,,91,95
4,0:42.0,,Utah full timeout,91,95
4,0:42.0,,J. Ingles enters the game for D. Favors,91,95
4,0:42.0,,K. Korver enters the game for R. O'Neale,91,95
4,0:24.0,,J. Ingles makes 3-pt jump shot from 22 ft (assist by J. Crowder),91,98
4,0:05.0,B. Griffin makes 3-pt jump shot from 25 ft (assist by R. Bullock),,94,98
4,0:01.0,,Personal foul by K. Thomas (drawn by K. Korver),94,98
4,0:01.0,,K. Korver makes free throw 1 of 2,94,99
4,0:01.0,,K. Korver makes free throw 2 of 2,94,100
4,0:01.0,Detroit full timeout,,94,100
4,0:01.0,L. Galloway enters the game for K. Thomas,,94,100
4,0:01.0,,R. O'Neale enters the game for K. Korver,94,100
4,0:00.0,B. Griffin misses 3-pt jump shot from 25 ft,,94,100
4,0:00.0,Offensive rebound by Team,,94,100
