QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA LAKERS_ACTION,ORLANDO_SCORE,LA LAKERS_SCORE
4,5:16.0,,J. McGee makes 2-pt hook shot from 8 ft,102,95
4,4:49.0,Turnover by T. Ross (lost ball; steal by K. Caldwell-Pope),,102,95
4,4:46.0,,L. James makes 2-pt dunk from 2 ft (assist by K. Caldwell-Pope),102,97
4,4:26.0,N. Vučević makes 2-pt hook shot from 4 ft (assist by E. Fournier),,104,97
4,4:13.0,,Turnover by L. James (bad pass; steal by T. Ross),104,97
4,4:04.0,N. Vučević misses 3-pt jump shot from 26 ft,,104,97
4,4:00.0,,Defensive rebound by K. Caldwell-Pope,104,97
4,3:56.0,,L. James misses 3-pt jump shot from 26 ft,104,97
4,3:51.0,Defensive rebound by T. Ross,,104,97
4,3:49.0,Orlando full timeout,,104,97
4,3:49.0,A. Gordon enters the game for T. Ross,,104,97
4,3:49.0,,T. Chandler enters the game for J. McGee,104,97
4,3:39.0,E. Fournier misses 3-pt jump shot from 29 ft,,104,97
4,3:34.0,,Defensive rebound by T. Chandler,104,97
4,3:31.0,,L. James makes 2-pt dunk from 3 ft,104,99
4,3:31.0,Orlando full timeout,,104,99
4,3:13.0,Turnover by A. Gordon (off goaltending),,104,99
4,3:03.0,,K. Caldwell-Pope makes 3-pt jump shot from 28 ft (assist by L. James),104,102
4,2:34.0,N. Vučević misses 3-pt jump shot from 27 ft,,104,102
4,2:30.0,,Defensive rebound by B. Ingram,104,102
4,2:24.0,,Personal foul by N. Vučević (drawn by L. James),104,102
4,2:24.0,,L. James makes free throw 1 of 2,104,103
4,2:24.0,T. Ross enters the game for J. Isaac,,104,103
4,2:24.0,,L. James makes free throw 2 of 2,104,104
4,1:57.0,T. Ross misses 3-pt jump shot from 27 ft,,104,104
4,1:52.0,Offensive rebound by N. Vučević,,104,104
4,1:43.0,Turnover by D. Augustin (lost ball; steal by B. Ingram),,104,104
4,1:31.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,104,104
4,1:27.0,Defensive rebound by E. Fournier,,104,104
4,1:23.0,Personal foul by K. Caldwell-Pope (drawn by E. Fournier),,104,104
4,1:23.0,,LA Lakers full timeout,104,104
4,1:13.0,E. Fournier misses 2-pt layup from 3 ft,,104,104
4,1:10.0,Offensive rebound by N. Vučević,,104,104
4,1:09.0,Turnover by N. Vučević (lost ball; steal by K. Caldwell-Pope),,104,104
4,0:47.0,,L. James misses 3-pt jump shot from 24 ft,104,104
4,0:44.0,Defensive rebound by T. Ross,,104,104
4,0:34.0,T. Ross makes 2-pt layup from 2 ft (assist by D. Augustin),,106,104
4,0:18.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,106,104
4,0:14.0,Defensive rebound by D. Augustin,,106,104
4,0:10.0,A. Gordon makes 2-pt dunk from 2 ft (assist by T. Ross),,108,104
4,0:10.0,,LA Lakers full timeout,108,104
4,0:10.0,J. Grant enters the game for D. Augustin,,108,104
4,0:10.0,J. Isaac enters the game for T. Ross,,108,104
4,0:10.0,J. Simmons enters the game for N. Vučević,,108,104
4,0:08.0,,K. Kuzma misses 3-pt jump shot from 28 ft,108,104
4,0:04.0,Defensive rebound by J. Simmons,,108,104
