QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PHILADELPHIA_ACTION,GOLDEN STATE_SCORE,PHILADELPHIA_SCORE
4,4:21.0,K. Durant misses 3-pt jump shot from 27 ft,,108,107
4,4:18.0,,Defensive rebound by J. Redick,108,107
4,4:14.0,,T. Harris misses 3-pt jump shot from 28 ft,108,107
4,4:10.0,,Offensive rebound by M. Scott,108,107
4,4:08.0,,J. Butler misses 3-pt jump shot from 25 ft,108,107
4,4:05.0,,Offensive rebound by T. Harris,108,107
4,3:53.0,,J. Butler makes 2-pt jump shot from 7 ft (assist by B. Simmons),108,109
4,3:53.0,Golden State full timeout,,108,109
4,3:53.0,D. Green enters the game for J. Bell,,108,109
4,3:53.0,A. Iguodala enters the game for D. Cousins,,108,109
4,3:41.0,S. Curry makes 3-pt jump shot from 30 ft (assist by K. Durant),,111,109
4,3:21.0,,Shooting foul by D. Green (drawn by M. Scott),111,109
4,3:21.0,,M. Scott makes free throw 1 of 2,111,110
4,3:21.0,,M. Scott makes free throw 2 of 2,111,111
4,3:01.0,D. Green misses 2-pt jump shot from 15 ft,,111,111
4,2:58.0,,Defensive rebound by B. Simmons,111,111
4,2:43.0,,B. Simmons misses 2-pt hook shot from 4 ft,111,111
4,2:41.0,Defensive rebound by D. Green,,111,111
4,2:35.0,S. Curry makes 2-pt jump shot from 17 ft (assist by A. Iguodala),,113,111
4,2:19.0,,Personal foul by A. Iguodala (drawn by B. Simmons),113,111
4,2:07.0,,J. Butler misses 3-pt jump shot from 24 ft,113,111
4,2:04.0,Defensive rebound by K. Durant,,113,111
4,1:57.0,K. Durant misses 2-pt jump shot from 17 ft,,113,111
4,1:55.0,,Defensive rebound by J. Butler,113,111
4,1:47.0,,J. Redick misses 3-pt jump shot from 26 ft,113,111
4,1:43.0,Defensive rebound by A. Iguodala,,113,111
4,1:34.0,Shooting foul by B. Simmons (drawn by S. Curry),,113,111
4,1:34.0,S. Curry makes free throw 1 of 2,,114,111
4,1:34.0,S. Curry makes free throw 2 of 2,,115,111
4,1:18.0,,J. Redick misses 2-pt jump shot from 7 ft,115,111
4,1:16.0,Defensive rebound by D. Green,,115,111
4,1:02.0,S. Curry misses 3-pt jump shot from 29 ft,,115,111
4,1:00.0,,Defensive rebound by Team,115,111
4,1:00.0,,Philadelphia full timeout,115,111
4,0:55.0,,T. Harris misses 3-pt jump shot from 26 ft,115,111
4,0:51.0,Defensive rebound by D. Green,,115,111
4,0:38.0,S. Curry makes 2-pt layup from 1 ft,,117,111
4,0:38.0,,Philadelphia full timeout,117,111
4,0:37.0,,T. Harris makes 3-pt jump shot from 28 ft (assist by B. Simmons),117,114
4,0:35.0,Personal take foul by M. Scott (drawn by K. Durant),,117,114
4,0:35.0,K. Durant makes free throw 1 of 2,,118,114
4,0:35.0,K. Durant makes free throw 2 of 2,,119,114
4,0:29.0,,B. Simmons makes 2-pt layup from 2 ft (assist by T. Harris),119,116
4,0:22.0,Golden State full timeout,,119,116
4,0:22.0,,T. McConnell enters the game for J. Redick,119,116
4,0:22.0,,J. Simmons enters the game for M. Scott,119,116
4,0:19.0,Turnover by K. Durant (out of bounds lost ball),,119,116
4,0:19.0,,J. Redick enters the game for T. McConnell,119,116
4,0:19.0,,M. Scott enters the game for J. Simmons,119,116
4,0:10.0,,Personal foul by D. Green (drawn by B. Simmons),119,116
4,0:10.0,,B. Simmons makes free throw 1 of 2,119,117
4,0:10.0,D. Cousins enters the game for D. Lee,,119,117
4,0:10.0,,J. Bolden enters the game for J. Redick,119,117
4,0:10.0,,B. Simmons misses free throw 2 of 2,119,117
4,0:10.0,Defensive rebound by Team,,119,117
4,0:10.0,D. Lee enters the game for D. Cousins,,119,117
4,0:10.0,,T. McConnell enters the game for J. Bolden,119,117
4,0:10.0,,J. Simmons enters the game for M. Scott,119,117
4,0:04.0,Personal take foul by T. Harris (drawn by K. Durant),,119,117
4,0:04.0,K. Durant makes free throw 1 of 2,,120,117
4,0:04.0,,J. Redick enters the game for T. McConnell,120,117
4,0:04.0,,M. Scott enters the game for J. Simmons,120,117
4,0:04.0,K. Durant misses free throw 2 of 2,,120,117
4,0:02.0,,Defensive rebound by Team,120,117
4,0:02.0,,Turnover by T. Harris (step out of bounds),120,117
