QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BOSTON_ACTION,MEMPHIS_SCORE,BOSTON_SCORE
4,4:02.0,M. Conley misses 3-pt jump shot from 25 ft,,104,108
4,4:01.0,,Defensive rebound by A. Horford,104,108
4,3:43.0,,K. Irving makes 2-pt jump shot from 7 ft,104,110
4,3:30.0,J. Holiday makes 2-pt dunk from 2 ft (assist by J. Jackson),,106,110
4,3:13.0,,Shooting foul by M. Conley (drawn by K. Irving),106,110
4,3:13.0,,K. Irving misses free throw 1 of 2,106,110
4,3:13.0,,Offensive rebound by Team,106,110
4,3:13.0,,K. Irving makes free throw 2 of 2,106,111
4,2:52.0,J. Jackson makes 2-pt hook shot from 8 ft,,108,111
4,2:36.0,,M. Smart makes 2-pt jump shot from 15 ft (assist by K. Irving),108,113
4,2:22.0,M. Conley misses 3-pt jump shot from 25 ft,,108,113
4,2:20.0,,Defensive rebound by K. Irving,108,113
4,1:58.0,,A. Horford makes 2-pt hook shot from 11 ft (assist by J. Tatum),108,115
4,1:58.0,Memphis full timeout,,108,115
4,1:39.0,J. Jackson makes 2-pt dunk from 3 ft (assist by M. Conley),,110,115
4,1:22.0,,K. Irving makes 3-pt jump shot from 27 ft,110,118
4,1:22.0,,G. Hayward enters the game for J. Tatum,110,118
4,1:11.0,G. Temple misses 3-pt jump shot from 26 ft,,110,118
4,1:09.0,,Defensive rebound by A. Horford,110,118
4,0:55.0,,Turnover by K. Irving (bad pass; steal by J. Holiday),110,118
4,0:46.0,G. Temple misses 3-pt jump shot from 23 ft,,110,118
4,0:44.0,,Defensive rebound by M. Smart,110,118
4,0:37.0,,Personal take foul by J. Holiday (drawn by A. Horford),110,118
4,0:37.0,,T. Rozier enters the game for M. Smart,110,118
4,0:32.0,,Boston full timeout,110,118
4,0:32.0,J. Green enters the game for M. Conley,,110,118
4,0:32.0,,M. Smart enters the game for A. Baynes,110,118
4,0:32.0,,J. Tatum enters the game for T. Rozier,110,118
4,0:30.0,,Personal foul by J. Jackson (drawn by G. Hayward),110,118
4,0:30.0,,G. Hayward makes free throw 1 of 2,110,119
4,0:30.0,,T. Rozier enters the game for K. Irving,110,119
4,0:30.0,,G. Hayward makes free throw 2 of 2,110,120
4,0:30.0,Memphis full timeout,,110,120
4,0:30.0,M. Conley enters the game for J. Green,,110,120
4,0:26.0,M. Conley misses 3-pt jump shot from 25 ft,,110,120
4,0:24.0,,Defensive rebound by G. Hayward,110,120
4,0:23.0,,Personal take foul by M. Gasol (drawn by G. Hayward),110,120
4,0:23.0,,G. Hayward misses free throw 1 of 2,110,120
4,0:23.0,,Offensive rebound by Team,110,120
4,0:23.0,,G. Yabusele enters the game for A. Horford,110,120
4,0:23.0,,G. Hayward makes free throw 2 of 2,110,121
4,0:18.0,J. Jackson makes 3-pt jump shot from 30 ft (assist by M. Gasol),,113,121
4,0:12.0,,Personal take foul by M. Conley (drawn by G. Hayward),113,121
4,0:12.0,,G. Hayward makes free throw 1 of 2,113,122
4,0:12.0,,G. Hayward misses free throw 2 of 2,113,122
4,0:12.0,Defensive rebound by M. Gasol,,113,122
4,0:06.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by M. Gasol),,116,122
