QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DALLAS_ACTION,OKLAHOMA CITY_SCORE,DALLAS_SCORE
2,8:28.0,T. Ferguson enters the game for Á. Abrines,,22,30
2,8:28.0,J. Grant enters the game for P. Patterson,,22,30
2,8:28.0,,D. Finney-Smith enters the game for W. Matthews,22,30
2,8:19.0,T. Ferguson misses 3-pt jump shot from 24 ft,,22,30
2,8:16.0,Offensive rebound by N. Noel,,22,30
2,8:09.0,H. Diallo misses 2-pt hook shot from 6 ft,,22,30
2,8:08.0,Offensive rebound by T. Ferguson,,22,30
2,8:06.0,T. Ferguson makes 2-pt dunk at rim,,24,30
2,7:54.0,,J. Barea makes 2-pt jump shot from 8 ft,24,32
2,7:40.0,R. Felton makes 2-pt jump shot from 21 ft,,26,32
2,7:14.0,,D. Powell makes 2-pt jump shot from 1 ft (assist by D. Harris),26,34
2,7:14.0,,Shooting foul by N. Noel (drawn by D. Powell),26,34
2,7:14.0,S. Adams enters the game for R. Felton,,26,34
2,7:14.0,D. Schröder enters the game for N. Noel,,26,34
2,7:14.0,,L. Dončić enters the game for J. Barea,26,34
2,7:14.0,,D. Smith enters the game for D. Harris,26,34
2,7:14.0,,D. Powell makes free throw 1 of 1,26,35
2,7:02.0,Turnover by D. Schröder (bad pass),,26,35
2,7:02.0,,D. Jordan enters the game for D. Powell,26,35
2,6:49.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by L. Dončić),26,38
2,6:33.0,D. Schröder misses 2-pt jump shot from 13 ft,,26,38
2,6:29.0,,Defensive rebound by D. Jordan,26,38
2,6:23.0,,Turnover by L. Dončić (lost ball; steal by T. Ferguson),26,38
2,6:19.0,T. Ferguson misses 2-pt layup from 1 ft,,26,38
2,6:19.0,Offensive rebound by H. Diallo,,26,38
2,6:19.0,Personal foul by M. Kleber (drawn by H. Diallo),,26,38
2,6:19.0,P. George enters the game for H. Diallo,,26,38
2,6:10.0,D. Schröder makes 2-pt jump shot from 9 ft,,28,38
2,5:54.0,,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by D. Smith),28,41
2,5:43.0,D. Schröder misses 2-pt jump shot from 16 ft,,28,41
2,5:40.0,Offensive rebound by S. Adams,,28,41
2,5:39.0,Personal foul by L. Dončić (drawn by T. Ferguson),,28,41
2,5:31.0,P. George misses 2-pt jump shot from 16 ft,,28,41
2,5:28.0,,Defensive rebound by D. Smith,28,41
2,5:13.0,,Offensive foul by L. Dončić (drawn by D. Schröder),28,41
