QUARTER,TIME_REMAINING,TORONTO_ACTION,MINNESOTA_ACTION,TORONTO_SCORE,MINNESOTA_SCORE
4,9:18.0,Defensive rebound by C. Boucher,,107,80
4,9:02.0,Turnover by O. Anunoby (bad pass; steal by A. Tolliver),,107,80
4,8:45.0,,Shooting foul by C. Boucher (drawn by G. Dieng),107,80
4,8:45.0,,G. Dieng makes free throw 1 of 2,107,81
4,8:45.0,M. Miller enters the game for N. Powell,,107,81
4,8:45.0,,G. Dieng misses free throw 2 of 2,107,81
4,8:43.0,Defensive rebound by C. Boucher,,107,81
4,8:29.0,Turnover by J. Lin (bad pass; steal by C. Williams),,107,81
4,8:19.0,,A. Tolliver misses 3-pt jump shot from 24 ft,107,81
4,8:16.0,Defensive rebound by J. Lin,,107,81
4,8:10.0,M. Miller makes 2-pt jump shot from 18 ft (assist by C. Boucher),,109,81
4,7:59.0,,Personal foul by M. Miller (drawn by G. Dieng),109,81
4,7:55.0,,A. Wiggins misses 2-pt layup from 3 ft,109,81
4,7:55.0,,Offensive rebound by Team,109,81
4,7:45.0,,A. Wiggins misses 2-pt jump shot from 22 ft,109,81
4,7:41.0,,Offensive rebound by G. Dieng,109,81
4,7:39.0,,C. Williams misses 3-pt jump shot from 24 ft,109,81
4,7:36.0,,Offensive rebound by G. Dieng,109,81
4,7:34.0,,A. Tolliver misses 3-pt jump shot from 26 ft,109,81
4,7:32.0,Defensive rebound by J. Meeks,,109,81
4,7:32.0,J. Loyd enters the game for O. Anunoby,,109,81
4,7:32.0,E. Moreland enters the game for J. Meeks,,109,81
4,7:32.0,,M. Creek enters the game for T. Jones,109,81
4,7:32.0,,C. Reynolds enters the game for A. Wiggins,109,81
4,7:09.0,J. Loyd makes 2-pt jump shot from 19 ft (assist by J. Lin),,111,81
4,7:09.0,Shooting foul by C. Williams (drawn by J. Loyd),,111,81
4,7:09.0,J. Loyd makes free throw 1 of 1,,112,81
4,6:55.0,,C. Williams misses 2-pt layup from 3 ft,112,81
4,6:53.0,Defensive rebound by E. Moreland,,112,81
4,6:46.0,Turnover by J. Lin (bad pass),,112,81
4,6:46.0,,K. Bates-Diop enters the game for G. Dieng,112,81
4,6:29.0,,Turnover by C. Reynolds (lost ball; steal by E. Moreland),112,81
4,6:23.0,Turnover by J. Lin (lost ball; steal by C. Reynolds),,112,81
4,6:15.0,,M. Creek misses 3-pt jump shot from 22 ft,112,81
4,6:12.0,Defensive rebound by E. Moreland,,112,81
4,6:02.0,C. Boucher misses 3-pt jump shot from 23 ft,,112,81
4,6:00.0,Offensive rebound by M. Miller,,112,81
4,6:00.0,Shooting foul by A. Tolliver (drawn by M. Miller),,112,81
4,6:00.0,M. Miller misses free throw 1 of 2,,112,81
4,6:00.0,Offensive rebound by Team,,112,81
4,6:00.0,M. Miller makes free throw 2 of 2,,113,81
4,5:51.0,,M. Creek makes 2-pt layup from 2 ft (assist by A. Tolliver),113,83
4,5:51.0,Violation by Team (def goaltending),,113,83
4,5:41.0,J. Lin misses 3-pt jump shot from 25 ft,,113,83
4,5:38.0,,Defensive rebound by A. Tolliver,113,83
4,5:25.0,,C. Williams makes 3-pt jump shot from 26 ft,113,86
4,5:07.0,Turnover by E. Moreland (bad pass; steal by M. Creek),,113,86
4,5:02.0,,M. Creek makes 2-pt layup from 2 ft,113,88
