QUARTER,TIME_REMAINING,BOSTON_ACTION,GOLDEN STATE_ACTION,BOSTON_SCORE,GOLDEN STATE_SCORE
4,5:00.0,,A. McKinnie enters the game for D. Lee,115,87
4,4:53.0,Turnover by S. Ojeleye (lost ball; steal by J. Jerebko),,115,87
4,4:38.0,,Turnover by J. Evans (bad pass; steal by S. Ojeleye),115,87
4,4:29.0,B. Wanamaker misses 2-pt jump shot from 12 ft,,115,87
4,4:24.0,Offensive rebound by B. Wanamaker,,115,87
4,4:23.0,B. Wanamaker makes 2-pt layup from 2 ft,,117,87
4,4:15.0,,J. Bell misses 2-pt jump shot from 17 ft,117,87
4,4:11.0,,Offensive rebound by A. McKinnie,117,87
4,4:04.0,,J. Jerebko misses 2-pt layup from 2 ft,117,87
4,4:01.0,Defensive rebound by T. Rozier,,117,87
4,3:59.0,J. Brown misses 3-pt jump shot from 26 ft,,117,87
4,3:57.0,,Defensive rebound by Q. Cook,117,87
4,3:52.0,,J. Evans makes 2-pt jump shot from 21 ft,117,89
4,3:30.0,Shooting foul by J. Jerebko (drawn by D. Theis),,117,89
4,3:30.0,D. Theis makes free throw 1 of 2,,118,89
4,3:30.0,G. Yabusele enters the game for J. Brown,,118,89
4,3:30.0,D. Theis makes free throw 2 of 2,,119,89
4,3:18.0,,J. Jerebko misses 3-pt jump shot from 27 ft,119,89
4,3:14.0,Defensive rebound by Team,,119,89
4,2:59.0,Shooting foul by J. Evans (drawn by T. Rozier),,119,89
4,2:59.0,Boston full timeout,,119,89
4,2:59.0,,D. Lee enters the game for J. Jerebko,119,89
4,2:59.0,T. Rozier makes free throw 1 of 2,,120,89
4,2:59.0,T. Rozier makes free throw 2 of 2,,121,89
4,2:39.0,,A. McKinnie makes 2-pt dunk from 1 ft (assist by J. Bell),121,91
4,2:28.0,B. Wanamaker misses 2-pt jump shot from 16 ft,,121,91
4,2:27.0,Offensive rebound by G. Yabusele,,121,91
4,2:27.0,G. Yabusele misses 2-pt layup at rim,,121,91
4,2:26.0,Offensive rebound by G. Yabusele,,121,91
4,2:23.0,D. Theis misses 2-pt layup from 4 ft,,121,91
4,2:21.0,,Defensive rebound by J. Bell,121,91
4,2:11.0,,Q. Cook misses 2-pt jump shot from 11 ft (block by D. Theis),121,91
4,2:09.0,Defensive rebound by Team,,121,91
4,1:54.0,Turnover by G. Yabusele (traveling),,121,91
4,1:42.0,,J. Evans makes 2-pt jump shot from 22 ft (assist by J. Bell),121,93
4,1:29.0,G. Yabusele makes 3-pt jump shot from 23 ft (assist by D. Theis),,124,93
4,1:17.0,,Personal foul by B. Wanamaker (drawn by D. Lee),124,93
4,1:06.0,,D. Lee misses 3-pt jump shot from 27 ft,124,93
4,1:04.0,Defensive rebound by B. Wanamaker,,124,93
4,1:01.0,Shooting foul by D. Lee (drawn by G. Yabusele),,124,93
4,1:01.0,G. Yabusele makes free throw 1 of 2,,125,93
4,1:01.0,G. Yabusele makes free throw 2 of 2,,126,93
4,0:45.0,,D. Lee misses 2-pt jump shot from 5 ft (block by D. Theis),126,93
4,0:44.0,Defensive rebound by T. Rozier,,126,93
4,0:40.0,G. Yabusele makes 2-pt dunk from 1 ft (assist by T. Rozier),,128,93
4,0:29.0,,Q. Cook misses 2-pt layup from 2 ft,128,93
4,0:28.0,,Offensive rebound by Q. Cook,128,93
4,0:26.0,,Q. Cook misses 2-pt layup from 2 ft,128,93
4,0:25.0,,Offensive rebound by Team,128,93
4,0:20.0,,J. Bell makes 2-pt dunk from 1 ft (assist by J. Evans),128,95
