QUARTER,TIME_REMAINING,ORLANDO_ACTION,ATLANTA_ACTION,ORLANDO_SCORE,ATLANTA_SCORE
4,3:27.0,J. Grant enters the game for J. Isaac,,121,98
4,3:27.0,A. Jefferson enters the game for T. Ross,,121,98
4,3:27.0,J. Martin enters the game for N. Vučević,,121,98
4,3:17.0,Turnover by J. Martin (out of bounds lost ball),,121,98
4,3:03.0,,A. Len misses 3-pt jump shot from 24 ft,121,98
4,3:01.0,Defensive rebound by J. Martin,,121,98
4,2:52.0,J. Martin misses 3-pt jump shot from 23 ft,,121,98
4,2:51.0,,Defensive rebound by Team,121,98
4,2:51.0,Loose ball foul by A. Jefferson (drawn by A. Len),,121,98
4,2:51.0,,A. Len makes free throw 1 of 2,121,99
4,2:51.0,,A. Len makes free throw 2 of 2,121,100
4,2:34.0,J. Grant misses 3-pt jump shot from 26 ft,,121,100
4,2:29.0,Offensive rebound by M. Frazier,,121,100
4,2:21.0,I. Briscoe misses 2-pt jump shot from 22 ft,,121,100
4,2:17.0,,Defensive rebound by J. Lin,121,100
4,2:11.0,,A. Len makes 2-pt layup from 1 ft (assist by J. Lin),121,102
4,1:51.0,J. Grant misses 3-pt jump shot from 26 ft,,121,102
4,1:46.0,,Defensive rebound by O. Spellman,121,102
4,1:33.0,,J. Anderson misses 2-pt jump shot from 18 ft,121,102
4,1:29.0,Defensive rebound by J. Martin,,121,102
4,1:21.0,I. Briscoe misses 2-pt jump shot from 22 ft,,121,102
4,1:19.0,Offensive rebound by Team,,121,102
4,1:08.0,J. Martin misses 2-pt jump shot from 23 ft,,121,102
4,1:03.0,,Defensive rebound by J. Anderson,121,102
4,1:02.0,,J. Anderson makes 2-pt layup from 1 ft,121,104
4,1:02.0,,Shooting foul by M. Frazier (drawn by J. Anderson),121,104
4,1:02.0,,J. Anderson makes free throw 1 of 1,121,105
4,0:51.0,J. Grant makes 3-pt jump shot from 26 ft,,124,105
4,0:38.0,,O. Spellman makes 3-pt jump shot from 23 ft (assist by J. Anderson),124,108
4,0:27.0,J. Grant misses 3-pt jump shot from 24 ft,,124,108
4,0:23.0,,Defensive rebound by O. Spellman,124,108
4,0:17.0,,J. Anderson misses 3-pt jump shot from 25 ft,124,108
4,0:13.0,Defensive rebound by A. Jefferson,,124,108
