QUARTER,TIME_REMAINING,NEW YORK_ACTION,SACRAMENTO_ACTION,NEW YORK_SCORE,SACRAMENTO_SCORE
4,5:37.0,L. Kornet enters the game for M. Robinson,,92,102
4,5:28.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,92,102
4,5:24.0,Defensive rebound by N. Vonleh,,92,102
4,5:19.0,D. Smith misses 2-pt jump shot from 21 ft,,92,102
4,5:18.0,Offensive rebound by Team,,92,102
4,5:12.0,L. Kornet misses 3-pt jump shot from 25 ft,,92,102
4,5:09.0,,Defensive rebound by D. Fox,92,102
4,5:07.0,Flagrant foul type 2 by H. Giles (drawn by L. Kornet),,92,102
4,5:07.0,L. Kornet misses flagrant free throw 1 of 2,,92,102
4,5:07.0,Offensive rebound by Team,,92,102
4,5:07.0,L. Kornet makes flagrant free throw 2 of 2,,93,102
4,5:07.0,,Turnover by H. Giles (turnover),93,102
4,5:07.0,,H. Giles ejected from game,93,102
4,5:07.0,,W. Cauley-Stein enters the game for H. Giles,93,102
4,4:46.0,Personal foul by W. Cauley-Stein (drawn by A. Trier),,93,102
4,4:38.0,A. Trier misses 2-pt layup from 3 ft (block by B. Hield),,93,102
4,4:35.0,,Defensive rebound by H. Barnes,93,102
4,4:26.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by W. Cauley-Stein),93,105
4,4:03.0,L. Kornet makes 3-pt jump shot from 23 ft (assist by D. Smith),,96,105
4,3:45.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),96,107
4,3:28.0,D. Dotson makes 2-pt layup from 3 ft,,98,107
4,3:14.0,,D. Fox misses 3-pt jump shot from 25 ft,98,107
4,3:14.0,Defensive rebound by D. Dotson,,98,107
4,3:00.0,D. Dotson misses 2-pt layup from 2 ft,,98,107
4,3:00.0,,Defensive rebound by H. Barnes,98,107
4,3:00.0,,Sacramento full timeout,98,107
4,2:58.0,,Personal take foul by L. Kornet (drawn by W. Cauley-Stein),98,107
4,2:58.0,,W. Cauley-Stein misses free throw 1 of 2,98,107
4,2:58.0,,Offensive rebound by Team,98,107
4,2:58.0,,W. Cauley-Stein makes free throw 2 of 2,98,108
4,2:49.0,Personal foul by B. Hield (drawn by A. Trier),,98,108
4,2:49.0,A. Trier makes free throw 1 of 2,,99,108
4,2:49.0,L. Thomas enters the game for L. Kornet,,99,108
4,2:49.0,A. Trier makes free throw 2 of 2,,100,108
4,2:48.0,,Personal take foul by N. Vonleh (drawn by W. Cauley-Stein),100,108
4,2:48.0,,W. Cauley-Stein makes free throw 1 of 2,100,109
4,2:48.0,L. Kornet enters the game for L. Thomas,,100,109
4,2:48.0,,W. Cauley-Stein makes free throw 2 of 2,100,110
4,2:27.0,Turnover by D. Dotson (lost ball; steal by D. Fox),,100,110
4,2:20.0,,H. Barnes makes 2-pt layup from 2 ft (assist by B. Hield),100,112
4,2:20.0,New York full timeout,,100,112
4,2:15.0,Turnover by D. Smith (lost ball; steal by B. Hield),,100,112
4,2:01.0,,Turnover by B. Hield (offensive foul),100,112
4,2:01.0,,Offensive foul by B. Hield (drawn by A. Trier),100,112
4,1:47.0,Personal foul by D. Fox (drawn by A. Trier),,100,112
4,1:47.0,A. Trier misses free throw 1 of 2,,100,112
4,1:47.0,Offensive rebound by Team,,100,112
4,1:47.0,L. Thomas enters the game for L. Kornet,,100,112
4,1:47.0,A. Trier makes free throw 2 of 2,,101,112
4,1:32.0,,D. Fox makes 2-pt layup from 1 ft,101,114
4,1:25.0,D. Smith makes 3-pt jump shot from 25 ft,,104,114
4,1:17.0,,Turnover by B. Bogdanović (bad pass; steal by A. Trier),104,114
4,1:12.0,A. Trier misses 2-pt layup from 3 ft,,104,114
4,1:09.0,Offensive rebound by D. Smith,,104,114
4,1:09.0,D. Smith makes 2-pt layup at rim,,106,114
4,1:01.0,,Shooting foul by D. Dotson (drawn by D. Fox),106,114
4,1:01.0,,D. Fox makes free throw 1 of 2,106,115
4,1:01.0,,D. Fox misses free throw 2 of 2,106,115
4,0:58.0,Defensive rebound by A. Trier,,106,115
4,0:54.0,A. Trier misses 2-pt layup from 2 ft,,106,115
4,0:52.0,,Defensive rebound by B. Hield,106,115
4,0:32.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,106,115
4,0:28.0,Defensive rebound by A. Trier,,106,115
4,0:27.0,Shooting foul by H. Barnes (drawn by A. Trier),,106,115
4,0:27.0,A. Trier makes free throw 1 of 2,,107,115
4,0:27.0,A. Trier makes free throw 2 of 2,,108,115
4,0:03.0,,Turnover by Team (shot clock),108,115
