QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,SAN ANTONIO_ACTION,MILWAUKEE_SCORE,SAN ANTONIO_SCORE
4,5:41.0,P. Connaughton makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,94,105
4,5:31.0,,San Antonio full timeout,94,105
4,5:31.0,,D. Bertāns enters the game for M. Belinelli,94,105
4,5:31.0,,D. DeRozan enters the game for J. Poeltl,94,105
4,5:19.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. White),94,107
4,5:09.0,E. Bledsoe misses 2-pt layup from 3 ft,,94,107
4,5:07.0,,Defensive rebound by D. Bertāns,94,107
4,4:51.0,,B. Forbes makes 2-pt jump shot from 3 ft,94,109
4,4:51.0,,Shooting foul by P. Connaughton (drawn by B. Forbes),94,109
4,4:51.0,,B. Forbes misses free throw 1 of 1,94,109
4,4:48.0,Defensive rebound by K. Middleton,,94,109
4,4:41.0,K. Middleton makes 2-pt layup from 1 ft,,96,109
4,4:16.0,,D. DeRozan makes 2-pt jump shot from 9 ft,96,111
4,4:04.0,K. Middleton makes 2-pt jump shot from 15 ft,,98,111
4,3:46.0,,Turnover by D. White (bad pass; steal by P. Connaughton),98,111
4,3:41.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),,100,111
4,3:41.0,,San Antonio full timeout,100,111
4,3:34.0,,Offensive foul by D. DeRozan (drawn by K. Middleton),100,111
4,3:34.0,,Turnover by D. DeRozan (offensive foul),100,111
4,3:34.0,,M. Belinelli enters the game for B. Forbes,100,111
4,3:27.0,Shooting foul by D. Bertāns (drawn by B. Lopez),,100,111
4,3:27.0,B. Lopez makes free throw 1 of 2,,101,111
4,3:27.0,,P. Mills enters the game for D. White,101,111
4,3:27.0,B. Lopez makes free throw 2 of 2,,102,111
4,3:11.0,,P. Mills misses 3-pt jump shot from 23 ft,102,111
4,3:09.0,Defensive rebound by P. Connaughton,,102,111
4,2:49.0,K. Middleton misses 3-pt jump shot from 26 ft,,102,111
4,2:44.0,,Defensive rebound by D. DeRozan,102,111
4,2:34.0,,D. DeRozan makes 2-pt layup from 1 ft,102,113
4,2:26.0,K. Middleton misses 2-pt layup from 1 ft,,102,113
4,2:26.0,,Defensive rebound by M. Belinelli,102,113
4,2:18.0,,Personal foul by E. Bledsoe (drawn by D. DeRozan),102,113
4,2:05.0,,P. Mills makes 3-pt jump shot from 25 ft,102,116
4,1:56.0,Shooting foul by L. Aldridge (drawn by G. Antetokounmpo),,102,116
4,1:56.0,G. Antetokounmpo misses free throw 1 of 2,,102,116
4,1:56.0,Offensive rebound by Team,,102,116
4,1:56.0,G. Antetokounmpo makes free throw 2 of 2,,103,116
4,1:38.0,,Personal foul by K. Middleton (drawn by L. Aldridge),103,116
4,1:28.0,,D. Bertāns misses 2-pt jump shot from 11 ft,103,116
4,1:26.0,Defensive rebound by B. Lopez,,103,116
4,1:22.0,G. Antetokounmpo makes 3-pt jump shot from 24 ft,,106,116
4,1:08.0,,Personal foul by K. Middleton (drawn by D. DeRozan),106,116
4,1:08.0,,D. DeRozan makes free throw 1 of 2,106,117
4,1:08.0,Milwaukee full timeout,,106,117
4,1:08.0,D. DiVincenzo enters the game for G. Antetokounmpo,,106,117
4,1:08.0,P. Gasol enters the game for E. Bledsoe,,106,117
4,1:08.0,N. Mirotić enters the game for B. Lopez,,106,117
4,1:08.0,T. Snell enters the game for K. Middleton,,106,117
4,1:08.0,,D. DeRozan makes free throw 2 of 2,106,118
4,0:57.0,P. Connaughton makes 3-pt jump shot from 26 ft (assist by D. DiVincenzo),,109,118
4,0:56.0,,San Antonio full timeout,109,118
4,0:39.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by D. DeRozan),109,121
4,0:33.0,D. DiVincenzo makes 2-pt layup from 2 ft,,111,121
4,0:07.0,,D. Bertāns misses 3-pt jump shot from 23 ft,111,121
4,0:04.0,Defensive rebound by P. Gasol,,111,121
4,0:00.0,T. Snell makes 3-pt jump shot from 25 ft (assist by D. DiVincenzo),,114,121
