QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHICAGO_ACTION,MEMPHIS_SCORE,CHICAGO_SCORE
4,3:01.0,,Defensive rebound by R. Arcidiacono,101,115
4,2:46.0,Violation by Team (kicked ball),,101,115
4,2:34.0,,L. Markkanen makes 3-pt jump shot from 27 ft (assist by Z. LaVine),101,118
4,2:17.0,Turnover by J. Valančiūnas (offensive foul),,101,118
4,2:17.0,Offensive foul by J. Valančiūnas (drawn by O. Porter),,101,118
4,2:17.0,B. Caboclo enters the game for A. Bradley,,101,118
4,2:17.0,J. Carter enters the game for M. Conley,,101,118
4,2:17.0,T. Dorsey enters the game for J. Holiday,,101,118
4,2:17.0,I. Rabb enters the game for J. Jackson,,101,118
4,2:17.0,D. Wright enters the game for J. Valančiūnas,,101,118
4,1:58.0,,Shooting foul by I. Rabb (drawn by R. Lopez),101,118
4,1:58.0,,Offensive rebound by Team,101,118
4,1:58.0,,R. Lopez misses free throw 1 of 2,101,118
4,1:58.0,,R. Lopez makes free throw 2 of 2,101,119
4,1:41.0,T. Dorsey makes 2-pt jump shot from 18 ft,,103,119
4,1:41.0,,Chicago full timeout,103,119
4,1:41.0,,R. Alkins enters the game for R. Arcidiacono,103,119
4,1:41.0,,A. Blakeney enters the game for Z. LaVine,103,119
4,1:41.0,,C. Felício enters the game for R. Lopez,103,119
4,1:41.0,,S. Harrison enters the game for L. Markkanen,103,119
4,1:41.0,,T. Luwawu-Cabarrot enters the game for O. Porter,103,119
4,1:25.0,,C. Felício makes 2-pt layup from 1 ft (assist by A. Blakeney),103,121
4,1:12.0,I. Rabb makes 2-pt jump shot from 15 ft (assist by B. Caboclo),,105,121
4,1:02.0,,Shooting foul by I. Rabb (drawn by C. Felício),105,121
4,1:02.0,,C. Felício makes free throw 1 of 2,105,122
4,1:02.0,,C. Felício misses free throw 2 of 2,105,122
4,0:59.0,Defensive rebound by B. Caboclo,,105,122
4,0:44.0,T. Dorsey makes 3-pt jump shot from 25 ft (assist by B. Caboclo),,108,122
4,0:25.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,108,122
4,0:22.0,Defensive rebound by J. Carter,,108,122
4,0:16.0,Shooting foul by R. Alkins (drawn by D. Wright),,108,122
4,0:16.0,D. Wright makes free throw 1 of 2,,109,122
4,0:16.0,D. Wright makes free throw 2 of 2,,110,122
