QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DENVER_ACTION,MILWAUKEE_SCORE,DENVER_SCORE
4,3:04.0,,G. Harris misses 3-pt jump shot from 23 ft,110,112
4,3:01.0,Defensive rebound by E. Bledsoe,,110,112
4,2:55.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),,112,112
4,2:27.0,,P. Millsap misses 3-pt jump shot from 25 ft,112,112
4,2:23.0,Defensive rebound by K. Middleton,,112,112
4,2:09.0,B. Lopez misses 3-pt jump shot from 25 ft,,112,112
4,2:06.0,,Defensive rebound by G. Harris,112,112
4,1:50.0,,Turnover by N. Jokić (bad pass; steal by M. Brogdon),112,112
4,1:41.0,M. Brogdon makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,115,112
4,1:40.0,,Denver full timeout,115,112
4,1:32.0,,Turnover by J. Murray (bad pass; steal by G. Antetokounmpo),115,112
4,1:18.0,E. Bledsoe misses 2-pt jump shot from 5 ft,,115,112
4,1:15.0,,Defensive rebound by G. Harris,115,112
4,1:15.0,,Personal foul by E. Bledsoe (drawn by G. Harris),115,112
4,1:07.0,,N. Jokić misses 2-pt jump shot from 18 ft,115,112
4,1:04.0,Defensive rebound by M. Brogdon,,115,112
4,0:42.0,K. Middleton makes 2-pt jump shot from 18 ft,,117,112
4,0:41.0,,Denver full timeout,117,112
4,0:31.0,,P. Millsap makes 2-pt dunk from 2 ft,117,114
4,0:30.0,Personal foul by G. Harris (drawn by K. Middleton),,117,114
4,0:30.0,K. Middleton makes free throw 1 of 2,,118,114
4,0:30.0,K. Middleton makes free throw 2 of 2,,119,114
4,0:28.0,,Turnover by M. Beasley (bad pass; steal by E. Bledsoe),119,114
4,0:25.0,E. Bledsoe misses 2-pt layup from 2 ft,,119,114
4,0:22.0,Offensive rebound by B. Lopez,,119,114
4,0:17.0,Milwaukee full timeout,,119,114
4,0:17.0,,M. Plumlee enters the game for N. Jokić,119,114
4,0:12.0,E. Bledsoe makes 2-pt dunk at rim (assist by G. Antetokounmpo),,121,114
4,0:03.0,,M. Beasley misses 2-pt layup from 2 ft,121,114
4,0:01.0,Defensive rebound by G. Antetokounmpo,,121,114
