QUARTER,TIME_REMAINING,TORONTO_ACTION,MIAMI_ACTION,TORONTO_SCORE,MIAMI_SCORE
4,4:33.0,,Defensive rebound by B. Adebayo,113,93
4,4:30.0,,Turnover by J. Winslow (bad pass; steal by O. Anunoby),113,93
4,4:25.0,Turnover by K. Lowry (lost ball; steal by R. McGruder),,113,93
4,4:13.0,,R. McGruder misses 3-pt jump shot from 24 ft,113,93
4,4:11.0,Defensive rebound by M. Gasol,,113,93
4,3:55.0,Turnover by M. Gasol (bad pass; steal by B. Adebayo),,113,93
4,3:46.0,,J. Richardson misses 2-pt jump shot from 5 ft,113,93
4,3:44.0,Defensive rebound by J. Lin,,113,93
4,3:43.0,Shooting foul by J. Winslow (drawn by N. Powell),,113,93
4,3:43.0,N. Powell makes free throw 1 of 2,,114,93
4,3:43.0,C. Boucher enters the game for M. Gasol,,114,93
4,3:43.0,M. Miller enters the game for K. Lowry,,114,93
4,3:43.0,,R. Anderson enters the game for J. Richardson,114,93
4,3:43.0,,D. Waiters enters the game for J. Winslow,114,93
4,3:43.0,N. Powell makes free throw 2 of 2,,115,93
4,3:29.0,,D. Jones misses 3-pt jump shot from 25 ft,115,93
4,3:26.0,Defensive rebound by J. Lin,,115,93
4,3:19.0,J. Lin makes 2-pt jump shot from 13 ft,,117,93
4,3:07.0,,Turnover by D. Waiters (bad pass),117,93
4,2:57.0,Turnover by O. Anunoby (bad pass; steal by R. McGruder),,117,93
4,2:52.0,,D. Jones makes 2-pt dunk from 1 ft (assist by B. Adebayo),117,95
4,2:36.0,C. Boucher misses 3-pt jump shot from 25 ft,,117,95
4,2:34.0,,Defensive rebound by R. McGruder,117,95
4,2:29.0,,Shooting foul by J. Lin (drawn by R. McGruder),117,95
4,2:29.0,,R. McGruder makes free throw 1 of 2,117,96
4,2:29.0,P. McCaw enters the game for J. Lin,,117,96
4,2:29.0,,R. McGruder misses free throw 2 of 2,117,96
4,2:25.0,Defensive rebound by C. Boucher,,117,96
4,2:09.0,M. Miller makes 3-pt jump shot from 25 ft (assist by O. Anunoby),,120,96
4,1:47.0,,B. Adebayo makes 2-pt layup from 2 ft,120,98
4,1:47.0,,Shooting foul by C. Boucher (drawn by B. Adebayo),120,98
4,1:47.0,,B. Adebayo makes free throw 1 of 1,120,99
4,1:22.0,M. Miller misses 3-pt jump shot from 26 ft,,120,99
4,1:20.0,,Defensive rebound by D. Waiters,120,99
4,1:13.0,,Shooting foul by C. Boucher (drawn by B. Adebayo),120,99
4,1:13.0,,B. Adebayo makes free throw 1 of 2,120,100
4,1:13.0,,B. Adebayo makes free throw 2 of 2,120,101
4,1:06.0,Shooting foul by R. Anderson (drawn by N. Powell),,120,101
4,1:06.0,N. Powell makes free throw 1 of 2,,121,101
4,1:06.0,N. Powell makes free throw 2 of 2,,122,101
4,0:44.0,,D. Waiters makes 3-pt jump shot from 24 ft (assist by R. McGruder),122,104
4,0:22.0,N. Powell makes 3-pt jump shot from 25 ft (assist by M. Miller),,125,104
