QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ORLANDO_ACTION,MILWAUKEE_SCORE,ORLANDO_SCORE
4,1:12.0,,T. Ross makes 2-pt dunk from 1 ft (assist by D. Augustin),115,106
4,0:51.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,117,106
4,0:44.0,,Turnover by D. Augustin (bad pass; steal by G. Antetokounmpo),117,106
4,0:40.0,Shooting foul by J. Isaac (drawn by G. Antetokounmpo),,117,106
4,0:40.0,S. Brown enters the game for E. Bledsoe,,117,106
4,0:40.0,G. Hill enters the game for M. Brogdon,,117,106
4,0:40.0,T. Snell enters the game for B. Lopez,,117,106
4,0:40.0,D. Wilson enters the game for K. Middleton,,117,106
4,0:40.0,G. Antetokounmpo misses free throw 1 of 2,,117,106
4,0:40.0,Offensive rebound by Team,,117,106
4,0:40.0,G. Antetokounmpo makes free throw 2 of 2,,118,106
4,0:32.0,,D. Augustin misses 3-pt jump shot from 26 ft,118,106
4,0:29.0,,Offensive rebound by J. Isaac,118,106
4,0:29.0,,J. Isaac makes 2-pt dunk at rim,118,108
4,0:10.0,Turnover by G. Antetokounmpo (lost ball; steal by E. Fournier),,118,108
4,0:10.0,,Personal foul by G. Antetokounmpo (drawn by E. Fournier),118,108
