QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,HOUSTON_ACTION,PHILADELPHIA_SCORE,HOUSTON_SCORE
4,3:02.0,,G. Green makes 2-pt dunk from 2 ft (assist by G. Clark),83,103
4,2:48.0,J. Patton makes 2-pt layup from 1 ft (assist by J. Simmons),,85,103
4,2:39.0,,Turnover by G. Green (lost ball; steal by J. Patton),85,103
4,2:31.0,T. McConnell misses 2-pt layup from 1 ft,,85,103
4,2:27.0,Offensive rebound by J. Bolden,,85,103
4,2:26.0,Shooting foul by G. Clark (drawn by J. Ennis),,85,103
4,2:26.0,J. Ennis makes free throw 1 of 2,,86,103
4,2:26.0,J. Ennis makes free throw 2 of 2,,87,103
4,2:13.0,,T. Jones makes 2-pt layup from 1 ft (assist by A. Rivers),87,105
4,2:13.0,,Shooting foul by J. Patton (drawn by T. Jones),87,105
4,2:13.0,,T. Jones misses free throw 1 of 1,87,105
4,2:13.0,Defensive rebound by J. Bolden,,87,105
4,2:03.0,J. Simmons misses 2-pt jump shot from 7 ft,,87,105
4,2:01.0,,Defensive rebound by T. Jones,87,105
4,1:57.0,,Shooting foul by J. Patton (drawn by G. Green),87,105
4,1:57.0,,G. Green makes free throw 1 of 2,87,106
4,1:57.0,,G. Green makes free throw 2 of 2,87,107
4,1:46.0,J. Ennis misses 3-pt jump shot from 23 ft,,87,107
4,1:42.0,,Defensive rebound by T. Jones,87,107
4,1:35.0,,Turnover by A. Rivers (lost ball; steal by J. Patton),87,107
4,1:35.0,Personal foul by A. Rivers (drawn by J. Bolden),,87,107
4,1:35.0,J. Bolden makes free throw 1 of 2,,88,107
4,1:35.0,J. Bolden misses free throw 2 of 2,,88,107
4,1:35.0,,Defensive rebound by I. Shumpert,88,107
4,1:24.0,,Turnover by T. Jones (bad pass),88,107
4,1:13.0,J. Patton misses 2-pt jump shot from 11 ft,,88,107
4,1:12.0,Offensive rebound by J. Ennis,,88,107
4,1:12.0,Shooting foul by I. Shumpert (drawn by J. Ennis),,88,107
4,1:12.0,J. Ennis makes free throw 1 of 2,,89,107
4,1:12.0,J. Ennis makes free throw 2 of 2,,90,107
4,0:52.0,,A. Rivers misses 3-pt jump shot from 25 ft,90,107
4,0:50.0,Defensive rebound by J. Ennis,,90,107
4,0:41.0,Shooting foul by T. Jones (drawn by J. Simmons),,90,107
4,0:41.0,J. Simmons makes free throw 1 of 2,,91,107
4,0:41.0,J. Simmons misses free throw 2 of 2,,91,107
4,0:41.0,,Defensive rebound by T. Jones,91,107
4,0:29.0,,T. Jones misses 3-pt jump shot from 26 ft,91,107
4,0:26.0,Defensive rebound by J. Ennis,,91,107
4,0:17.0,J. Bolden misses 3-pt jump shot from 26 ft,,91,107
4,0:15.0,,Defensive rebound by T. Jones,91,107
