QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,TORONTO_ACTION,SAN ANTONIO_SCORE,TORONTO_SCORE
4,6:01.0,,O. Anunoby makes 3-pt jump shot from 27 ft (assist by K. Leonard),100,106
4,6:00.0,San Antonio full timeout,,100,106
4,6:00.0,P. Mills enters the game for D. White,,100,106
4,5:46.0,M. Belinelli makes 2-pt jump shot from 5 ft (assist by B. Forbes),,102,106
4,5:25.0,,S. Ibaka makes 2-pt dunk from 1 ft (assist by J. Lin),102,108
4,5:19.0,Personal foul by K. Lowry (drawn by D. DeRozan),,102,108
4,5:12.0,D. DeRozan makes 2-pt layup from 1 ft,,104,108
4,5:12.0,Shooting foul by K. Leonard (drawn by D. DeRozan),,104,108
4,5:12.0,D. DeRozan makes free throw 1 of 1,,105,108
4,4:57.0,,S. Ibaka misses 2-pt hook shot from 6 ft,105,108
4,4:53.0,Defensive rebound by D. DeRozan,,105,108
4,4:39.0,D. DeRozan misses 2-pt layup from 2 ft (block by S. Ibaka),,105,108
4,4:36.0,,Defensive rebound by J. Lin,105,108
4,4:32.0,,Shooting foul by L. Aldridge (drawn by S. Ibaka),105,108
4,4:32.0,,S. Ibaka misses free throw 1 of 2,105,108
4,4:32.0,,Offensive rebound by Team,105,108
4,4:32.0,,P. Siakam enters the game for O. Anunoby,105,108
4,4:32.0,,S. Ibaka makes free throw 2 of 2,105,109
4,4:18.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,108,109
4,3:59.0,,K. Leonard misses 3-pt jump shot from 26 ft,108,109
4,3:56.0,Defensive rebound by M. Belinelli,,108,109
4,3:42.0,Turnover by D. DeRozan (bad pass; steal by P. Siakam),,108,109
4,3:36.0,,Personal foul by D. DeRozan (drawn by J. Lin),108,109
4,3:36.0,,Toronto full timeout,108,109
4,3:36.0,D. Bertāns enters the game for B. Forbes,,108,109
4,3:28.0,,K. Leonard makes 2-pt layup from 3 ft (assist by P. Siakam),108,111
4,3:08.0,L. Aldridge makes 2-pt jump shot from 11 ft,,110,111
4,2:45.0,,K. Leonard makes 2-pt jump shot from 16 ft,110,113
4,2:36.0,Shooting foul by S. Ibaka (drawn by D. DeRozan),,110,113
4,2:36.0,D. DeRozan makes free throw 1 of 2,,111,113
4,2:36.0,,D. Green enters the game for J. Lin,111,113
4,2:36.0,D. DeRozan makes free throw 2 of 2,,112,113
4,2:18.0,,S. Ibaka misses 3-pt jump shot from 23 ft,112,113
4,2:15.0,Defensive rebound by M. Belinelli,,112,113
4,2:00.0,D. Bertāns misses 3-pt jump shot from 25 ft,,112,113
4,1:57.0,,Defensive rebound by K. Leonard,112,113
4,1:48.0,,K. Leonard misses 2-pt jump shot from 17 ft,112,113
4,1:46.0,Defensive rebound by D. Bertāns,,112,113
4,1:36.0,Personal foul by P. Siakam (drawn by D. Bertāns),,112,113
4,1:36.0,D. Bertāns makes free throw 1 of 2,,113,113
4,1:36.0,D. Bertāns makes free throw 2 of 2,,114,113
4,1:24.0,,Turnover by P. Siakam (bad pass; steal by L. Aldridge),114,113
4,1:11.0,D. DeRozan misses 2-pt jump shot from 15 ft,,114,113
4,1:08.0,,Defensive rebound by S. Ibaka,114,113
4,0:59.0,,S. Ibaka misses 2-pt jump shot from 16 ft,114,113
4,0:57.0,,Offensive rebound by P. Siakam,114,113
4,0:57.0,,P. Siakam makes 2-pt layup from 1 ft,114,115
4,0:44.0,M. Belinelli makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,117,115
4,0:24.0,,Personal foul by P. Mills (drawn by S. Ibaka),117,115
4,0:24.0,,S. Ibaka makes free throw 1 of 2,117,116
4,0:24.0,,S. Ibaka misses free throw 2 of 2,117,116
4,0:23.0,Defensive rebound by D. DeRozan,,117,116
4,0:16.0,Turnover by D. DeRozan (lost ball; steal by K. Leonard),,117,116
4,0:15.0,,K. Leonard makes 2-pt dunk from 2 ft,117,118
4,0:15.0,San Antonio full timeout,,117,118
4,0:02.0,D. Bertāns misses 2-pt jump shot from 14 ft,,117,118
4,0:01.0,,Defensive rebound by K. Lowry,117,118
4,0:01.0,,Toronto full timeout,117,118
4,0:01.0,,Toronto full timeout,117,118
4,0:01.0,D. White enters the game for P. Mills,,117,118
4,0:01.0,,J. Lin enters the game for S. Ibaka,117,118
4,0:00.0,,Personal take foul by D. White (drawn by K. Leonard),117,118
4,0:00.0,,K. Leonard makes free throw 1 of 2,117,119
4,0:00.0,,K. Leonard makes free throw 2 of 2,117,120
4,0:00.0,San Antonio full timeout,,117,120
4,0:00.0,P. Mills enters the game for D. Bertāns,,117,120
4,0:00.0,,S. Ibaka enters the game for J. Lin,117,120
4,0:00.0,M. Belinelli misses 3-pt jump shot from 29 ft,,117,120
4,0:00.0,Offensive rebound by Team,,117,120
