QUARTER,TIME_REMAINING,DALLAS_ACTION,PORTLAND_ACTION,DALLAS_SCORE,PORTLAND_SCORE
4,3:11.0,,Z. Collins misses 2-pt jump shot from 16 ft,111,124
4,3:09.0,Defensive rebound by C. Lee,,111,124
4,2:52.0,J. Jackson misses 2-pt jump shot from 6 ft,,111,124
4,2:50.0,,Defensive rebound by S. Curry,111,124
4,2:31.0,,Z. Collins misses 3-pt jump shot from 26 ft,111,124
4,2:26.0,Defensive rebound by J. Jackson,,111,124
4,2:21.0,T. Burke makes 2-pt layup from 1 ft,,113,124
4,1:56.0,,S. Curry misses 2-pt layup from 2 ft,113,124
4,1:56.0,Defensive rebound by R. Broekhoff,,113,124
4,1:50.0,R. Broekhoff misses 3-pt jump shot from 26 ft,,113,124
4,1:46.0,,Defensive rebound by G. Trent,113,124
4,1:25.0,,Turnover by G. Trent (lost ball; steal by K. Antetokounmpo),113,124
4,1:21.0,J. Jackson makes 2-pt layup from 1 ft (assist by C. Lee),,115,124
4,1:06.0,,Shooting foul by R. Broekhoff (drawn by A. Simons),115,124
4,1:06.0,Dallas full timeout,,115,124
4,1:06.0,,Offensive rebound by Team,115,124
4,1:06.0,,A. Simons misses free throw 1 of 2,115,124
4,1:06.0,,A. Simons misses free throw 2 of 2,115,124
4,1:04.0,Defensive rebound by R. Broekhoff,,115,124
4,0:56.0,Turnover by T. Burke (lost ball; steal by S. Curry),,115,124
4,0:53.0,,Turnover by S. Curry (bad pass; steal by K. Antetokounmpo),115,124
4,0:48.0,K. Antetokounmpo misses 2-pt layup from 2 ft,,115,124
4,0:47.0,J. Jackson makes 2-pt layup from 1 ft,,117,124
4,0:47.0,Offensive rebound by J. Jackson,,117,124
4,0:40.0,,Personal foul by R. Broekhoff (drawn by A. Simons),117,124
4,0:40.0,,A. Simons makes free throw 1 of 2,117,125
4,0:40.0,,A. Simons makes free throw 2 of 2,117,126
4,0:40.0,Dallas full timeout,,117,126
4,0:33.0,Personal foul by Z. Collins (drawn by K. Antetokounmpo),,117,126
4,0:33.0,K. Antetokounmpo misses free throw 1 of 2,,117,126
4,0:33.0,Offensive rebound by Team,,117,126
4,0:33.0,K. Antetokounmpo makes free throw 2 of 2,,118,126
4,0:10.0,,G. Trent misses 3-pt jump shot from 26 ft,118,126
4,0:08.0,Defensive rebound by K. Antetokounmpo,,118,126
4,0:02.0,Turnover by K. Antetokounmpo (lost ball; steal by S. Curry),,118,126
