QUARTER,TIME_REMAINING,BROOKLYN_ACTION,GOLDEN STATE_ACTION,BROOKLYN_SCORE,GOLDEN STATE_SCORE
4,2:14.0,Personal foul by A. McKinnie (drawn by S. Napier),,91,113
4,2:14.0,S. Napier makes free throw 1 of 2,,92,113
4,2:14.0,S. Napier makes free throw 2 of 2,,93,113
4,2:08.0,,Personal foul by S. Napier (drawn by J. Evans),93,113
4,2:01.0,,J. Bell misses 2-pt jump shot from 18 ft,93,113
4,1:57.0,Defensive rebound by R. Kurucs,,93,113
4,1:54.0,R. Kurucs makes 2-pt layup from 2 ft,,95,113
4,1:46.0,,Turnover by J. Evans (lost ball; steal by S. Napier),95,113
4,1:35.0,S. Napier misses 2-pt layup from 3 ft,,95,113
4,1:34.0,Offensive rebound by K. Faried,,95,113
4,1:34.0,K. Faried makes 2-pt layup from 2 ft,,97,113
4,1:34.0,Shooting foul by A. McKinnie (drawn by K. Faried),,97,113
4,1:34.0,K. Faried misses free throw 1 of 1,,97,113
4,1:33.0,,Defensive rebound by J. Bell,97,113
4,1:16.0,,D. Lee misses 2-pt jump shot from 12 ft,97,113
4,1:13.0,Defensive rebound by K. Faried,,97,113
4,1:08.0,A. Crabbe misses 2-pt hook shot from 6 ft,,97,113
4,1:04.0,,Defensive rebound by J. Bell,97,113
4,0:57.0,,J. Evans misses 2-pt layup from 4 ft (block by R. Hollis-Jefferson),97,113
4,0:54.0,Defensive rebound by K. Faried,,97,113
4,0:50.0,A. Crabbe misses 3-pt jump shot from 24 ft,,97,113
4,0:43.0,Offensive rebound by A. Crabbe,,97,113
4,0:35.0,Shooting foul by D. Lee (drawn by K. Faried),,97,113
4,0:35.0,K. Faried makes free throw 1 of 2,,98,113
4,0:35.0,K. Faried misses free throw 2 of 2,,98,113
4,0:33.0,Offensive rebound by K. Faried,,98,113
4,0:31.0,Turnover by K. Faried (bad pass; steal by D. Lee),,98,113
4,0:20.0,,D. Lee makes 3-pt jump shot from 28 ft,98,116
4,0:10.0,R. Kurucs makes 2-pt layup from 2 ft,,100,116
4,0:10.0,,Violation by Team (def goaltending),100,116
