QUARTER,TIME_REMAINING,UTAH_ACTION,PHILADELPHIA_ACTION,UTAH_SCORE,PHILADELPHIA_SCORE
4,9:10.0,Defensive rebound by Team,,91,88
4,8:46.0,Turnover by R. Gobert (lost ball; steal by J. Redick),,91,88
4,8:44.0,,Turnover by W. Chandler (out of bounds lost ball),91,88
4,8:44.0,,J. Butler enters the game for W. Chandler,91,88
4,8:44.0,,M. Muscala enters the game for M. Fultz,91,88
4,8:44.0,,B. Simmons enters the game for F. Korkmaz,91,88
4,8:35.0,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Exum),,93,88
4,8:35.0,,Philadelphia full timeout,93,88
4,8:35.0,J. Ingles enters the game for D. Mitchell,,93,88
4,8:24.0,,J. Embiid makes 2-pt jump shot from 17 ft (assist by J. Butler),93,90
4,8:06.0,R. Gobert makes 2-pt dunk from 3 ft (assist by D. Exum),,95,90
4,7:48.0,,M. Muscala misses 3-pt jump shot from 25 ft,95,90
4,7:43.0,Defensive rebound by T. Sefolosha,,95,90
4,7:32.0,Turnover by T. Sefolosha (out of bounds lost ball),,95,90
4,7:32.0,,L. Shamet enters the game for J. Redick,95,90
4,7:25.0,,Shooting foul by R. O'Neale (drawn by J. Butler),95,90
4,7:25.0,,J. Butler misses free throw 1 of 2,95,90
4,7:25.0,,Offensive rebound by Team,95,90
4,7:25.0,R. Rubio enters the game for R. O'Neale,,95,90
4,7:25.0,,J. Butler makes free throw 2 of 2,95,91
4,7:07.0,R. Gobert misses 2-pt layup from 7 ft,,95,91
4,7:03.0,,Defensive rebound by J. Butler,95,91
4,7:00.0,,J. Butler makes 3-pt jump shot from 26 ft (assist by B. Simmons),95,94
4,6:59.0,Utah full timeout,,95,94
4,6:59.0,J. Crowder enters the game for T. Sefolosha,,95,94
4,6:44.0,J. Ingles misses 2-pt layup from 3 ft,,95,94
4,6:39.0,Offensive rebound by R. Gobert,,95,94
4,6:39.0,R. Gobert misses 2-pt layup at rim,,95,94
4,6:39.0,,Defensive rebound by B. Simmons,95,94
4,6:29.0,,M. Muscala misses 3-pt jump shot from 26 ft,95,94
4,6:26.0,Defensive rebound by R. Gobert,,95,94
4,6:03.0,D. Exum misses 2-pt layup from 3 ft,,95,94
4,6:02.0,,Defensive rebound by M. Muscala,95,94
4,5:48.0,,J. Embiid makes 2-pt hook shot from 5 ft,95,96
4,5:48.0,,Shooting foul by J. Crowder (drawn by J. Embiid),95,96
4,5:48.0,D. Mitchell enters the game for D. Exum,,95,96
4,5:48.0,,J. Redick enters the game for L. Shamet,95,96
4,5:48.0,,J. Embiid misses free throw 1 of 1,95,96
4,5:48.0,,Offensive rebound by M. Muscala,95,96
4,5:45.0,,M. Muscala misses 2-pt layup from 1 ft,95,96
4,5:43.0,Defensive rebound by R. Rubio,,95,96
4,5:41.0,Turnover by R. Rubio (lost ball; steal by J. Embiid),,95,96
4,5:36.0,,J. Butler makes 2-pt dunk from 1 ft (assist by J. Redick),95,98
4,5:35.0,Utah full timeout,,95,98
4,5:19.0,D. Mitchell makes 2-pt jump shot from 13 ft,,97,98
4,4:53.0,,J. Embiid misses 3-pt jump shot from 27 ft,97,98
4,4:47.0,Defensive rebound by J. Ingles,,97,98
4,4:30.0,D. Mitchell makes 3-pt jump shot from 26 ft,,100,98
4,4:30.0,,Philadelphia full timeout,100,98
4,4:30.0,,W. Chandler enters the game for M. Muscala,100,98
4,4:18.0,,J. Redick misses 2-pt jump shot from 17 ft,100,98
4,4:16.0,,Offensive rebound by Team,100,98
4,4:16.0,Loose ball foul by R. Gobert (drawn by J. Embiid),,100,98
4,4:06.0,,J. Butler misses 2-pt jump shot from 19 ft,100,98
4,4:01.0,Defensive rebound by J. Crowder,,100,98
4,3:50.0,Shooting foul by J. Butler (drawn by D. Mitchell),,100,98
4,3:50.0,D. Mitchell misses free throw 1 of 2,,100,98
4,3:50.0,Offensive rebound by Team,,100,98
4,3:50.0,D. Mitchell makes free throw 2 of 2,,101,98
4,3:35.0,,B. Simmons makes 2-pt hook shot from 8 ft,101,100
4,3:08.0,R. Rubio makes 2-pt jump shot from 14 ft (assist by J. Ingles),,103,100
4,2:52.0,,J. Embiid makes 3-pt jump shot from 23 ft (assist by J. Butler),103,103
4,2:31.0,D. Mitchell makes 2-pt jump shot from 12 ft,,105,103
4,2:12.0,,Shooting foul by R. Rubio (drawn by J. Embiid),105,103
4,2:12.0,,J. Embiid makes free throw 1 of 2,105,104
4,2:12.0,,J. Embiid makes free throw 2 of 2,105,105
4,2:00.0,D. Mitchell misses 3-pt jump shot from 26 ft,,105,105
4,1:56.0,,Defensive rebound by J. Embiid,105,105
4,1:41.0,,Turnover by B. Simmons (bad pass; steal by R. Rubio),105,105
4,1:37.0,R. Rubio misses 2-pt layup from 2 ft,,105,105
4,1:37.0,Offensive rebound by J. Crowder,,105,105
4,1:37.0,J. Crowder makes 2-pt layup at rim,,107,105
4,1:27.0,,Personal foul by R. Rubio (drawn by J. Redick),107,105
4,1:27.0,,J. Redick makes free throw 1 of 2,107,106
4,1:27.0,,J. Redick makes free throw 2 of 2,107,107
4,1:15.0,D. Mitchell misses 2-pt jump shot from 13 ft,,107,107
4,1:14.0,,Defensive rebound by W. Chandler,107,107
4,0:58.0,,B. Simmons makes 2-pt layup from 2 ft,107,109
4,0:58.0,,Shooting foul by D. Mitchell (drawn by B. Simmons),107,109
4,0:58.0,,B. Simmons misses free throw 1 of 1,107,109
4,0:58.0,Defensive rebound by D. Mitchell,,107,109
4,0:42.0,J. Ingles misses 3-pt jump shot from 26 ft,,107,109
4,0:40.0,,Defensive rebound by Team,107,109
4,0:19.0,,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),107,111
4,0:19.0,Utah full timeout,,107,111
4,0:16.0,Offensive foul by R. Gobert (drawn by J. Butler),,107,111
4,0:16.0,Turnover by R. Gobert (offensive foul),,107,111
4,0:16.0,,Philadelphia full timeout,107,111
4,0:16.0,D. Exum enters the game for R. Gobert,,107,111
4,0:12.0,,Personal take foul by R. Rubio (drawn by J. Embiid),107,111
4,0:12.0,,J. Embiid makes free throw 1 of 2,107,112
4,0:12.0,R. Gobert enters the game for D. Exum,,107,112
4,0:12.0,,J. Embiid makes free throw 2 of 2,107,113
4,0:08.0,D. Mitchell misses 3-pt jump shot from 27 ft,,107,113
4,0:04.0,,Defensive rebound by J. Redick,107,113
