QUARTER,TIME_REMAINING,PHOENIX_ACTION,SACRAMENTO_ACTION,PHOENIX_SCORE,SACRAMENTO_SCORE
2,4:14.0,J. Jackson misses 2-pt jump shot from 3 ft (block by W. Cauley-Stein),,33,50
2,4:10.0,Offensive rebound by M. Bridges,,33,50
2,4:09.0,D. Booker makes 3-pt jump shot from 25 ft (assist by T. Johnson),,36,50
2,3:53.0,,B. Hield makes 2-pt jump shot from 13 ft,36,52
2,3:34.0,D. Booker misses 2-pt jump shot from 21 ft,,36,52
2,3:31.0,,Defensive rebound by W. Cauley-Stein,36,52
2,3:29.0,,B. Hield misses 3-pt jump shot from 26 ft,36,52
2,3:26.0,Defensive rebound by D. Booker,,36,52
2,3:22.0,M. Bridges misses 3-pt jump shot from 25 ft,,36,52
2,3:22.0,Offensive rebound by J. Jackson,,36,52
2,3:22.0,Personal foul by H. Barnes (drawn by J. Jackson),,36,52
2,3:11.0,D. Ayton misses 2-pt hook shot from 7 ft,,36,52
2,3:07.0,,Defensive rebound by H. Barnes,36,52
2,3:02.0,,D. Fox makes 3-pt jump shot from 25 ft (assist by H. Barnes),36,55
2,2:40.0,T. Johnson misses 3-pt jump shot from 25 ft,,36,55
2,2:37.0,Offensive rebound by J. Jackson,,36,55
2,2:35.0,J. Jackson makes 2-pt hook shot from 3 ft,,38,55
2,2:29.0,,D. Fox makes 2-pt dunk from 1 ft,38,57
2,2:16.0,Turnover by D. Booker (bad pass),,38,57
2,2:06.0,,Personal foul by D. Booker (drawn by H. Barnes),38,57
2,2:06.0,K. Oubre enters the game for J. Jackson,,38,57
2,1:58.0,,A. Burks misses 2-pt jump shot from 16 ft,38,57
2,1:55.0,Defensive rebound by T. Johnson,,38,57
2,1:51.0,Shooting foul by W. Cauley-Stein (drawn by M. Bridges),,38,57
2,1:51.0,M. Bridges misses free throw 1 of 2,,38,57
2,1:51.0,Offensive rebound by Team,,38,57
2,1:51.0,,M. Bagley enters the game for A. Burks,38,57
2,1:51.0,M. Bridges makes free throw 2 of 2,,39,57
2,1:43.0,,D. Fox misses 2-pt jump shot from 17 ft,39,57
2,1:41.0,Defensive rebound by D. Booker,,39,57
2,1:33.0,Shooting foul by H. Barnes (drawn by K. Oubre),,39,57
2,1:33.0,K. Oubre makes free throw 1 of 3,,40,57
2,1:33.0,K. Oubre misses free throw 2 of 3,,40,57
2,1:33.0,Offensive rebound by Team,,40,57
2,1:33.0,K. Oubre misses free throw 3 of 3,,40,57
2,1:30.0,,Defensive rebound by M. Bagley,40,57
2,1:16.0,,Personal foul by K. Oubre (drawn by B. Hield),40,57
2,1:16.0,,B. Hield makes free throw 1 of 2,40,58
2,1:16.0,,B. Hield misses free throw 2 of 2,40,58
2,1:12.0,,Offensive rebound by B. Hield,40,58
2,1:10.0,,B. Hield makes 3-pt jump shot from 24 ft,40,61
2,0:50.0,D. Booker makes 2-pt jump shot from 13 ft,,42,61
2,0:34.0,,B. Hield misses 3-pt jump shot from 25 ft,42,61
2,0:30.0,Defensive rebound by D. Ayton,,42,61
2,0:12.0,Personal foul by M. Bagley (drawn by D. Booker),,42,61
2,0:12.0,D. Booker makes free throw 1 of 2,,43,61
2,0:12.0,D. Booker makes free throw 2 of 2,,44,61
2,0:02.0,,W. Cauley-Stein makes 2-pt layup from 5 ft (assist by D. Fox),44,63
2,0:02.0,,Shooting foul by M. Bridges (drawn by W. Cauley-Stein),44,63
2,0:02.0,,Y. Ferrell enters the game for D. Fox,44,63
2,0:02.0,,W. Cauley-Stein misses free throw 1 of 1,44,63
2,0:01.0,Defensive rebound by Team,,44,63
3,11:42.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by H. Barnes),44,66
3,11:15.0,D. Ayton makes 2-pt hook shot from 8 ft,,46,66
3,11:06.0,,N. Bjelica misses 3-pt jump shot from 29 ft,46,66
3,11:03.0,Defensive rebound by D. Ayton,,46,66
3,10:59.0,J. Jackson misses 2-pt layup from 4 ft,,46,66
3,10:56.0,,Defensive rebound by W. Cauley-Stein,46,66
3,10:48.0,,D. Fox misses 2-pt jump shot from 10 ft,46,66
3,10:44.0,Defensive rebound by M. Bridges,,46,66
