QUARTER,TIME_REMAINING,DALLAS_ACTION,TORONTO_ACTION,DALLAS_SCORE,TORONTO_SCORE
3,7:04.0,,K. Leonard makes 2-pt jump shot from 12 ft,69,85
3,6:52.0,Shooting foul by J. Valančiūnas (drawn by D. Jordan),,69,85
3,6:52.0,D. Jordan makes free throw 1 of 2,,70,85
3,6:52.0,,S. Ibaka enters the game for J. Valančiūnas,70,85
3,6:52.0,D. Jordan makes free throw 2 of 2,,71,85
3,6:37.0,,K. Leonard misses 2-pt jump shot from 11 ft,71,85
3,6:33.0,Defensive rebound by D. Jordan,,71,85
3,6:26.0,L. Dončić makes 3-pt jump shot from 27 ft (assist by H. Barnes),,74,85
3,6:01.0,,Personal foul by W. Matthews (drawn by K. Leonard),74,85
3,5:46.0,,K. Lowry makes 2-pt jump shot from 19 ft,74,87
3,5:33.0,L. Dončić makes 3-pt jump shot from 26 ft (assist by D. Jordan),,77,87
3,5:22.0,,K. Lowry misses 2-pt jump shot from 15 ft,77,87
3,5:19.0,Defensive rebound by D. Jordan,,77,87
3,5:15.0,J. Brunson makes 3-pt jump shot from 27 ft,,80,87
3,5:13.0,,Toronto full timeout,80,87
3,5:13.0,D. Finney-Smith enters the game for H. Barnes,,80,87
3,5:13.0,M. Kleber enters the game for W. Matthews,,80,87
3,5:13.0,,C. Miles enters the game for P. Siakam,80,87
3,5:01.0,,Offensive foul by S. Ibaka (drawn by L. Dončić),80,87
3,5:01.0,,Turnover by S. Ibaka (offensive foul),80,87
3,4:46.0,Shooting foul by C. Miles (drawn by M. Kleber),,80,87
3,4:46.0,M. Kleber makes free throw 1 of 2,,81,87
3,4:46.0,M. Kleber makes free throw 2 of 2,,82,87
3,4:34.0,,C. Miles misses 2-pt layup from 2 ft (block by M. Kleber),82,87
3,4:31.0,Defensive rebound by L. Dončić,,82,87
3,4:29.0,D. Finney-Smith misses 2-pt layup from 1 ft (block by D. Green),,82,87
3,4:29.0,Offensive rebound by Team,,82,87
3,4:20.0,J. Brunson misses 2-pt layup from 2 ft,,82,87
3,4:17.0,Offensive rebound by D. Jordan,,82,87
3,4:17.0,D. Jordan makes 2-pt layup from 1 ft,,84,87
3,4:02.0,,K. Leonard makes 2-pt jump shot from 12 ft (assist by K. Lowry),84,89
3,3:49.0,Turnover by D. Jordan (bad pass),,84,89
3,3:42.0,,Offensive foul by C. Miles (drawn by J. Brunson),84,89
3,3:42.0,,Turnover by C. Miles (offensive foul),84,89
