QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CLEVELAND_ACTION,OKLAHOMA CITY_SCORE,CLEVELAND_SCORE
4,4:20.0,Defensive rebound by S. Adams,,87,84
4,4:19.0,Personal take foul by J. Smith (drawn by D. Schröder),,87,84
4,4:09.0,P. George misses 3-pt jump shot from 26 ft,,87,84
4,4:06.0,,Defensive rebound by T. Thompson,87,84
4,3:59.0,,J. Smith misses 3-pt jump shot from 30 ft,87,84
4,3:57.0,Defensive rebound by D. Schröder,,87,84
4,3:52.0,Turnover by P. George (out of bounds lost ball),,87,84
4,3:37.0,,K. Korver misses 3-pt jump shot from 27 ft,87,84
4,3:35.0,Defensive rebound by S. Adams,,87,84
4,3:24.0,J. Grant misses 2-pt layup from 1 ft,,87,84
4,3:17.0,Offensive rebound by J. Grant,,87,84
4,3:17.0,J. Grant makes 2-pt layup from 1 ft,,89,84
4,3:06.0,,J. Clarkson misses 2-pt jump shot from 16 ft,89,84
4,3:02.0,,Offensive rebound by T. Thompson,89,84
4,3:02.0,,T. Thompson misses 2-pt layup at rim,89,84
4,3:00.0,,Offensive rebound by J. Clarkson,89,84
4,2:59.0,,Turnover by J. Clarkson (lost ball; steal by P. George),89,84
4,2:52.0,Shooting foul by T. Thompson (drawn by S. Adams),,89,84
4,2:52.0,S. Adams misses free throw 1 of 2,,89,84
4,2:52.0,Offensive rebound by Team,,89,84
4,2:52.0,S. Adams makes free throw 2 of 2,,90,84
4,2:33.0,,Turnover by C. Sexton (lost ball; steal by S. Adams),90,84
4,2:31.0,Personal foul by J. Smith (drawn by J. Grant),,90,84
4,2:31.0,J. Grant makes free throw 1 of 2,,91,84
4,2:31.0,,L. Nance enters the game for J. Smith,91,84
4,2:31.0,J. Grant makes free throw 2 of 2,,92,84
4,2:16.0,,Personal foul by Á. Abrines (drawn by K. Korver),92,84
4,2:05.0,,K. Korver misses 3-pt jump shot from 26 ft,92,84
4,2:03.0,Defensive rebound by S. Adams,,92,84
4,1:49.0,Á. Abrines misses 3-pt jump shot from 24 ft,,92,84
4,1:46.0,,Defensive rebound by T. Thompson,92,84
4,1:40.0,,T. Thompson makes 2-pt hook shot from 10 ft (assist by J. Clarkson),92,86
4,1:17.0,Á. Abrines misses 3-pt jump shot from 25 ft,,92,86
4,1:13.0,,Defensive rebound by L. Nance,92,86
4,1:03.0,,J. Clarkson misses 3-pt jump shot from 25 ft,92,86
4,1:01.0,Defensive rebound by D. Schröder,,92,86
4,0:43.0,D. Schröder makes 2-pt layup from 2 ft,,94,86
4,0:43.0,,Violation by Team (def goaltending),94,86
4,0:24.0,,C. Sexton misses 2-pt jump shot from 20 ft,94,86
4,0:21.0,Defensive rebound by J. Grant,,94,86
4,0:13.0,Personal foul by L. Nance (drawn by D. Schröder),,94,86
4,0:13.0,D. Schröder makes free throw 1 of 2,,95,86
4,0:13.0,H. Diallo enters the game for P. George,,95,86
4,0:13.0,D. Schröder misses free throw 2 of 2,,95,86
4,0:13.0,,Defensive rebound by T. Thompson,95,86
4,0:13.0,,Cleveland full timeout,95,86
4,0:10.0,,K. Korver misses 3-pt jump shot from 23 ft,95,86
4,0:07.0,Defensive rebound by H. Diallo,,95,86
