QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MINNESOTA_ACTION,MEMPHIS_SCORE,MINNESOTA_SCORE
4,1:49.0,,D. Šarić makes free throw 1 of 2,93,82
4,1:49.0,,D. Šarić makes free throw 2 of 2,93,83
4,1:24.0,G. Temple makes 3-pt jump shot from 28 ft,,96,83
4,1:14.0,,Turnover by D. Šarić (lost ball; steal by M. Gasol),96,83
4,1:14.0,,Loose ball foul by D. Šarić (drawn by M. Gasol),96,83
4,1:14.0,M. Gasol misses free throw 1 of 2,,96,83
4,1:14.0,Offensive rebound by Team,,96,83
4,1:14.0,M. Gasol misses free throw 2 of 2,,96,83
4,1:12.0,,Defensive rebound by K. Towns,96,83
4,0:57.0,,R. Covington misses 2-pt layup from 2 ft,96,83
4,0:56.0,,K. Towns makes 2-pt layup from 1 ft,96,85
4,0:56.0,,Offensive rebound by K. Towns,96,85
4,0:50.0,Personal foul by A. Wiggins (drawn by M. Conley),,96,85
4,0:50.0,M. Conley makes free throw 1 of 2,,97,85
4,0:50.0,M. Conley makes free throw 2 of 2,,98,85
4,0:43.0,,A. Wiggins misses 2-pt jump shot from 13 ft,98,85
4,0:39.0,Defensive rebound by M. Conley,,98,85
4,0:34.0,G. Temple makes 2-pt layup from 1 ft (assist by K. Anderson),,100,85
4,0:22.0,,K. Towns makes 2-pt dunk from 1 ft (assist by D. Šarić),100,87
