QUARTER,TIME_REMAINING,PORTLAND_ACTION,ORLANDO_ACTION,PORTLAND_SCORE,ORLANDO_SCORE
4,2:23.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by D. Augustin),122,110
4,2:23.0,,Shooting foul by S. Curry (drawn by T. Ross),122,110
4,2:23.0,,T. Ross misses free throw 1 of 1,122,110
4,2:23.0,Defensive rebound by A. Aminu,,122,110
4,2:08.0,Personal foul by D. Augustin (drawn by D. Lillard),,122,110
4,2:01.0,A. Aminu misses 3-pt jump shot from 23 ft,,122,110
4,1:58.0,,Defensive rebound by T. Ross,122,110
4,1:47.0,,J. Isaac misses 2-pt layup from 2 ft,122,110
4,1:45.0,Defensive rebound by D. Lillard,,122,110
4,1:32.0,D. Lillard misses 3-pt jump shot from 30 ft,,122,110
4,1:28.0,,Defensive rebound by J. Isaac,122,110
4,1:24.0,,D. Augustin makes 2-pt layup from 2 ft,122,112
4,1:10.0,Shooting foul by J. Isaac (drawn by C. McCollum),,122,112
4,1:10.0,C. McCollum makes free throw 1 of 2,,123,112
4,1:10.0,C. McCollum makes free throw 2 of 2,,124,112
4,0:59.0,,J. Isaac makes 2-pt dunk from 1 ft (assist by E. Fournier),124,114
4,0:57.0,Personal foul by D. Augustin (drawn by D. Lillard),,124,114
4,0:57.0,D. Lillard makes free throw 1 of 2,,125,114
4,0:57.0,D. Lillard makes free throw 2 of 2,,126,114
4,0:43.0,,E. Fournier misses 3-pt jump shot from 26 ft,126,114
4,0:38.0,,Offensive rebound by N. Vučević,126,114
4,0:36.0,,J. Isaac misses 2-pt layup from 2 ft,126,114
4,0:36.0,,Offensive rebound by J. Isaac,126,114
4,0:36.0,,N. Vučević misses 2-pt layup at rim,126,114
4,0:36.0,Defensive rebound by J. Nurkić,,126,114
4,0:35.0,Personal take foul by D. Augustin (drawn by D. Lillard),,126,114
4,0:35.0,D. Lillard makes free throw 1 of 2,,127,114
4,0:35.0,Z. Collins enters the game for C. McCollum,,127,114
4,0:35.0,J. Layman enters the game for J. Nurkić,,127,114
4,0:35.0,D. Lillard makes free throw 2 of 2,,128,114
4,0:29.0,,T. Ross misses 3-pt jump shot from 26 ft,128,114
4,0:25.0,Defensive rebound by Z. Collins,,128,114
4,0:03.0,Turnover by Team (shot clock),,128,114
