QUARTER,TIME_REMAINING,DALLAS_ACTION,BOSTON_ACTION,DALLAS_SCORE,BOSTON_SCORE
4,3:42.0,H. Barnes makes 3-pt jump shot from 31 ft (assist by W. Matthews),,91,103
4,3:19.0,,Personal foul by D. Smith (drawn by G. Hayward),91,103
4,3:19.0,,Boston full timeout,91,103
4,3:06.0,,T. Rozier makes 3-pt jump shot from 25 ft (assist by A. Horford),91,106
4,2:51.0,L. Dončić misses 2-pt jump shot from 4 ft,,91,106
4,2:51.0,,Defensive rebound by T. Rozier,91,106
4,2:44.0,,T. Rozier misses 2-pt layup from 3 ft,91,106
4,2:42.0,Defensive rebound by H. Barnes,,91,106
4,2:30.0,W. Matthews misses 2-pt layup from 1 ft,,91,106
4,2:26.0,,Defensive rebound by G. Hayward,91,106
4,2:26.0,J. Brunson enters the game for H. Barnes,,91,106
4,2:26.0,D. Finney-Smith enters the game for L. Dončić,,91,106
4,2:26.0,D. Nowitzki enters the game for D. Jordan,,91,106
4,2:26.0,D. Powell enters the game for W. Matthews,,91,106
4,2:26.0,,P. Dozier enters the game for G. Hayward,91,106
4,2:26.0,,S. Ojeleye enters the game for A. Horford,91,106
4,2:26.0,,D. Theis enters the game for T. Rozier,91,106
4,2:26.0,,B. Wanamaker enters the game for M. Smart,91,106
4,2:26.0,,G. Yabusele enters the game for J. Tatum,91,106
4,2:15.0,,S. Ojeleye makes 3-pt jump shot from 27 ft,91,109
4,2:03.0,D. Finney-Smith misses 2-pt jump shot from 16 ft,,91,109
4,2:00.0,,Defensive rebound by S. Ojeleye,91,109
4,1:57.0,,Turnover by S. Ojeleye (bad pass; steal by D. Smith),91,109
4,1:34.0,D. Nowitzki misses 2-pt jump shot from 7 ft,,91,109
4,1:32.0,,Defensive rebound by D. Theis,91,109
4,1:25.0,,D. Theis makes 3-pt jump shot from 27 ft (assist by B. Wanamaker),91,112
4,1:15.0,D. Powell makes 2-pt dunk from 2 ft (assist by J. Brunson),,93,112
4,1:03.0,,Shooting foul by D. Smith (drawn by D. Theis),93,112
4,1:03.0,,D. Theis makes free throw 1 of 2,93,113
4,1:03.0,,D. Theis makes free throw 2 of 2,93,114
4,0:54.0,D. Nowitzki misses 2-pt jump shot from 16 ft,,93,114
4,0:51.0,,Defensive rebound by D. Theis,93,114
4,0:36.0,,D. Theis misses 2-pt hook shot from 4 ft,93,114
4,0:33.0,Defensive rebound by D. Powell,,93,114
4,0:28.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,93,114
4,0:24.0,,Defensive rebound by D. Theis,93,114
4,0:01.0,,Turnover by Team (shot clock),93,114
4,0:00.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,93,114
4,0:00.0,Offensive rebound by Team,,93,114
