QUARTER,TIME_REMAINING,MIAMI_ACTION,ATLANTA_ACTION,MIAMI_SCORE,ATLANTA_SCORE
4,6:41.0,Shooting foul by D. Bembry (drawn by T. Johnson),,109,110
4,6:41.0,T. Johnson makes free throw 1 of 2,,110,110
4,6:41.0,T. Johnson makes free throw 2 of 2,,111,110
4,6:34.0,Violation by Team (kicked ball),,111,110
4,6:34.0,D. Jones enters the game for J. Richardson,,111,110
4,6:28.0,,J. Lin makes 2-pt layup from 2 ft,111,112
4,6:10.0,J. Winslow misses 3-pt jump shot from 25 ft,,111,112
4,6:06.0,,Defensive rebound by D. Bembry,111,112
4,5:58.0,,A. Len misses 2-pt hook shot from 8 ft,111,112
4,5:57.0,,Offensive rebound by V. Carter,111,112
4,5:57.0,,V. Carter makes 2-pt dunk at rim,111,114
4,5:57.0,Miami full timeout,,111,114
4,5:36.0,R. McGruder misses 3-pt jump shot from 26 ft,,111,114
4,5:31.0,,Defensive rebound by A. Len,111,114
4,5:21.0,,D. Bembry misses 2-pt layup from 2 ft (block by J. Winslow),111,114
4,5:21.0,Defensive rebound by Team,,111,114
4,5:21.0,J. Richardson enters the game for D. Jones,,111,114
4,5:11.0,J. Winslow makes 2-pt layup from 3 ft,,113,114
4,4:54.0,,D. Bembry makes 2-pt layup from 1 ft (assist by J. Lin),113,116
4,4:38.0,Shooting foul by A. Len (drawn by J. Winslow),,113,116
4,4:38.0,J. Winslow misses free throw 1 of 2,,113,116
4,4:38.0,Offensive rebound by Team,,113,116
4,4:38.0,,D. Dedmon enters the game for A. Len,113,116
4,4:38.0,,T. Young enters the game for J. Lin,113,116
4,4:38.0,J. Winslow makes free throw 2 of 2,,114,116
4,4:28.0,,Turnover by T. Young (traveling),114,116
4,4:17.0,,Violation by Team (kicked ball),114,116
4,4:09.0,Turnover by T. Johnson (bad pass; steal by D. Bembry),,114,116
4,3:50.0,,D. Bembry misses 3-pt jump shot from 26 ft,114,116
4,3:47.0,Defensive rebound by J. Winslow,,114,116
4,3:39.0,J. Richardson makes 2-pt jump shot from 20 ft (assist by T. Johnson),,116,116
4,3:16.0,,Flagrant foul type 1 by J. Winslow (drawn by T. Young),116,116
4,3:16.0,,T. Young makes flagrant free throw 1 of 2,116,117
4,3:16.0,,T. Young makes flagrant free throw 2 of 2,116,118
4,3:16.0,Miami full timeout,,116,118
4,3:16.0,D. Wade enters the game for T. Johnson,,116,118
4,3:16.0,,K. Bazemore enters the game for D. Bembry,116,118
4,3:16.0,,T. Prince enters the game for K. Huerter,116,118
4,3:10.0,,T. Young misses 2-pt jump shot from 7 ft,116,118
4,3:07.0,Defensive rebound by J. Winslow,,116,118
4,3:04.0,J. Winslow makes 2-pt layup from 2 ft,,118,118
4,2:39.0,,V. Carter makes 2-pt jump shot from 16 ft (assist by T. Young),118,120
4,2:13.0,Turnover by J. Winslow (lost ball; steal by T. Prince),,118,120
4,2:00.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by V. Carter),118,122
4,1:46.0,Turnover by R. McGruder (bad pass; steal by K. Bazemore),,118,122
4,1:37.0,,V. Carter misses 2-pt layup from 3 ft,118,122
4,1:33.0,Defensive rebound by B. Adebayo,,118,122
4,1:28.0,D. Wade misses 3-pt jump shot from 26 ft,,118,122
4,1:24.0,,Defensive rebound by T. Prince,118,122
4,1:21.0,,Atlanta full timeout,118,122
4,1:09.0,,T. Young misses 3-pt jump shot from 27 ft,118,122
4,1:04.0,Defensive rebound by R. McGruder,,118,122
4,0:58.0,R. McGruder misses 3-pt jump shot from 23 ft,,118,122
4,0:54.0,,Defensive rebound by D. Dedmon,118,122
4,0:36.0,,T. Young misses 3-pt jump shot from 27 ft,118,122
4,0:32.0,Defensive rebound by D. Wade,,118,122
4,0:32.0,,D. Bembry enters the game for D. Dedmon,118,122
4,0:32.0,,A. Poythress enters the game for T. Young,118,122
4,0:23.0,Turnover by J. Winslow (out of bounds lost ball),,118,122
4,0:17.0,,Personal foul by J. Winslow (drawn by V. Carter),118,122
4,0:17.0,,V. Carter makes free throw 1 of 2,118,123
4,0:17.0,,V. Carter misses free throw 2 of 2,118,123
4,0:14.0,Defensive rebound by Team,,118,123
4,0:14.0,Miami full timeout,,118,123
4,0:14.0,T. Johnson enters the game for B. Adebayo,,118,123
4,0:13.0,J. Richardson misses 3-pt jump shot from 29 ft,,118,123
4,0:08.0,Offensive rebound by R. McGruder,,118,123
4,0:02.0,R. McGruder misses 3-pt jump shot from 25 ft,,118,123
4,0:02.0,Offensive rebound by J. Winslow,,118,123
