QUARTER,TIME_REMAINING,ATLANTA_ACTION,INDIANA_ACTION,ATLANTA_SCORE,INDIANA_SCORE
4,6:56.0,,V. Oladipo misses 2-pt jump shot from 19 ft,94,105
4,6:53.0,Defensive rebound by D. Bembry,,94,105
4,6:46.0,D. Bembry misses 2-pt jump shot from 7 ft,,94,105
4,6:45.0,Offensive rebound by D. Bembry,,94,105
4,6:44.0,D. Bembry misses 2-pt jump shot from 6 ft,,94,105
4,6:44.0,,Defensive rebound by T. Young,94,105
4,6:26.0,,D. Sabonis makes 2-pt hook shot from 3 ft,94,107
4,6:07.0,V. Carter misses 2-pt layup from 4 ft,,94,107
4,6:03.0,Offensive rebound by V. Carter,,94,107
4,6:03.0,V. Carter misses 2-pt layup from 1 ft,,94,107
4,6:02.0,Offensive rebound by V. Carter,,94,107
4,6:02.0,V. Carter misses 2-pt layup from 1 ft,,94,107
4,6:02.0,Offensive rebound by T. Young,,94,107
4,5:55.0,K. Huerter makes 2-pt dunk from 1 ft (assist by T. Young),,96,107
4,5:27.0,,T. Evans misses 3-pt jump shot from 23 ft,96,107
4,5:23.0,Defensive rebound by Team,,96,107
4,5:23.0,J. Collins enters the game for A. Len,,96,107
4,5:11.0,K. Huerter misses 2-pt jump shot from 14 ft,,96,107
4,5:08.0,,Defensive rebound by D. Sabonis,96,107
4,5:03.0,,V. Oladipo makes 2-pt layup from 1 ft,96,109
4,4:56.0,T. Young makes 3-pt jump shot from 27 ft,,99,109
4,4:40.0,,Shooting foul by V. Carter (drawn by D. Sabonis),99,109
4,4:40.0,,D. Sabonis misses free throw 1 of 2,99,109
4,4:40.0,,Offensive rebound by Team,99,109
4,4:40.0,,B. Bogdanović enters the game for T. Evans,99,109
4,4:40.0,,D. Collison enters the game for C. Joseph,99,109
4,4:40.0,,D. Sabonis makes free throw 2 of 2,99,110
4,4:32.0,Turnover by T. Young (bad pass; steal by D. Sabonis),,99,110
4,4:26.0,,Turnover by D. Sabonis (bad pass; steal by T. Young),99,110
4,4:16.0,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),,101,110
4,4:16.0,,Indiana full timeout,101,110
4,3:53.0,,Turnover by V. Oladipo (bad pass; steal by D. Bembry),101,110
4,3:39.0,J. Collins makes 2-pt dunk from 2 ft (assist by D. Bembry),,103,110
4,3:25.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,103,110
4,3:23.0,Defensive rebound by Team,,103,110
4,3:23.0,Atlanta full timeout,,103,110
4,3:00.0,Turnover by D. Bembry (bad pass; steal by V. Oladipo),,103,110
4,3:00.0,,Personal take foul by J. Collins (drawn by V. Oladipo),103,110
4,2:44.0,,T. Young makes 2-pt layup from 3 ft (assist by D. Collison),103,112
4,2:33.0,Turnover by T. Young (lost ball; steal by D. Collison),,103,112
4,2:29.0,,D. Collison makes 2-pt layup from 1 ft (assist by V. Oladipo),103,114
4,2:13.0,K. Huerter makes 3-pt jump shot from 28 ft (assist by V. Carter),,106,114
4,1:56.0,,D. Sabonis misses 2-pt jump shot from 8 ft,106,114
4,1:53.0,Defensive rebound by V. Carter,,106,114
4,1:49.0,T. Young makes 2-pt jump shot from 6 ft,,108,114
4,1:36.0,,V. Oladipo misses 2-pt jump shot from 19 ft,108,114
4,1:36.0,Defensive rebound by V. Carter,,108,114
4,1:22.0,T. Young misses 3-pt jump shot from 27 ft,,108,114
4,1:18.0,Offensive rebound by J. Collins,,108,114
4,1:13.0,K. Huerter misses 3-pt jump shot from 27 ft,,108,114
4,1:10.0,,Defensive rebound by D. Collison,108,114
4,0:53.0,,D. Sabonis misses 2-pt layup from 2 ft (block by D. Bembry),108,114
4,0:51.0,Defensive rebound by J. Collins,,108,114
4,0:48.0,T. Young misses 2-pt jump shot from 10 ft (block by T. Young),,108,114
4,0:44.0,,Defensive rebound by B. Bogdanović,108,114
4,0:43.0,,Shooting foul by V. Carter (drawn by V. Oladipo),108,114
4,0:43.0,,V. Oladipo makes free throw 1 of 2,108,115
4,0:43.0,,V. Oladipo makes free throw 2 of 2,108,116
4,0:22.0,Turnover by D. Bembry (lost ball; steal by D. Collison),,108,116
