QUARTER,TIME_REMAINING,NEW YORK_ACTION,OKLAHOMA CITY_ACTION,NEW YORK_SCORE,OKLAHOMA CITY_SCORE
4,3:53.0,,Personal foul by R. Baker (drawn by N. Noel),96,117
4,3:53.0,,P. Patterson enters the game for N. Noel,96,117
4,3:48.0,,T. Ferguson misses 3-pt jump shot from 26 ft,96,117
4,3:44.0,Defensive rebound by A. Trier,,96,117
4,3:39.0,Turnover by A. Trier (lost ball; steal by H. Diallo),,96,117
4,3:39.0,,Personal take foul by A. Trier (drawn by P. Patterson),96,117
4,3:23.0,,R. Felton makes 3-pt jump shot from 25 ft,96,120
4,2:56.0,N. Vonleh makes 2-pt dunk at rim (assist by A. Trier),,98,120
4,2:36.0,,Turnover by T. Ferguson (bad pass),98,120
4,2:36.0,,A. Nader enters the game for T. Ferguson,98,120
4,2:27.0,A. Trier misses 2-pt layup from 2 ft (block by A. Nader),,98,120
4,2:25.0,,Defensive rebound by A. Nader,98,120
4,2:10.0,,A. Nader misses 2-pt layup from 1 ft,98,120
4,2:10.0,Defensive rebound by Team,,98,120
4,2:00.0,D. Dotson misses 2-pt jump shot from 7 ft,,98,120
4,1:58.0,,Defensive rebound by A. Nader,98,120
4,1:41.0,,D. Burton makes 2-pt dunk from 1 ft (assist by R. Felton),98,122
4,1:33.0,A. Trier misses 3-pt jump shot from 25 ft,,98,122
4,1:29.0,Offensive rebound by K. Knox,,98,122
4,1:28.0,K. Knox makes 2-pt layup from 1 ft,,100,122
4,1:19.0,,P. Patterson misses 2-pt layup from 3 ft (block by D. Dotson),100,122
4,1:17.0,Defensive rebound by A. Trier,,100,122
4,1:16.0,Shooting foul by R. Felton (drawn by A. Trier),,100,122
4,1:16.0,A. Trier misses free throw 1 of 2,,100,122
4,1:16.0,Offensive rebound by Team,,100,122
4,1:16.0,,T. Luwawu-Cabarrot enters the game for R. Felton,100,122
4,1:16.0,A. Trier makes free throw 2 of 2,,101,122
4,1:06.0,,A. Nader makes 2-pt jump shot from 5 ft,101,124
4,0:53.0,Turnover by K. Knox (lost ball; steal by H. Diallo),,101,124
4,0:49.0,,H. Diallo misses 2-pt layup from 2 ft,101,124
4,0:47.0,,Offensive rebound by A. Nader,101,124
4,0:46.0,,A. Nader makes 2-pt jump shot from 4 ft,101,126
4,0:36.0,Turnover by R. Baker (bad pass; steal by D. Burton),,101,126
4,0:36.0,,Personal take foul by R. Baker (drawn by D. Burton),101,126
4,0:30.0,,D. Burton makes 2-pt layup from 1 ft,101,128
4,0:19.0,D. Dotson makes 2-pt jump shot from 20 ft (assist by R. Baker),,103,128
