QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BOSTON_ACTION,GOLDEN STATE_SCORE,BOSTON_SCORE
4,4:10.0,D. Green enters the game for D. Cousins,,103,101
4,4:10.0,K. Thompson enters the game for S. Livingston,,103,101
4,3:51.0,D. Green misses 2-pt jump shot from 11 ft,,103,101
4,3:49.0,,Defensive rebound by A. Horford,103,101
4,3:45.0,,K. Irving makes 2-pt layup from 3 ft,103,103
4,3:45.0,,Shooting foul by K. Thompson (drawn by K. Irving),103,103
4,3:45.0,,K. Irving makes free throw 1 of 1,103,104
4,3:25.0,Shooting foul by M. Morris (drawn by K. Durant),,103,104
4,3:25.0,K. Durant makes free throw 1 of 2,,104,104
4,3:25.0,A. Iguodala enters the game for K. Looney,,104,104
4,3:25.0,K. Durant makes free throw 2 of 2,,105,104
4,3:09.0,,A. Horford makes 2-pt hook shot from 6 ft (assist by K. Irving),105,106
4,2:58.0,Shooting foul by A. Horford (drawn by K. Durant),,105,106
4,2:58.0,K. Durant makes free throw 1 of 3,,106,106
4,2:58.0,K. Durant makes free throw 2 of 3,,107,106
4,2:58.0,K. Durant makes free throw 3 of 3,,108,106
4,2:43.0,,K. Irving makes 2-pt layup from 2 ft,108,108
4,2:27.0,K. Durant misses 3-pt jump shot from 26 ft,,108,108
4,2:25.0,,Defensive rebound by J. Tatum,108,108
4,2:17.0,,Turnover by K. Irving (lost ball; steal by A. Iguodala),108,108
4,2:12.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by A. Iguodala),,111,108
4,1:54.0,,Personal foul by K. Durant (drawn by J. Tatum),111,108
4,1:46.0,,Turnover by A. Horford (bad pass; steal by D. Green),111,108
4,1:29.0,K. Durant misses 2-pt jump shot from 14 ft,,111,108
4,1:27.0,,Defensive rebound by A. Horford,111,108
4,1:08.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by M. Morris),111,111
4,0:46.0,Shooting foul by M. Smart (drawn by K. Thompson),,111,111
4,0:46.0,K. Thompson makes free throw 1 of 2,,112,111
4,0:46.0,K. Thompson makes free throw 2 of 2,,113,111
4,0:46.0,,Boston full timeout,113,111
4,0:39.0,,M. Smart misses 3-pt jump shot from 26 ft,113,111
4,0:37.0,Defensive rebound by D. Green,,113,111
4,0:32.0,Turnover by K. Durant (bad pass),,113,111
4,0:22.0,,K. Irving misses 2-pt jump shot from 9 ft,113,111
4,0:20.0,Defensive rebound by D. Green,,113,111
4,0:19.0,Turnover by D. Green (out of bounds lost ball),,113,111
4,0:10.0,,M. Morris misses 3-pt jump shot from 25 ft,113,111
4,0:08.0,Defensive rebound by D. Green,,113,111
4,0:08.0,Personal take foul by A. Horford (drawn by D. Green),,113,111
4,0:08.0,D. Green misses free throw 1 of 2,,113,111
4,0:08.0,Offensive rebound by Team,,113,111
4,0:08.0,D. Green misses free throw 2 of 2,,113,111
4,0:08.0,Offensive rebound by D. Green,,113,111
4,0:06.0,Personal take foul by K. Irving (drawn by S. Curry),,113,111
4,0:06.0,S. Curry makes free throw 1 of 2,,114,111
4,0:06.0,S. Curry makes free throw 2 of 2,,115,111
4,0:06.0,,Boston full timeout,115,111
4,0:06.0,K. Looney enters the game for S. Curry,,115,111
4,0:03.0,,K. Irving misses 3-pt jump shot from 27 ft,115,111
4,0:01.0,Defensive rebound by A. Iguodala,,115,111
