QUARTER,TIME_REMAINING,DALLAS_ACTION,CHICAGO_ACTION,DALLAS_SCORE,CHICAGO_SCORE
4,4:30.0,Offensive rebound by L. Dončić,,91,84
4,4:17.0,Turnover by H. Barnes (lost ball; steal by Z. LaVine),,91,84
4,4:12.0,,J. Parker misses 2-pt layup from 2 ft (block by D. Finney-Smith),91,84
4,4:10.0,,Offensive rebound by W. Carter,91,84
4,4:10.0,,W. Carter makes 2-pt layup from 2 ft,91,86
4,4:10.0,,Shooting foul by D. Jordan (drawn by W. Carter),91,86
4,4:10.0,,W. Carter makes free throw 1 of 1,91,87
4,3:49.0,D. Smith makes 2-pt jump shot from 19 ft,,93,87
4,3:32.0,,Shooting foul by D. Smith (drawn by Z. LaVine),93,87
4,3:32.0,,Z. LaVine misses free throw 1 of 2,93,87
4,3:32.0,,Offensive rebound by Team,93,87
4,3:32.0,,Z. LaVine makes free throw 2 of 2,93,88
4,3:12.0,L. Dončić makes 3-pt jump shot from 26 ft,,96,88
4,2:59.0,,Turnover by Z. LaVine (lost ball; steal by D. Finney-Smith),96,88
4,2:54.0,Turnover by D. Finney-Smith (bad pass; steal by W. Carter),,96,88
4,2:53.0,,Personal foul by L. Dončić (drawn by J. Parker),96,88
4,2:53.0,,J. Parker makes free throw 1 of 2,96,89
4,2:53.0,,J. Parker makes free throw 2 of 2,96,90
4,2:35.0,Shooting foul by J. Parker (drawn by H. Barnes),,96,90
4,2:35.0,H. Barnes makes free throw 1 of 2,,97,90
4,2:35.0,H. Barnes misses free throw 2 of 2,,97,90
4,2:32.0,,Defensive rebound by J. Parker,97,90
4,2:26.0,,J. Holiday misses 3-pt jump shot from 23 ft,97,90
4,2:23.0,,Offensive rebound by W. Carter,97,90
4,2:14.0,,Z. LaVine misses 2-pt jump shot from 18 ft,97,90
4,2:10.0,Defensive rebound by D. Jordan,,97,90
4,1:53.0,H. Barnes makes 2-pt jump shot from 4 ft,,99,90
4,1:42.0,,Shooting foul by D. Jordan (drawn by Z. LaVine),99,90
4,1:42.0,,Z. LaVine makes free throw 1 of 2,99,91
4,1:42.0,,Z. LaVine makes free throw 2 of 2,99,92
4,1:27.0,H. Barnes misses 3-pt jump shot from 25 ft,,99,92
4,1:23.0,,Defensive rebound by R. Arcidiacono,99,92
4,1:15.0,,Z. LaVine misses 3-pt jump shot from 25 ft,99,92
4,1:12.0,Defensive rebound by H. Barnes,,99,92
4,0:50.0,L. Dončić misses 3-pt jump shot from 23 ft,,99,92
4,0:47.0,,Defensive rebound by Z. LaVine,99,92
4,0:43.0,,Turnover by Z. LaVine (out of bounds lost ball),99,92
4,0:36.0,Personal foul by Z. LaVine (drawn by D. Finney-Smith),,99,92
4,0:36.0,D. Finney-Smith makes free throw 1 of 2,,100,92
4,0:36.0,D. Finney-Smith misses free throw 2 of 2,,100,92
4,0:36.0,,Defensive rebound by Z. LaVine,100,92
4,0:36.0,,Chicago full timeout,100,92
4,0:32.0,,Shooting foul by D. Jordan (drawn by Z. LaVine),100,92
4,0:32.0,,Z. LaVine makes free throw 1 of 2,100,93
4,0:32.0,,Z. LaVine makes free throw 2 of 2,100,94
4,0:30.0,Turnover by D. Smith (bad pass),,100,94
4,0:26.0,,Z. LaVine misses 3-pt jump shot from 26 ft,100,94
4,0:23.0,Defensive rebound by D. Jordan,,100,94
4,0:23.0,Personal take foul by J. Parker (drawn by D. Jordan),,100,94
4,0:23.0,D. Jordan misses free throw 1 of 2,,100,94
4,0:23.0,Offensive rebound by Team,,100,94
4,0:23.0,D. Jordan misses free throw 2 of 2,,100,94
4,0:21.0,,Defensive rebound by W. Carter,100,94
4,0:15.0,,J. Holiday misses 3-pt jump shot from 24 ft,100,94
4,0:12.0,,Offensive rebound by J. Parker,100,94
4,0:12.0,,J. Parker makes 2-pt layup from 1 ft,100,96
4,0:12.0,Dallas full timeout,,100,96
4,0:12.0,M. Kleber enters the game for D. Jordan,,100,96
4,0:10.0,Personal take foul by J. Parker (drawn by M. Kleber),,100,96
4,0:10.0,,A. Blakeney enters the game for J. Parker,100,96
4,0:10.0,H. Barnes makes free throw 1 of 2,,101,96
4,0:10.0,H. Barnes makes free throw 2 of 2,,102,96
4,0:05.0,,Z. LaVine makes 2-pt dunk from 1 ft,102,98
4,0:04.0,Personal take foul by R. Arcidiacono (drawn by L. Dončić),,102,98
4,0:04.0,L. Dončić makes free throw 1 of 2,,103,98
4,0:04.0,L. Dončić misses free throw 2 of 2,,103,98
4,0:02.0,,Defensive rebound by J. Holiday,103,98
4,0:00.0,,Turnover by J. Holiday (bad pass; steal by H. Barnes),103,98
