QUARTER,TIME_REMAINING,PORTLAND_ACTION,CLEVELAND_ACTION,PORTLAND_SCORE,CLEVELAND_SCORE
4,2:13.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by C. McCollum),,119,102
4,2:00.0,,C. Sexton makes 3-pt jump shot from 26 ft,119,105
4,1:52.0,M. Harkless makes 2-pt dunk from 1 ft (assist by J. Nurkić),,121,105
4,1:41.0,,C. Sexton misses 2-pt jump shot from 7 ft,121,105
4,1:38.0,,Offensive rebound by J. Clarkson,121,105
4,1:37.0,,K. Love makes 3-pt jump shot from 23 ft (assist by J. Clarkson),121,108
4,1:15.0,C. McCollum misses 2-pt jump shot from 10 ft,,121,108
4,1:13.0,Offensive rebound by A. Aminu,,121,108
4,1:13.0,A. Aminu makes 2-pt layup at rim,,123,108
4,1:02.0,,K. Love misses 3-pt jump shot from 25 ft,123,108
4,1:01.0,,Offensive rebound by C. Osman,123,108
4,0:58.0,,C. Sexton misses 3-pt jump shot from 25 ft,123,108
4,0:57.0,,Offensive rebound by J. Clarkson,123,108
4,0:53.0,,C. Sexton misses 3-pt jump shot from 25 ft,123,108
4,0:49.0,Defensive rebound by C. McCollum,,123,108
4,0:26.0,C. McCollum misses 3-pt jump shot from 25 ft,,123,108
4,0:24.0,,Defensive rebound by K. Love,123,108
4,0:22.0,,C. Osman makes 2-pt dunk from 1 ft (assist by C. Sexton),123,110
