QUARTER,TIME_REMAINING,CLEVELAND_ACTION,UTAH_ACTION,CLEVELAND_SCORE,UTAH_SCORE
4,5:13.0,C. Sexton misses free throw 1 of 2,,81,104
4,5:13.0,Offensive rebound by Team,,81,104
4,5:13.0,C. Sexton makes free throw 2 of 2,,82,104
4,4:50.0,,R. O'Neale makes 3-pt jump shot from 29 ft (assist by G. Niang),82,107
4,4:35.0,C. Payne makes 2-pt jump shot from 11 ft,,84,107
4,4:16.0,,Utah full timeout,84,107
4,4:15.0,,G. Niang misses 3-pt jump shot from 25 ft,84,107
4,4:10.0,Defensive rebound by A. Žižić,,84,107
4,3:51.0,A. Žižić makes 2-pt hook shot from 4 ft,,86,107
4,3:34.0,,G. Niang makes 3-pt jump shot from 24 ft (assist by N. Mitrou-Long),86,110
4,3:09.0,A. Žižić makes 2-pt layup from 4 ft (assist by J. Clarkson),,88,110
4,2:56.0,,G. Allen misses 3-pt jump shot from 26 ft,88,110
4,2:52.0,Defensive rebound by C. Payne,,88,110
4,2:44.0,C. Payne misses 2-pt jump shot from 19 ft,,88,110
4,2:40.0,,Defensive rebound by Team,88,110
4,2:40.0,,T. Cavanaugh enters the game for R. O'Neale,88,110
4,2:16.0,,T. Cavanaugh makes 2-pt layup from 2 ft (assist by N. Mitrou-Long),88,112
4,2:09.0,Turnover by C. Sexton (bad pass),,88,112
4,1:51.0,,E. Udoh misses 2-pt layup from 6 ft,88,112
4,1:50.0,Defensive rebound by A. Žižić,,88,112
4,1:42.0,C. Sexton makes 3-pt jump shot from 25 ft,,91,112
4,1:25.0,,T. Cavanaugh misses 3-pt jump shot from 23 ft,91,112
4,1:20.0,Defensive rebound by C. Payne,,91,112
4,1:17.0,J. Clarkson makes 3-pt jump shot from 25 ft (assist by C. Payne),,94,112
4,1:00.0,,T. Cavanaugh misses 2-pt layup from 3 ft,94,112
4,0:57.0,,Offensive rebound by E. Udoh,94,112
4,0:57.0,,E. Udoh misses 2-pt layup from 1 ft,94,112
4,0:57.0,Defensive rebound by A. Žižić,,94,112
4,0:36.0,J. Blossomgame makes 2-pt jump shot from 4 ft (assist by C. Sexton),,96,112
4,0:19.0,,G. Niang makes 3-pt jump shot from 25 ft,96,115
4,0:03.0,C. Sexton makes 3-pt jump shot from 25 ft,,99,115
