QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,TORONTO_ACTION,CHARLOTTE_SCORE,TORONTO_SCORE
4,5:08.0,,Defensive rebound by J. Valančiūnas,92,113
4,4:50.0,,F. VanVleet makes 2-pt layup from 1 ft,92,115
4,4:48.0,Charlotte full timeout,,92,115
4,4:48.0,F. Kaminsky enters the game for N. Batum,,92,115
4,4:48.0,J. Lamb enters the game for M. Bridges,,92,115
4,4:48.0,M. Monk enters the game for K. Walker,,92,115
4,4:27.0,F. Kaminsky misses 3-pt jump shot from 23 ft,,92,115
4,4:25.0,Offensive rebound by B. Biyombo,,92,115
4,4:18.0,F. Kaminsky makes 2-pt hook shot from 5 ft (assist by M. Monk),,94,115
4,3:53.0,,Turnover by Team (shot clock),94,115
4,3:53.0,,L. Brown enters the game for K. Leonard,94,115
4,3:53.0,,G. Monroe enters the game for K. Lowry,94,115
4,3:53.0,,N. Powell enters the game for J. Valančiūnas,94,115
4,3:53.0,,M. Richardson enters the game for F. VanVleet,94,115
4,3:42.0,B. Biyombo makes 2-pt dunk from 1 ft (assist by D. Graham),,96,115
4,3:32.0,,O. Anunoby misses 3-pt jump shot from 27 ft,96,115
4,3:29.0,,Offensive rebound by G. Monroe,96,115
4,3:26.0,,M. Richardson misses 3-pt jump shot from 28 ft,96,115
4,3:22.0,Defensive rebound by F. Kaminsky,,96,115
4,3:19.0,Personal foul by M. Richardson (drawn by B. Biyombo),,96,115
4,3:19.0,B. Biyombo misses free throw 1 of 2,,96,115
4,3:19.0,Offensive rebound by Team,,96,115
4,3:19.0,B. Biyombo makes free throw 2 of 2,,97,115
4,3:00.0,,M. Richardson makes 3-pt jump shot from 24 ft (assist by G. Monroe),97,118
4,2:34.0,J. Lamb makes 3-pt jump shot from 24 ft,,100,118
4,2:12.0,,N. Powell makes 3-pt jump shot from 26 ft (assist by L. Brown),100,121
4,1:59.0,J. Lamb makes 2-pt jump shot from 16 ft (assist by B. Biyombo),,102,121
4,1:50.0,,G. Monroe makes 2-pt layup from 1 ft,102,123
4,1:50.0,M. Bridges enters the game for J. Lamb,,102,123
4,1:30.0,F. Kaminsky misses 2-pt jump shot from 14 ft,,102,123
4,1:29.0,,Defensive rebound by G. Monroe,102,123
4,1:25.0,,O. Anunoby makes 2-pt dunk from 1 ft (assist by L. Brown),102,125
4,1:08.0,B. Biyombo misses 2-pt jump shot from 17 ft,,102,125
4,1:06.0,,Defensive rebound by N. Powell,102,125
4,1:04.0,,Personal foul by D. Graham (drawn by L. Brown),102,125
4,0:55.0,,L. Brown makes 2-pt jump shot from 19 ft,102,127
4,0:43.0,M. Monk makes 2-pt jump shot from 10 ft (assist by M. Bridges),,104,127
4,0:32.0,,N. Powell misses 3-pt jump shot from 26 ft,104,127
4,0:29.0,Defensive rebound by M. Bridges,,104,127
4,0:18.0,M. Bridges makes 2-pt dunk from 1 ft (assist by M. Monk),,106,127
