QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CLEVELAND_ACTION,SACRAMENTO_SCORE,CLEVELAND_SCORE
4,1:46.0,Defensive rebound by F. Mason,,124,102
4,1:41.0,M. Bagley makes 3-pt jump shot from 26 ft (assist by J. Jackson),,127,102
4,1:23.0,,J. Jones misses 2-pt jump shot from 20 ft,127,102
4,1:20.0,Defensive rebound by K. Koufos,,127,102
4,1:14.0,F. Mason misses 3-pt jump shot from 25 ft,,127,102
4,1:11.0,,Defensive rebound by A. Žižić,127,102
4,1:06.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by J. Jones),127,105
4,0:52.0,J. Jackson makes 2-pt jump shot from 12 ft (assist by K. Koufos),,129,105
4,0:37.0,,A. Burks makes 3-pt jump shot from 25 ft (assist by J. Jones),129,108
4,0:21.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,129,108
4,0:16.0,,Defensive rebound by A. Žižić,129,108
4,0:12.0,,J. Blossomgame makes 2-pt layup from 1 ft (assist by A. Burks),129,110
