QUARTER,TIME_REMAINING,PHOENIX_ACTION,CLEVELAND_ACTION,PHOENIX_SCORE,CLEVELAND_SCORE
4,4:26.0,,J. Clarkson misses 3-pt jump shot from 26 ft (block by K. Oubre),88,100
4,4:26.0,,Offensive rebound by Team,88,100
4,4:26.0,,Turnover by Team (shot clock),88,100
4,4:26.0,M. Bridges enters the game for J. Jackson,,88,100
4,4:13.0,Shooting foul by A. Žižić (drawn by T. Johnson),,88,100
4,4:13.0,T. Johnson makes free throw 1 of 2,,89,100
4,4:13.0,,M. Dellavedova enters the game for J. Clarkson,89,100
4,4:13.0,T. Johnson misses free throw 2 of 2,,89,100
4,4:09.0,,Defensive rebound by A. Žižić,89,100
4,3:55.0,,C. Osman makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),89,103
4,3:50.0,Shooting foul by C. Osman (drawn by D. Booker),,89,103
4,3:50.0,D. Booker makes free throw 1 of 2,,90,103
4,3:50.0,D. Booker misses free throw 2 of 2,,90,103
4,3:47.0,,Defensive rebound by C. Osman,90,103
4,3:32.0,,A. Žižić makes 2-pt layup from 1 ft (assist by M. Dellavedova),90,105
4,3:22.0,D. Booker misses 3-pt jump shot from 25 ft,,90,105
4,3:20.0,Offensive rebound by D. Ayton,,90,105
4,3:16.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by D. Booker),,93,105
4,2:51.0,,Turnover by M. Dellavedova (lost ball; steal by K. Oubre),93,105
4,2:48.0,Turnover by D. Booker (bad pass; steal by L. Nance),,93,105
4,2:48.0,,Personal foul by K. Oubre (drawn by L. Nance),93,105
4,2:32.0,,L. Nance makes 2-pt dunk from 1 ft (assist by A. Žižić),93,107
4,2:13.0,K. Oubre misses 3-pt jump shot from 25 ft,,93,107
4,2:10.0,,Defensive rebound by M. Dellavedova,93,107
4,2:00.0,,A. Žižić makes 2-pt layup from 1 ft (assist by M. Dellavedova),93,109
4,1:54.0,Shooting foul by L. Nance (drawn by D. Booker),,93,109
4,1:54.0,D. Booker makes free throw 1 of 2,,94,109
4,1:54.0,D. Booker misses free throw 2 of 2,,94,109
4,1:50.0,,Defensive rebound by C. Osman,94,109
4,1:35.0,,A. Žižić makes 2-pt jump shot from 13 ft (assist by M. Dellavedova),94,111
4,1:31.0,Turnover by D. Booker (step out of bounds),,94,111
4,1:16.0,,Personal foul by T. Johnson (drawn by L. Nance),94,111
4,1:09.0,,Turnover by L. Nance (bad pass; steal by D. Booker),94,111
4,1:07.0,D. Booker makes 2-pt dunk from 1 ft,,96,111
4,0:43.0,,Turnover by Team (shot clock),96,111
4,0:34.0,T. Johnson makes 2-pt layup from 1 ft,,98,111
4,0:09.0,,A. Žižić misses 2-pt layup from 1 ft (block by K. Oubre),98,111
4,0:04.0,,Offensive rebound by A. Žižić,98,111
4,0:03.0,,Turnover by A. Žižić (lost ball; steal by K. Oubre),98,111
4,0:00.0,K. Oubre misses 3-pt jump shot from 31 ft,,98,111
4,0:00.0,Offensive rebound by Team,,98,111
