QUARTER,TIME_REMAINING,MINNESOTA_ACTION,HOUSTON_ACTION,MINNESOTA_SCORE,HOUSTON_SCORE
2,3:50.0,A. Wiggins makes 3-pt jump shot from 28 ft (assist by K. Towns),,44,39
2,3:37.0,,J. Harden makes 2-pt jump shot from 12 ft,44,41
2,3:23.0,J. Okogie makes 2-pt dunk from 2 ft (assist by T. Jones),,46,41
2,3:04.0,,J. Harden misses 2-pt jump shot from 8 ft,46,41
2,3:03.0,Defensive rebound by K. Towns,,46,41
2,2:55.0,K. Towns misses 3-pt jump shot from 26 ft,,46,41
2,2:53.0,,Defensive rebound by C. Paul,46,41
2,2:47.0,,C. Paul makes 3-pt jump shot from 26 ft,46,44
2,2:33.0,D. Šarić makes 2-pt layup from 2 ft (assist by K. Towns),,48,44
2,2:20.0,,J. Harden misses 2-pt layup from 1 ft,48,44
2,2:19.0,Defensive rebound by Team,,48,44
2,2:19.0,,Loose ball foul by C. Capela (drawn by D. Šarić),48,44
2,1:55.0,A. Wiggins misses 3-pt jump shot from 26 ft,,48,44
2,1:53.0,,Defensive rebound by C. Paul,48,44
2,1:49.0,,P. Tucker misses 3-pt jump shot from 26 ft,48,44
2,1:48.0,Defensive rebound by J. Okogie,,48,44
2,1:48.0,Personal foul by P. Tucker (drawn by J. Okogie),,48,44
2,1:48.0,J. Okogie misses free throw 1 of 2,,48,44
2,1:48.0,Offensive rebound by Team,,48,44
2,1:48.0,,D. House enters the game for P. Tucker,48,44
2,1:48.0,J. Okogie makes free throw 2 of 2,,49,44
2,1:33.0,,I. Shumpert misses 2-pt layup from 2 ft,49,44
2,1:32.0,,Offensive rebound by C. Capela,49,44
2,1:32.0,,C. Capela makes 2-pt layup from 1 ft,49,46
2,1:32.0,,Shooting foul by D. Šarić (drawn by C. Capela),49,46
2,1:32.0,,C. Capela makes free throw 1 of 1,49,47
2,1:20.0,D. Šarić misses 3-pt jump shot from 26 ft,,49,47
2,1:18.0,,Defensive rebound by C. Capela,49,47
2,1:12.0,,C. Capela misses 2-pt layup from 2 ft,49,47
2,1:08.0,,Offensive rebound by C. Capela,49,47
2,1:08.0,,C. Capela misses 2-pt layup from 1 ft,49,47
2,1:08.0,Defensive rebound by K. Towns,,49,47
2,0:54.0,T. Jones misses 3-pt jump shot from 28 ft,,49,47
2,0:49.0,,Defensive rebound by I. Shumpert,49,47
2,0:40.0,,J. Harden misses 3-pt jump shot from 26 ft,49,47
2,0:37.0,Defensive rebound by D. Šarić,,49,47
2,0:33.0,Personal foul by I. Shumpert (drawn by T. Jones),,49,47
2,0:33.0,T. Jones misses free throw 1 of 2,,49,47
2,0:33.0,Offensive rebound by Team,,49,47
2,0:33.0,T. Jones misses free throw 2 of 2,,49,47
2,0:33.0,,Defensive rebound by C. Capela,49,47
2,0:25.0,,I. Shumpert makes 3-pt jump shot from 27 ft (assist by J. Harden),49,50
2,0:03.0,Turnover by K. Towns (lost ball; steal by I. Shumpert),,49,50
3,11:47.0,,P. Tucker makes 2-pt layup from 2 ft (assist by E. Gordon),49,52
3,11:26.0,Turnover by K. Towns (bad pass),,49,52
3,11:09.0,,E. Gordon makes 3-pt jump shot from 27 ft (assist by C. Paul),49,55
