QUARTER,TIME_REMAINING,UTAH_ACTION,MIAMI_ACTION,UTAH_SCORE,MIAMI_SCORE
4,5:25.0,,Turnover by J. Winslow (offensive foul),89,88
4,5:13.0,Personal foul by W. Ellington (drawn by R. Rubio),,89,88
4,5:13.0,R. Rubio makes free throw 1 of 2,,90,88
4,5:13.0,R. Rubio makes free throw 2 of 2,,91,88
4,4:59.0,,W. Ellington misses 2-pt jump shot from 20 ft,91,88
4,4:58.0,,Offensive rebound by W. Ellington,91,88
4,4:58.0,,D. Wade enters the game for J. Winslow,91,88
4,4:49.0,,J. Richardson makes 3-pt jump shot from 23 ft,91,91
4,4:32.0,Turnover by R. Rubio (bad pass; steal by H. Whiteside),,91,91
4,4:23.0,,Shooting foul by R. Gobert (drawn by K. Olynyk),91,91
4,4:23.0,Utah full timeout,,91,91
4,4:23.0,,K. Olynyk makes free throw 1 of 2,91,92
4,4:23.0,,K. Olynyk misses free throw 2 of 2,91,92
4,4:19.0,Defensive rebound by J. Crowder,,91,92
4,4:01.0,D. Mitchell makes 3-pt jump shot from 24 ft,,94,92
4,3:41.0,,D. Wade makes 3-pt jump shot from 24 ft (assist by H. Whiteside),94,95
4,3:28.0,R. Rubio makes 2-pt jump shot from 5 ft (assist by R. Gobert),,96,95
4,3:28.0,Shooting foul by W. Ellington (drawn by R. Rubio),,96,95
4,3:28.0,R. Rubio makes free throw 1 of 1,,97,95
4,3:10.0,,D. Wade misses 2-pt hook shot from 7 ft,97,95
4,3:07.0,Defensive rebound by J. Ingles,,97,95
4,3:04.0,Utah full timeout,,97,95
4,2:52.0,Turnover by R. Rubio (bad pass; steal by K. Olynyk),,97,95
4,2:30.0,,D. Wade misses 3-pt jump shot from 25 ft,97,95
4,2:27.0,Defensive rebound by J. Ingles,,97,95
4,2:24.0,Offensive foul by D. Mitchell (drawn by K. Olynyk),,97,95
4,2:24.0,Turnover by D. Mitchell (offensive foul),,97,95
4,2:03.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Richardson),97,98
4,1:45.0,D. Mitchell misses 3-pt jump shot from 26 ft,,97,98
4,1:43.0,,Defensive rebound by K. Olynyk,97,98
4,1:32.0,,D. Wade makes 2-pt layup from 2 ft,97,100
4,1:19.0,R. Rubio makes 3-pt jump shot from 26 ft (assist by J. Crowder),,100,100
4,1:08.0,,Turnover by H. Whiteside (offensive foul),100,100
4,1:08.0,,Offensive foul by H. Whiteside (drawn by J. Ingles),100,100
4,0:53.0,J. Crowder misses 3-pt jump shot from 26 ft,,100,100
4,0:52.0,,Defensive rebound by H. Whiteside,100,100
4,0:46.0,,W. Ellington misses 3-pt jump shot from 23 ft,100,100
4,0:43.0,,Offensive rebound by J. Richardson,100,100
4,0:42.0,,Miami full timeout,100,100
4,0:33.0,,D. Wade misses 3-pt jump shot from 25 ft,100,100
4,0:32.0,Defensive rebound by D. Mitchell,,100,100
4,0:32.0,Utah full timeout,,100,100
4,0:32.0,,J. Winslow enters the game for W. Ellington,100,100
4,0:20.0,D. Mitchell misses 2-pt layup from 1 ft,,100,100
4,0:18.0,,Defensive rebound by J. Winslow,100,100
4,0:03.0,,Shooting foul by R. Gobert (drawn by D. Wade),100,100
4,0:03.0,,D. Wade makes free throw 1 of 2,100,101
4,0:03.0,D. Favors enters the game for R. Rubio,,100,101
4,0:03.0,,D. Wade makes free throw 2 of 2,100,102
4,0:03.0,Utah full timeout,,100,102
4,0:03.0,K. Korver enters the game for J. Crowder,,100,102
4,0:03.0,R. Rubio enters the game for D. Favors,,100,102
4,0:03.0,,B. Adebayo enters the game for K. Olynyk,100,102
4,0:01.0,D. Mitchell misses 3-pt jump shot from 24 ft,,100,102
4,0:00.0,,Defensive rebound by J. Winslow,100,102
