QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MILWAUKEE_ACTION,LA CLIPPERS_SCORE,MILWAUKEE_SCORE
4,7:20.0,,B. Lopez misses 3-pt jump shot from 23 ft,94,108
4,7:16.0,Defensive rebound by S. Thornwell,,94,108
4,7:15.0,Shooting foul by B. Lopez (drawn by S. Thornwell),,94,108
4,7:15.0,S. Thornwell makes free throw 1 of 2,,95,108
4,7:15.0,S. Thornwell misses free throw 2 of 2,,95,108
4,7:12.0,,Defensive rebound by B. Lopez,95,108
4,6:58.0,,K. Middleton misses 2-pt jump shot from 16 ft,95,108
4,6:55.0,Defensive rebound by W. Chandler,,95,108
4,6:50.0,J. Green makes 3-pt jump shot from 28 ft (assist by W. Chandler),,98,108
4,6:31.0,,K. Middleton makes 2-pt jump shot from 12 ft,98,110
4,6:16.0,W. Chandler makes 3-pt jump shot from 29 ft (assist by J. Green),,101,110
4,5:55.0,,Shooting foul by S. Thornwell (drawn by K. Middleton),101,110
4,5:55.0,,K. Middleton makes free throw 1 of 2,101,111
4,5:55.0,,K. Middleton makes free throw 2 of 2,101,112
4,5:35.0,J. Green misses 2-pt layup from 2 ft,,101,112
4,5:29.0,Offensive rebound by J. Green,,101,112
4,5:29.0,J. Green makes 2-pt layup at rim,,103,112
4,5:15.0,,Shooting foul by J. Robinson (drawn by P. Connaughton),103,112
4,5:15.0,,P. Connaughton makes free throw 1 of 2,103,113
4,5:15.0,,P. Connaughton misses free throw 2 of 2,103,113
4,5:11.0,Defensive rebound by J. Green,,103,113
4,4:59.0,G. Temple misses 3-pt jump shot from 28 ft,,103,113
4,4:55.0,,Defensive rebound by K. Middleton,103,113
4,4:39.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),103,116
4,4:39.0,LA Clippers full timeout,,103,116
4,4:39.0,S. Gilgeous-Alexander enters the game for G. Temple,,103,116
4,4:22.0,Offensive foul by S. Gilgeous-Alexander (drawn by E. Bledsoe),,103,116
4,4:22.0,Turnover by S. Gilgeous-Alexander (offensive foul),,103,116
4,4:22.0,L. Shamet enters the game for S. Thornwell,,103,116
4,4:13.0,,E. Bledsoe makes 2-pt dunk from 2 ft,103,118
4,4:12.0,LA Clippers full timeout,,103,118
4,4:07.0,L. Shamet misses 3-pt jump shot from 28 ft,,103,118
4,4:03.0,,Defensive rebound by E. Bledsoe,103,118
4,3:58.0,,K. Middleton misses 2-pt layup from 3 ft (block by J. Robinson),103,118
4,3:57.0,,Offensive rebound by K. Middleton,103,118
4,3:56.0,,K. Middleton misses 2-pt layup from 2 ft,103,118
4,3:54.0,,Offensive rebound by K. Middleton,103,118
4,3:53.0,,K. Middleton makes 2-pt layup from 1 ft,103,120
4,3:31.0,W. Chandler makes 3-pt jump shot from 27 ft (assist by J. Green),,106,120
4,3:17.0,,K. Middleton misses 3-pt jump shot from 28 ft,106,120
4,3:13.0,Defensive rebound by J. Green,,106,120
4,3:10.0,J. Green misses 2-pt layup from 2 ft,,106,120
4,3:07.0,,Defensive rebound by E. Bledsoe,106,120
4,2:48.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,106,123
4,2:37.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,,108,123
4,2:18.0,,Personal foul by J. Green (drawn by E. Bledsoe),108,123
4,2:18.0,S. Thornwell enters the game for S. Gilgeous-Alexander,,108,123
4,2:18.0,T. Wallace enters the game for J. Green,,108,123
4,2:18.0,,S. Brown enters the game for E. Bledsoe,108,123
4,2:18.0,,G. Hill enters the game for P. Connaughton,108,123
4,2:18.0,,D. Wilson enters the game for E. İlyasova,108,123
4,2:07.0,,K. Middleton misses 2-pt jump shot from 15 ft,108,123
4,2:04.0,Defensive rebound by L. Shamet,,108,123
4,2:02.0,W. Chandler makes 3-pt jump shot from 26 ft (assist by L. Shamet),,111,123
4,1:47.0,,K. Middleton makes 2-pt layup from 1 ft (assist by G. Hill),111,125
4,1:37.0,J. Robinson makes 3-pt jump shot from 28 ft (assist by S. Thornwell),,114,125
4,1:26.0,,K. Middleton makes 3-pt jump shot from 28 ft,114,128
4,1:12.0,T. Wallace misses 2-pt hook shot from 5 ft,,114,128
4,1:10.0,,Defensive rebound by B. Lopez,114,128
4,1:10.0,,Milwaukee full timeout,114,128
4,1:10.0,Á. Delgado enters the game for W. Chandler,,114,128
4,1:10.0,J. Motley enters the game for L. Shamet,,114,128
4,1:10.0,,B. Colson enters the game for G. Hill,114,128
4,1:10.0,,P. Connaughton enters the game for B. Lopez,114,128
4,1:10.0,,T. Frazier enters the game for K. Middleton,114,128
4,1:03.0,,Turnover by T. Frazier (bad pass; steal by S. Thornwell),114,128
4,1:02.0,,Clear path foul by S. Thornwell,114,128
4,1:02.0,,E. İlyasova enters the game for S. Brown,114,128
4,1:02.0,S. Thornwell makes clear path free throw 1 of 2,,115,128
4,1:02.0,S. Thornwell makes clear path free throw 2 of 2,,116,128
4,0:51.0,Á. Delgado misses 2-pt layup from 4 ft (block by E. İlyasova),,116,128
4,0:46.0,,Defensive rebound by B. Colson,116,128
4,0:34.0,,T. Frazier misses 2-pt hook shot from 1 ft,116,128
4,0:31.0,Defensive rebound by J. Motley,,116,128
4,0:24.0,T. Wallace makes 2-pt hook shot from 10 ft (assist by J. Motley),,118,128
4,0:00.0,,Turnover by Team (shot clock),118,128
