QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA LAKERS_ACTION,SAN ANTONIO_SCORE,LA LAKERS_SCORE
4,5:26.0,,L. James makes 3-pt jump shot from 35 ft,97,99
4,5:00.0,D. DeRozan misses 2-pt jump shot from 16 ft,,97,99
4,4:57.0,,Defensive rebound by L. James,97,99
4,4:53.0,,K. Kuzma misses 3-pt jump shot from 23 ft,97,99
4,4:47.0,Defensive rebound by B. Forbes,,97,99
4,4:29.0,R. Gay misses 2-pt jump shot from 10 ft,,97,99
4,4:28.0,Offensive rebound by L. Aldridge,,97,99
4,4:28.0,L. Aldridge makes 2-pt hook shot at rim,,99,99
4,4:28.0,Shooting foul by T. Chandler (drawn by L. Aldridge),,99,99
4,4:28.0,P. Mills enters the game for B. Forbes,,99,99
4,4:28.0,L. Aldridge makes free throw 1 of 1,,100,99
4,4:16.0,,Shooting foul by R. Gay (drawn by K. Kuzma),100,99
4,4:16.0,,K. Kuzma makes free throw 1 of 2,100,100
4,4:16.0,,K. Kuzma makes free throw 2 of 2,100,101
4,3:57.0,D. DeRozan makes 2-pt jump shot from 18 ft,,102,101
4,3:34.0,,J. Hart misses 3-pt jump shot from 28 ft,102,101
4,3:30.0,Defensive rebound by P. Mills,,102,101
4,3:25.0,P. Mills misses 2-pt jump shot from 16 ft,,102,101
4,3:25.0,Offensive rebound by Team,,102,101
4,3:25.0,,Loose ball foul by T. Chandler (drawn by L. Aldridge),102,101
4,3:25.0,L. Aldridge makes free throw 1 of 2,,103,101
4,3:25.0,L. Aldridge makes free throw 2 of 2,,104,101
4,3:09.0,,K. Kuzma misses 3-pt jump shot from 25 ft (block by P. Mills),104,101
4,3:05.0,,Offensive rebound by K. Kuzma,104,101
4,3:03.0,,J. Hart makes 3-pt jump shot from 26 ft (assist by K. Kuzma),104,104
4,2:45.0,P. Mills misses 3-pt jump shot from 27 ft,,104,104
4,2:41.0,,Defensive rebound by K. Kuzma,104,104
4,2:36.0,,L. Ball makes 3-pt jump shot from 26 ft (assist by L. James),104,107
4,2:17.0,Turnover by P. Mills (bad pass; steal by L. James),,104,107
4,2:13.0,,K. Kuzma makes 2-pt dunk from 1 ft (assist by L. James),104,109
4,2:13.0,San Antonio full timeout,,104,109
4,1:59.0,P. Mills makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,107,109
4,1:38.0,,J. Hart makes 3-pt jump shot from 25 ft (assist by L. Ball),107,112
4,1:32.0,Shooting foul by J. Hart (drawn by L. Aldridge),,107,112
4,1:32.0,L. Aldridge makes free throw 1 of 2,,108,112
4,1:32.0,D. Bertāns enters the game for D. Cunningham,,108,112
4,1:32.0,L. Aldridge makes free throw 2 of 2,,109,112
4,1:13.0,,L. James makes 3-pt jump shot from 28 ft,109,115
4,1:04.0,D. DeRozan makes 2-pt jump shot from 4 ft,,111,115
4,0:41.0,,L. James makes 2-pt layup from 2 ft (assist by K. Kuzma),111,117
4,0:41.0,San Antonio full timeout,,111,117
4,0:38.0,P. Mills misses 3-pt jump shot from 26 ft,,111,117
4,0:37.0,,Defensive rebound by Team,111,117
4,0:37.0,B. Forbes enters the game for L. Aldridge,,111,117
4,0:37.0,,K. Caldwell-Pope enters the game for T. Chandler,111,117
4,0:34.0,,Personal take foul by B. Forbes (drawn by K. Caldwell-Pope),111,117
4,0:34.0,,K. Caldwell-Pope makes free throw 1 of 2,111,118
4,0:34.0,,K. Caldwell-Pope makes free throw 2 of 2,111,119
4,0:30.0,D. DeRozan misses 3-pt jump shot from 27 ft,,111,119
4,0:27.0,,Defensive rebound by L. Ball,111,119
4,0:27.0,,Personal take foul by R. Gay (drawn by L. Ball),111,119
4,0:27.0,D. White enters the game for R. Gay,,111,119
4,0:27.0,,L. Ball misses free throw 1 of 2,111,119
4,0:27.0,,Offensive rebound by Team,111,119
4,0:27.0,,L. Ball makes free throw 2 of 2,111,120
4,0:22.0,D. DeRozan makes 2-pt layup from 10 ft,,113,120
4,0:20.0,,Personal take foul by D. Bertāns (drawn by L. James),113,120
4,0:20.0,,L. James misses free throw 1 of 2,113,120
4,0:20.0,,Offensive rebound by Team,113,120
4,0:20.0,,L. James makes free throw 2 of 2,113,121
4,0:14.0,D. White misses 2-pt jump shot from 15 ft,,113,121
4,0:14.0,,Defensive rebound by J. Hart,113,121
